x11,x12,x21,x22
-0.029549,0.017860,0.943340,0.249131
0.051543,0.032611,1.047468,-0.057577
-0.009733,0.237723,0.978822,0.086859
0.143567,0.090444,1.142597,0.134463
0.017861,0.073886,1.012816,-0.026434
0.025188,0.316743,0.951067,-0.061076
-0.068778,0.194569,0.894895,-0.072515
-0.023877,-0.291765,0.873170,0.150170
0.102039,0.044719,1.088364,0.209536
0.093633,-0.254751,1.081590,-0.100021
0.186300,0.066259,1.184678,0.123195
-0.087402,-0.398374,0.849851,-0.049723
-0.025591,0.162445,0.974125,0.138603
-0.082485,-0.086349,0.914838,-0.013225
0.103559,0.176034,1.061713,-0.110218
0.075994,0.333493,1.023612,0.014086
0.072130,-0.008824,1.066837,-0.111579
0.146511,-0.007028,1.138480,0.119454
-0.010039,-0.046422,0.986601,-0.128335
0.083631,0.047398,1.083470,0.065371
0.013880,0.330699,0.968674,0.033431
0.084660,-0.207625,1.070087,-0.037528
-0.042954,0.135207,0.949724,0.014415
-0.101770,0.214821,0.893663,0.119359
0.093539,-0.240911,1.018920,0.138127
-0.014807,0.112299,0.984740,0.082199
-0.158748,-0.088758,0.840978,-0.112176
-0.043924,-0.352340,0.862272,0.070518
0.091173,0.033457,1.068146,-0.179906
-0.032924,0.040607,0.963537,-0.043451
0.034123,-0.390808,0.971915,-0.043610
0.011320,-0.340180,0.910037,0.098349
-0.026437,-0.203367,0.959492,-0.036202
0.057902,0.052213,1.054613,-0.028825
-0.111650,-0.134615,0.881727,-0.019716
-0.035375,0.195995,0.951985,0.037500
0.013861,-0.000878,1.001399,-0.158257
-0.119970,0.017069,0.874237,0.124551
-0.053196,0.241700,0.934816,0.087325
0.037390,-0.397245,1.014407,-0.184082
-0.096989,-0.311663,0.867508,-0.047570
-0.074080,-0.042223,0.918979,0.075396
0.249506,-0.358265,1.217320,-0.106595
-0.018161,-0.145714,0.964268,0.040924
-0.164517,-0.161699,0.832214,-0.080902
-0.139997,-0.121782,0.806256,0.201647
-0.070586,-0.312870,0.893179,-0.046118
-0.059200,0.069111,0.928988,-0.084137
-0.081377,0.042634,0.917407,0.091935
0.165022,0.359675,1.123976,0.076114
0.123561,0.209066,1.054390,-0.156389
-0.001800,-0.151761,0.980717,0.034408
0.127713,-0.245560,1.109177,-0.053914
0.020171,0.304590,0.992777,0.072129
0.072700,0.344462,1.016059,0.012689
0.022760,0.011557,1.022053,0.049166
-0.046642,-0.328560,0.887760,0.027659
0.014905,0.030698,1.014801,0.016246
0.013743,-0.015530,1.004976,-0.147659
0.022836,0.094795,1.016961,-0.013445
-0.216252,-0.269523,0.736338,0.034733
-0.004708,0.164364,0.978877,-0.016080
-0.057520,0.046565,0.942125,0.073208
0.083653,0.124479,1.067700,-0.053429
-0.175702,-0.215107,0.801934,-0.004801
0.039346,0.050840,1.036383,-0.026092
-0.028810,0.139787,0.954487,-0.042225
-0.019852,-0.319968,0.847356,0.177978
0.063987,-0.015961,1.042562,0.189931
-0.034577,-0.238365,0.959094,-0.126030
-0.165119,-0.194888,0.817475,-0.009119
-0.034694,-0.032883,0.962544,0.041381
0.119851,-0.297797,1.086261,-0.040792
-0.032067,0.295692,0.940400,0.062647
0.026205,-0.192425,0.979385,0.109979
0.064091,-0.230541,1.054202,-0.090257
-0.112068,-0.095064,0.878993,0.038342
-0.019528,0.048587,0.972395,-0.078251
0.055094,-0.262577,1.037348,-0.075016
0.132789,-0.458192,0.944367,0.126053
-0.118425,0.314227,0.870571,0.166285
0.117999,0.191900,1.084306,-0.065490
-0.032888,0.342090,0.954548,0.184070
0.218451,0.000607,1.218306,0.017608
0.097244,0.103273,1.061237,-0.162655
-0.189301,-0.097631,0.810635,-0.108947
0.198936,0.084651,1.148858,-0.227837
-0.026110,0.001058,0.971135,-0.073116
-0.066959,-0.061196,0.926508,-0.175316
0.040242,0.039177,1.040237,0.042489
-0.106259,-0.108234,0.884201,0.029564
-0.077280,-0.115983,0.922191,-0.148507
0.194023,-0.159814,1.170617,0.055273
0.118161,-0.092162,1.115004,-0.012762
-0.106325,0.329907,0.823470,-0.038169
0.084498,-0.114590,1.084031,-0.084023
-0.051470,-0.323438,0.887557,0.020405
0.079506,-0.237163,1.033229,0.063523
0.072379,0.230522,1.045270,-0.000742
-0.037053,-0.149860,0.942768,0.050019
-0.014446,0.176810,0.970142,0.001923
-0.088637,0.096547,0.902282,-0.037913
