x11,x12,x21,x22
-0.214976,0.412088,0.694935,-0.002717
-0.108961,0.469594,0.682509,-0.141614
-0.267965,0.570511,0.538825,-0.020327
0.085400,-0.096260,1.079824,0.009197
0.021772,-0.128812,1.002978,0.064150
-0.064611,-0.172431,0.895564,0.106969
0.086856,0.042157,1.070105,-0.140106
0.035019,-0.009445,1.024120,0.137792
0.484505,0.034858,1.463121,-0.170834
0.081329,-0.117274,1.053247,0.118044
-0.062738,0.015404,0.937234,0.007895
-0.004479,0.839895,0.487247,-0.030854
-0.159340,0.169897,0.822206,-0.021330
-0.177929,0.005676,0.821674,-0.022485
0.093169,0.127671,1.086956,0.016379
-0.180079,0.278989,0.743424,-0.104603
0.138982,-0.182767,1.135133,-0.095111
-0.017251,-0.151112,0.980306,-0.081257
0.139594,0.045336,1.138627,0.001390
-0.068835,0.134332,0.902596,-0.102992
0.015756,-0.031039,1.015686,-0.019154
0.089806,0.100252,1.066970,-0.112235
-0.084132,0.353625,0.873294,0.064948
-0.017275,0.227485,0.898115,-0.175083
0.090886,0.211829,1.071705,0.016910
-0.094547,-0.068975,0.905446,-0.065248
-0.389259,-0.104386,0.607133,-0.019509
0.026897,-0.017058,1.020484,-0.130123
-0.014180,0.148734,0.973101,-0.010251
0.120202,0.015022,1.113190,-0.103197
0.523006,-0.079934,1.522337,-0.043362
0.125905,0.010649,1.120835,-0.089916
0.085913,-0.127939,1.075204,0.018018
0.146127,0.037319,1.146008,0.021897
-0.084089,0.195153,0.900489,0.020204
0.011407,0.404910,0.897418,-0.058753
0.054686,0.087448,1.039473,-0.086313
0.065453,0.118979,1.053580,-0.034659
-0.054660,0.179394,0.843451,-0.260374
0.078397,0.320539,1.001991,-0.062834
0.218819,0.249869,1.192487,0.021900
0.318072,-0.230943,1.289352,0.006998
-0.079292,0.110281,0.911270,-0.026786
-0.230100,-0.244818,0.713877,0.085192
-0.194583,-0.367966,0.713701,0.050389
0.013725,-0.242667,0.967329,0.058396
0.169039,0.013625,1.157845,0.162838
0.135178,0.037810,1.132919,-0.029368
0.185402,0.144104,1.180469,0.044891
0.192102,0.013323,1.189975,0.078503
0.084094,0.026665,1.080284,0.113874
0.233093,-0.223780,1.230734,-0.155124
0.334018,-0.055840,1.333233,-0.016218
