time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.42,Terrain,spikes,0.99971,0.202602,-0.000365136,0.00258821,-0.0351188,49.4573,0.000223486,-0.000214032,-6.38747e-05
0.42,spikes,plane,0.999596,0.202551,0.0906198,-7.10668e-05,0.00078978,-0.489303,5.60526e-06,-6.1884e-06,2.60596e-06
0.43,Terrain,spikes,1.00072,0.202292,-0.000357711,-0.0118266,-0.032206,49.4136,0.000219916,-0.000202334,-2.98876e-05
0.43,spikes,plane,1.00074,0.202477,0.0906464,0.000265729,0.000737658,-0.48887,8.04919e-06,-7.67071e-06,6.83894e-07
0.44,Terrain,spikes,0.999893,0.194436,-0.000353864,0.00090519,0.076442,49.5106,0.000160398,-0.000106116,0.000129742
0.44,spikes,plane,0.99984,0.193811,0.0906683,-2.78825e-05,-0.00178232,-0.48983,7.86149e-06,-6.98165e-06,-4.24777e-07
0.45,Terrain,spikes,1.00154,0.20583,-0.000342371,-0.0215541,-0.0801526,49.4049,0.000158376,-0.000124815,-9.29937e-05
0.45,spikes,plane,1.00164,0.206394,0.0906983,0.000490739,0.00185065,-0.488819,7.9115e-06,-7.67866e-06,1.58257e-07
0.46,Terrain,spikes,1.00042,0.197826,-0.000338977,-0.00542048,0.0328955,49.5428,0.000124505,-0.000109395,5.72982e-05
0.46,spikes,plane,1.00047,0.197582,0.0907185,0.000121137,-0.000769879,-0.490163,7.35217e-06,-6.7859e-06,-1.25757e-06
0.47,Terrain,spikes,0.996128,0.199974,-0.00033299,0.0527171,0.000942878,49.4398,0.000119684,-0.000113868,-7.99352e-05
0.47,spikes,plane,0.995722,0.199854,0.0907412,-0.00122894,-3.46118e-05,-0.489161,7.07423e-06,-6.9642e-06,1.64714e-06
0.48,Terrain,spikes,1.00265,0.200794,-0.000324813,-0.0369578,-0.0111513,49.5021,0.000118922,-8.90208e-05,3.93561e-05
0.48,spikes,plane,1.00294,0.2009,0.0907658,0.000852952,0.000253472,-0.489795,7.26747e-06,-6.67322e-06,-1.22051e-06
0.49,Terrain,spikes,0.999451,0.201153,-0.000319462,0.0089847,-0.0167345,49.4361,8.33726e-05,-3.98791e-05,-3.67173e-05
0.49,spikes,plane,0.999408,0.201335,0.0907868,-0.000212748,0.000385568,-0.489143,6.91157e-06,-6.57551e-06,-7.67257e-07
0.5,Terrain,spikes,1.00101,0.197009,-0.000314723,-0.0143317,0.0414958,49.5085,9.75987e-05,-6.32987e-05,7.63291e-05
0.5,spikes,plane,1.001,0.196658,0.0908063,0.000320845,-0.000972348,-0.489896,6.86024e-06,-6.20393e-06,-9.09354e-07
0.51,Terrain,spikes,0.999604,0.201513,-0.000308033,0.00726703,-0.0208848,49.4721,0.000113596,-7.72514e-05,-3.8061e-05
0.51,spikes,plane,0.999705,0.20167,0.090828,-0.000165624,0.000478677,-0.489507,6.5384e-06,-6.12057e-06,-7.49206e-07
0.52,Terrain,spikes,1.00108,0.200503,-0.00030268,-0.0144898,-0.00866236,49.4615,0.000114111,-6.84026e-05,7.61193e-06
0.52,spikes,plane,1.00111,0.200483,0.0908473,0.000326364,0.000189527,-0.489454,6.30629e-06,-6.11605e-06,-1.2897e-06
0.53,Terrain,spikes,0.998532,0.200472,-0.000298192,0.0249579,-0.00533751,49.4497,6.44253e-05,-4.87603e-05,-4.01583e-05
0.53,spikes,plane,0.998427,0.200518,0.0908653,-0.000580906,0.000118034,-0.489313,6.00969e-06,-5.82687e-06,9.17492e-07
0.54,Terrain,spikes,1.00055,0.199354,-0.000293141,-0.00817956,0.0088479,49.499,8.19498e-05,-6.24491e-05,2.12405e-05
0.54,spikes,plane,1.00056,0.199312,0.0908835,0.000181713,-0.000210852,-0.489827,6.07385e-06,-5.77632e-06,-8.59732e-08
0.55,Terrain,spikes,1.00148,0.201038,-0.000287556,-0.0217287,-0.0125607,49.4807,3.67184e-05,-3.27631e-05,1.54167e-05
0.55,spikes,plane,1.00158,0.201304,0.0909021,0.000496361,0.000294309,-0.489657,5.91974e-06,-5.48888e-06,9.21955e-07
0.56,Terrain,spikes,0.996653,0.197142,-0.000285123,0.0459018,0.0390796,49.452,5.56689e-05,-2.33092e-05,-9.03499e-06
0.56,spikes,plane,0.996372,0.196738,0.0909162,-0.00106753,-0.000919796,-0.489364,5.61795e-06,-5.23447e-06,2.208e-06
0.57,Terrain,spikes,1.0028,0.201609,-0.000278168,-0.0410056,-0.0205404,49.4916,4.74125e-05,-5.81695e-05,2.90595e-05
0.57,spikes,plane,1.00296,0.20188,0.0909356,0.000939614,0.000475884,-0.489798,5.67883e-06,-5.44197e-06,-7.89532e-07
0.58,Terrain,spikes,0.998845,0.199659,-0.000275137,0.0156136,0.0045818,49.4871,7.46501e-05,-4.97107e-05,-1.80517e-05
0.58,spikes,plane,0.998793,0.199521,0.0909498,-0.000364437,-0.000118796,-0.489737,5.46915e-06,-5.14782e-06,2.98449e-06
0.59,Terrain,spikes,1.00141,0.199546,-0.000270419,-0.0228223,0.0118866,49.4564,3.89664e-05,-2.71795e-05,3.58308e-05
0.59,spikes,plane,1.00162,0.199569,0.0909658,0.000527654,-0.00027739,-0.489436,5.32627e-06,-4.98696e-06,4.33143e-07
0.6,Terrain,spikes,1.00021,0.201424,-0.000266086,-0.00346907,-0.0194401,49.4835,3.91122e-05,-3.17627e-05,-8.65466e-06
0.6,spikes,plane,1.00022,0.201612,0.090981,7.42501e-05,0.000447221,-0.489725,5.30638e-06,-5.0406e-06,5.66713e-07
0.61,Terrain,spikes,0.998477,0.200805,-0.000262488,0.0213834,-0.0109574,49.4791,3.99411e-05,-3.39198e-05,-3.95997e-05
0.61,spikes,plane,0.998393,0.200946,0.0909951,-0.000497873,0.0002514,-0.489667,5.2047e-06,-4.85079e-06,-3.60687e-07
0.62,Terrain,spikes,1.00052,0.200247,-0.000258276,-0.00702977,-0.00345982,49.4776,4.67062e-05,-3.35806e-05,4.37266e-06
0.62,spikes,plane,1.0006,0.200288,0.0910096,0.000159376,7.46151e-05,-0.489676,5.12203e-06,-4.75092e-06,-4.60745e-07
0.63,Terrain,spikes,1.00092,0.199903,-0.000254493,-0.0126666,0.0012577,49.4766,3.96869e-05,-2.19679e-05,1.42468e-05
0.63,spikes,plane,1.00107,0.19987,0.0910232,0.000292017,-3.70733e-05,-0.489671,4.98445e-06,-4.63966e-06,1.25839e-06
0.64,Terrain,spikes,0.996675,0.2001,-0.000251533,0.0446208,-0.00104046,49.4223,2.76256e-05,-2.69327e-05,-4.31544e-05
0.64,spikes,plane,0.996349,0.200107,0.0910355,-0.00104144,1.75726e-05,-0.489138,4.67407e-06,-4.60167e-06,5.77498e-07
0.65,Terrain,spikes,1.00164,0.197786,-0.000247752,-0.0243656,0.0333125,49.5279,2.28436e-05,-1.64277e-05,5.52504e-05
0.65,spikes,plane,1.00189,0.197742,0.0910485,0.00056564,-0.000769843,-0.490183,4.50196e-06,-4.09567e-06,7.11532e-07
0.66,Terrain,spikes,1.00182,0.202925,-0.000243429,-0.027567,-0.0389515,49.4505,2.44095e-05,-2.37295e-05,-8.69708e-06
0.66,spikes,plane,1.00185,0.203188,0.0910618,0.000626372,0.000896904,-0.489465,4.22601e-06,-4.1849e-06,6.87032e-06
0.67,Terrain,spikes,0.999474,0.200897,-0.000241073,0.00729238,-0.0121886,49.4835,2.20753e-05,-1.76672e-05,-1.95007e-05
0.67,spikes,plane,0.999548,0.200964,0.0910725,-0.00016776,0.000275494,-0.489754,4.44486e-06,-4.22054e-06,1.8682e-08
0.68,Terrain,spikes,0.998866,0.198491,-0.000238452,0.0157923,0.0207528,49.5073,2.62951e-05,-1.2651e-05,1.7248e-06
0.68,spikes,plane,0.998805,0.19835,0.0910832,-0.000369301,-0.000488134,-0.489997,4.23811e-06,-4.09455e-06,7.37738e-07
0.69,Terrain,spikes,0.998755,0.198266,-0.000235421,0.0164142,0.0259149,49.4749,2.63428e-05,-2.44373e-05,6.88352e-06
0.69,spikes,plane,0.998635,0.198236,0.0910943,-0.000386591,-0.000600115,-0.489682,4.06423e-06,-3.94341e-06,-3.67283e-07
0.7,Terrain,spikes,1.0023,0.202923,-0.000231061,-0.0304424,-0.0413069,49.4751,3.47392e-05,-1.6239e-05,-6.92371e-06
0.7,spikes,plane,1.00257,0.203234,0.0911069,0.000704385,0.000953707,-0.48971,4.0324e-06,-3.81651e-06,1.74903e-06
0.71,Terrain,spikes,1.00003,0.198142,-0.000229467,-0.000936889,0.0258483,49.4915,1.50656e-05,-1.54487e-05,2.2883e-05
0.71,spikes,plane,1.00005,0.197977,0.0911155,1.7133e-05,-0.000606019,-0.489868,4.01758e-06,-3.67908e-06,-1.29604e-07
0.72,Terrain,spikes,0.999962,0.202549,-0.00022585,0.000647867,-0.0341571,49.4549,1.49374e-05,-1.40876e-05,-2.8701e-05
0.72,spikes,plane,1.00007,0.202868,0.0911268,-1.39616e-05,0.000790813,-0.489498,3.65086e-06,-3.62094e-06,2.02433e-07
0.73,Terrain,spikes,1.00191,0.199366,-0.000223502,-0.0260186,0.00893684,49.496,1.15847e-05,-9.29978e-06,3.1066e-05
0.73,spikes,plane,1.00219,0.199401,0.091136,0.00060446,-0.000208789,-0.489911,3.83318e-06,-3.47673e-06,-4.56841e-07
0.74,Terrain,spikes,0.998491,0.201583,-0.000221028,0.0199859,-0.0211896,49.4377,1.68475e-05,-1.66879e-05,-3.3051e-05
0.74,spikes,plane,0.998368,0.201738,0.0911452,-0.000468228,0.00048588,-0.489353,3.53691e-06,-3.50919e-06,2.10674e-06
0.75,Terrain,spikes,0.999086,0.194918,-0.00021973,0.0117424,0.0709681,49.4987,1.65075e-05,-1.75681e-05,4.16389e-05
0.75,spikes,plane,0.998975,0.194673,0.0911525,-0.000279401,-0.00164077,-0.489948,3.36385e-06,-3.09039e-06,1.7522e-07
0.76,Terrain,spikes,1.00045,0.204018,-0.000215549,-0.00678536,-0.0559612,49.5028,1.18062e-05,-9.56195e-06,-3.42197e-05
0.76,spikes,plane,1.00053,0.204347,0.0911637,0.000153995,0.00128936,-0.490012,3.37977e-06,-3.41674e-06,-7.61564e-07
0.77,Terrain,spikes,0.999635,0.199478,-0.000214142,0.00528986,0.00679895,49.4913,1.04879e-05,-6.14641e-06,2.53125e-06
0.77,spikes,plane,0.999702,0.199466,0.0911709,-0.000122683,-0.000162543,-0.489881,3.31369e-06,-3.18102e-06,1.38312e-07
0.78,Terrain,spikes,1.00046,0.198241,-0.000211915,-0.00628789,0.0240444,49.4938,1.59831e-05,-5.49804e-06,2.17127e-05
0.78,spikes,plane,1.00055,0.198152,0.0911791,0.000142896,-0.000560637,-0.489918,3.26629e-06,-2.95852e-06,-3.47776e-07
0.79,Terrain,spikes,0.999394,0.203441,-0.000208952,0.00827621,-0.0469881,49.4193,1.5305e-05,-1.03858e-05,-3.74907e-05
0.79,spikes,plane,0.999434,0.203827,0.0911882,-0.000192336,0.00108781,-0.489184,2.93098e-06,-2.92268e-06,-2.25169e-06
0.8,Terrain,spikes,1.00101,0.198328,-0.000207536,-0.0133745,0.0233414,49.5362,9.35088e-06,-1.38282e-06,2.35608e-05
0.8,spikes,plane,1.00111,0.198274,0.0911948,0.000305292,-0.000542832,-0.490352,3.03351e-06,-2.6402e-06,2.7059e-07
0.81,Terrain,spikes,0.998441,0.199078,-0.000205762,0.0214086,0.0129407,49.4884,5.04681e-06,-2.35519e-06,-6.60558e-06
0.81,spikes,plane,0.998362,0.198949,0.0912017,-0.000498839,-0.000309486,-0.489875,2.91254e-06,-2.70372e-06,-7.12852e-07
0.82,Terrain,spikes,1.00118,0.2011,-0.000203148,-0.016951,-0.0138434,49.4848,5.40905e-06,-2.45314e-06,1.92108e-06
0.82,spikes,plane,1.00144,0.201425,0.0912099,0.000396354,0.000327307,-0.489827,2.81847e-06,-2.60297e-06,-3.20834e-07
0.83,Terrain,spikes,1.00168,0.200571,-0.000201275,-0.0236119,-0.00693486,49.4759,5.99461e-06,-6.16757e-06,1.40121e-05
0.83,spikes,plane,1.00187,0.200697,0.0912168,0.000544844,0.00015864,-0.489768,2.82057e-06,-2.54053e-06,1.02341e-06
0.84,Terrain,spikes,0.996874,0.199742,-0.00020015,0.0435501,0.00350314,49.4693,9.35597e-06,-5.4545e-06,-2.77597e-05
0.84,spikes,plane,0.996579,0.199767,0.0912224,-0.00101671,-8.5171e-05,-0.489696,2.62157e-06,-2.5914e-06,-9.74163e-07
0.85,Terrain,spikes,1.00176,0.199273,-0.000197882,-0.0237207,0.0102091,49.5052,1.02751e-05,-5.55679e-06,2.21871e-05
0.85,spikes,plane,1.00198,0.199218,0.0912296,0.000548347,-0.000242955,-0.49007,2.63824e-06,-2.38567e-06,7.24433e-07
0.86,Terrain,spikes,1.00191,0.201211,-0.000195843,-0.024914,-0.0172995,49.4541,8.05848e-06,-3.61604e-07,4.77071e-06
0.86,spikes,plane,1.00221,0.201456,0.0912364,0.000580079,0.000402337,-0.48955,2.58062e-06,-2.40127e-06,-9.70156e-07
