time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.44,Terrain,spikes,0.997483,0.199856,-0.000371356,0.0352703,0.000627032,49.4772,5.44786e-05,-1.8101e-05,-3.47976e-05
0.44,spikes,plane,0.99723,0.199827,0.09065,-0.000820694,-1.89283e-05,-0.489512,4.39038e-06,-4.03986e-06,2.95498e-07
0.45,Terrain,spikes,1.003,0.200992,-0.000362658,-0.0410465,-0.0136191,49.4556,3.27518e-05,-1.07754e-05,3.07986e-05
0.45,spikes,plane,1.00327,0.201167,0.090677,0.000947851,0.000316666,-0.489323,4.54578e-06,-3.86458e-06,4.0094e-07
0.46,Terrain,spikes,0.997733,0.199498,-0.000356664,0.0302451,0.00894836,49.485,1.68622e-05,-1.78641e-05,-2.59619e-05
0.46,spikes,plane,0.997483,0.199491,0.0906999,-0.00070533,-0.00020788,-0.48961,4.06305e-06,-3.49786e-06,1.60791e-06
0.47,Terrain,spikes,1.00092,0.199222,-0.000349301,-0.0127442,0.00964645,49.4636,5.12466e-05,-2.57134e-05,1.95005e-05
0.47,spikes,plane,1.001,0.198956,0.0907241,0.000292312,-0.000237816,-0.489441,4.00537e-06,-3.42661e-06,2.00385e-06
0.48,Terrain,spikes,0.997985,0.200423,-0.000342644,0.0272013,-0.00568724,49.4606,2.98445e-05,-1.52852e-05,-3.00599e-05
0.48,spikes,plane,0.997796,0.200523,0.090747,-0.000632877,0.000131771,-0.489386,3.89341e-06,-3.37387e-06,-4.27547e-07
0.49,Terrain,spikes,1.00231,0.201504,-0.000335303,-0.0312724,-0.0206622,49.4757,2.64155e-05,-1.5098e-05,1.33745e-05
0.49,spikes,plane,1.00259,0.201702,0.0907703,0.00072619,0.000478855,-0.489558,3.90179e-06,-3.09084e-06,-1.02878e-06
0.5,Terrain,spikes,0.998121,0.19947,-0.000330055,0.0249986,0.00735171,49.4473,1.98069e-05,-1.32295e-05,-2.10986e-05
0.5,spikes,plane,0.99794,0.19936,0.0907902,-0.000582151,-0.000177135,-0.48929,3.84473e-06,-3.08735e-06,8.97887e-07
0.51,Terrain,spikes,1.00148,0.201458,-0.000323104,-0.0211297,-0.0196646,49.4596,6.63664e-06,-1.55767e-05,3.065e-06
0.51,spikes,plane,1.00153,0.201553,0.0908121,0.000482526,0.000450247,-0.48944,3.7771e-06,-3.19269e-06,-6.76371e-07
0.52,Terrain,spikes,0.999768,0.201078,-0.00031759,0.00248156,-0.0133709,49.4174,4.76545e-06,-7.98149e-06,-8.33353e-06
0.52,spikes,plane,0.999739,0.201106,0.0908316,-6.04663e-05,0.000303103,-0.489025,3.58157e-06,-3.01071e-06,-4.24123e-07
0.53,Terrain,spikes,0.999825,0.197454,-0.000312724,0.00179474,0.0362913,49.5555,1.2022e-05,-1.33699e-05,2.40294e-05
0.53,spikes,plane,0.999808,0.197261,0.0908498,-4.4017e-05,-0.000842289,-0.490371,3.62283e-06,-2.6987e-06,2.8142e-07
0.54,Terrain,spikes,1.00059,0.200173,-0.00030656,-0.0071343,-0.00352331,49.4658,1.75849e-05,-7.16785e-06,4.11901e-06
0.54,spikes,plane,1.00062,0.200205,0.0908695,0.000161763,7.89567e-05,-0.489512,3.27997e-06,-2.36161e-06,1.07509e-06
0.55,Terrain,spikes,0.999389,0.198172,-0.000301693,0.00810819,0.0248573,49.4749,3.14095e-05,-1.71906e-05,2.24048e-06
0.55,spikes,plane,0.999378,0.197979,0.090887,-0.000187821,-0.000581263,-0.489598,3.37035e-06,-2.27041e-06,-3.2412e-07
0.56,Terrain,spikes,1.00104,0.20199,-0.000295585,-0.0133986,-0.0279423,49.4699,1.31992e-05,-2.97044e-06,2.19887e-06
0.56,spikes,plane,1.00109,0.202221,0.0909059,0.000306319,0.000647238,-0.489576,3.06853e-06,-2.19922e-06,1.53761e-06
0.57,Terrain,spikes,0.998844,0.198422,-0.000291574,0.0154583,0.0222998,49.4785,8.62768e-06,-2.26607e-06,5.23767e-07
