Iter,planTime,expl_limit,path_cover_size,path_length
0,0,0,100,0.917439
100,1.19104,0,100,0.917439
200,2.22096,0,100,0.917439
300,3.11061,0,100,0.917439
400,4.12737,0,100,0.917439
500,5.36755,1,100,0.917439
600,7.01197,0,0,3.91364
700,7.81054,0,0,3.91364
800,8.57084,0,0,3.91364
900,9.71263,0,0,3.91364
1000,10.7333,0,0,3.91364
1100,11.6682,0,0,3.91364
1200,12.7531,0,0,3.91364
1300,13.208,0,0,3.91364
1400,13.7924,0,0,3.91364
1500,14.5302,0,0,3.91364
1600,15.405,0,0,3.91364
1700,16.32,0,0,3.91364
1800,17.4289,0,0,3.91364
1900,18.4449,0,0,3.91364
2000,19.289,0,0,3.91364
2100,19.9936,0,0,3.91364
2200,20.7708,0,0,3.91364
2300,21.7027,0,0,3.91364
2400,22.2765,0,0,3.91364
2500,23.0142,0,0,3.91364
2600,23.5566,0,0,3.91364
2700,24.135,0,0,3.91364
2800,24.8218,0,0,3.91364
2900,25.3442,0,0,3.91364
3000,25.6742,0,0,3.91364
3100,26.206,0,0,3.91364
3200,26.8517,0,0,3.91364
3300,27.3517,0,0,3.91364
3400,27.9872,0,0,3.91364
3500,28.4178,0,0,3.91364
3600,28.8416,0,0,3.91364
3700,29.1157,0,0,3.91364
3800,29.4083,0,0,3.91364
3900,29.8614,0,0,3.91364
4000,30.3175,0,0,3.91364
4100,31.0202,0,0,3.91364
4200,31.4024,0,0,3.91364
4300,31.7496,0,0,3.91364
4400,32.1757,0,0,3.91364
4500,32.5038,0,0,3.91364
4600,32.7107,0,0,3.91364
4700,33.1665,0,0,3.91364
4800,33.4684,0,0,3.91364
4900,33.7835,0,0,3.91364
5000,34.1362,0,0,3.91364
5100,34.641,0,0,3.91364
5200,34.9643,0,0,3.91364
5300,35.3014,0,0,3.91364
5400,35.6702,0,0,3.91364
5500,35.9426,0,0,3.91364
5600,36.2483,0,0,3.91364
5700,36.5802,0,0,3.91364
5800,36.9078,0,0,3.91364
5900,37.199,0,0,3.91364
6000,37.5636,0,0,3.91364
6100,38.0595,0,0,3.91364
6200,38.4064,0,0,3.91364
