Iter,planTime,expl_limit,path_cover_size,path_length
0,0,4,100,0.845012
100,0.455899,4,100,0.845012
200,0.715962,4,100,0.845012
300,1.59312,4,100,0.845012
400,2.24465,4,100,0.845012
500,2.50645,10,100,0.845012
600,2.7269,10,100,0.845012
700,3.21271,10,100,0.845012
800,3.58244,10,100,0.845012
900,3.89777,10,100,0.845012
1000,4.85733,16,100,0.845012
1100,5.4283,16,100,0.845012
1200,6.08801,16,100,0.845012
1300,6.55896,16,100,0.845012
1400,6.74192,16,100,0.845012
1500,7.11055,22,100,0.845012
1600,7.91928,22,100,0.845012
1700,8.5695,22,100,0.845012
1800,9.12453,22,100,0.845012
1900,9.78588,22,100,0.845012
2000,10.106,28,100,0.845012
2100,10.7529,28,100,0.845012
2200,11.6631,28,100,0.845012
2300,12.1022,28,100,0.845012
2400,12.7951,28,100,0.845012
2500,13.5578,35,100,0.845012
2600,13.89,35,100,0.845012
2700,14.4499,35,100,0.845012
2800,15.267,35,100,0.845012
2900,16.4389,35,100,0.845012
3000,16.9343,42,100,0.845012
3100,17.9349,42,100,0.845012
3200,20.1451,42,100,0.845012
3300,22.6116,42,100,0.845012
3400,25.477,42,100,0.845012
3500,27.3269,50,100,0.845012
3600,31.1689,50,100,0.845012
3700,34.8944,50,100,0.845012
3800,37.6919,45,46,4.25758
3900,40.5509,44,45,4.31277
4000,42.6172,41,42,4.26774
4100,44.1552,41,42,4.26774
4200,46.1812,41,42,4.26774
4300,47.0506,41,42,4.26774
4400,49.0717,41,42,4.26774
4500,51.1433,41,42,4.26774
4600,52.8434,41,42,4.26774
4700,53.5453,41,42,4.26774
4800,55.2132,36,37,4.30843
4900,55.5947,36,37,4.30843
5000,56.5338,36,37,4.30843
5100,59.0698,36,37,4.30843
5200,61.1226,36,37,4.30843
5300,62.1613,36,37,4.30843
5400,64.3074,36,37,4.30843
5500,65.054,36,37,4.30843
5600,66.9275,36,37,4.30843
5700,67.2748,36,37,4.30843
5800,69.8278,36,37,4.30843
5900,71.5288,36,37,4.30843
6000,72.9589,36,37,4.30843
6100,73.4512,36,37,4.30843
6200,75.1404,36,37,4.30843
6300,76.491,36,37,4.30843
6400,78.1438,36,37,4.30843
6500,79.8229,36,37,4.30843
6600,80.6133,36,37,4.30843
6700,82.6151,36,37,4.30843
6800,83.6893,36,37,4.30843
6900,84.591,36,37,4.30843
7000,86.7855,35,36,4.23813
7100,87.5726,35,36,4.23813
7200,88.0965,35,36,4.23813
7300,89.5129,35,36,4.23813
7400,90.6423,35,36,4.23813
7500,92.4573,35,36,4.23813
7600,93.1025,35,36,4.23813
7700,94.3703,35,36,4.23813
7800,95.398,35,36,4.23813
7900,95.587,35,36,4.23813
8000,97.5833,35,36,4.23813
8100,98.6073,35,36,4.23813
8200,99.8765,35,36,4.23813
8300,101.549,33,34,4.48272
8400,102.336,32,33,4.43921
8500,102.608,32,33,4.43921
8600,103.238,32,33,4.43921
8700,103.488,32,33,4.43921
8800,103.708,32,33,4.43921
8900,104.565,31,32,4.43152
9000,104.811,31,32,4.43152
9100,105.112,31,32,4.43152
9200,105.43,31,32,4.43152
9300,105.56,31,32,4.43152
9400,106.039,31,32,4.43152
9500,106.279,31,32,4.43152
9600,106.37,31,32,4.43152
9700,107.267,31,32,4.43152
9800,107.924,31,32,4.43152
9900,108.755,31,32,4.43152
10000,109.404,4,32,4.43152
