time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
0.04,floor,heinz,20,-0.00115360666532,-0.00427543077967,0.000258629645396,-0.0237314529717,-0.125756005477,-0.657254169881,-1.07968425751,0.152120575309,26.2030444145,5.86290318809e-05,4.94214622059e-05,-0.000359561493897
0.07,floor,heinz,20,-0.00403823674424,-0.000133398047183,0.000372271744709,0.011016001692,0.0824797905982,-0.68956028223,0.720942139626,0.0482031852007,13.4623584747,0.0,0.0,0.0
0.09,floor,heinz,20,0.015788680478,-0.00429264207578,0.000337201306502,0.200947799161,-0.119577059709,-0.704648241401,-0.348907649517,-0.677726149559,16.1591930389,0.0,0.0,0.0
0.1,floor,heinz,20,-0.00584881838877,0.000671851914376,0.000225344157661,-0.112557982653,0.0800982322544,-0.669718407094,0.67661640048,-0.463595628738,24.0774769783,-0.000353048803924,0.000185710112577,0.00120801364417
0.11,floor,heinz,9,-0.0120516085826,-0.0278285278214,0.000199789467727,-0.0410861207379,-0.195882532332,-0.874342150158,0.380482111126,0.746684357058,18.2766403388,4.39959088432e-05,0.000128951699334,-0.00297123025625
0.13,floor,heinz,20,-0.000204426090932,-0.00251721145469,0.000289690197678,0.0768707714975,-0.0436439011246,-0.658227951825,1.18370294571,-0.598544642329,33.0202274323,4.20849161575e-07,-3.90671821748e-06,-0.000912809255127
0.14,floor,heinz,20,-0.00241449955647,0.00216625628527,0.000250104702718,-0.00963277276605,0.0978759739548,-0.603827676177,0.436927720904,-0.685767710209,19.2853012085,9.46133605634e-05,-6.40530214982e-05,-0.0055586712536
0.17,floor,heinz,20,-0.0193970145861,-0.000436121022182,0.000347541099993,-0.220829605041,0.0400155785566,-0.73801369071,0.617276668549,-0.109836339951,11.5996789932,0.0,0.0,0.0
0.19,floor,heinz,20,-0.00392259978689,-0.000912911412888,0.000153369024338,-0.115736990422,-0.047542832233,-0.627866189182,-0.442687213421,-0.195680767298,9.67083930969,0.0,0.0,0.0
0.21,floor,heinz,20,-0.0206251023258,-0.0173338724824,0.00024848726513,-0.234900294989,-0.376085281279,-0.667786797881,0.811922967434,0.546105921268,18.4007663727,0.0,0.0,0.0
0.24,floor,heinz,15,0.0300777446479,-0.0144136145209,0.000114273822965,0.482183492184,-0.242845465243,-0.670786525806,-0.280510008335,0.191938579082,6.48241311312,-5.60719404404e-05,4.17284742243e-05,0.00627905636462
0.26,floor,heinz,15,0.00475616492313,-0.028068875894,0.000187001569478,0.0147148430347,-0.465033539136,-0.698901681105,-0.335596323013,0.367751121521,9.52615833282,0.0,0.0,0.0
0.27,floor,heinz,20,-0.000951742584584,-0.00300521657337,0.00025550488208,-0.00509844459593,-0.0832555230707,-0.630527962744,-0.00383041752502,-0.537093818188,11.6694574356,0.0,0.0,0.0
0.28,floor,heinz,20,-0.0162106156989,-0.00862630049954,0.000387743609454,-0.175473969476,-0.210579666495,-0.647860792279,0.741307139397,0.546261131763,17.0479946136,0.0,0.0,0.0
0.31,floor,heinz,20,0.0231913520386,0.000335232965779,0.000591983809585,0.217813057452,-0.0107268504798,-0.801939639449,-1.2793315649,0.570163965225,26.1495094299,0.0,0.0,0.0
0.33,floor,heinz,20,0.00666475150505,-0.015575939999,0.000134465965078,0.165800942481,-0.372593325377,-0.598838695884,1.33649301529,0.61914896965,28.3892631531,0.0,0.0,0.0
0.35,floor,heinz,20,0.00187956045265,-5.62861125218e-05,0.000254775994108,0.0890642423183,0.0986447051167,-0.681085826457,-0.914123773575,0.325745224953,25.0424323082,-0.000113610624894,0.000587682728609,0.000882292907352
0.36,floor,heinz,20,-0.00910051218234,-0.00191468448029,0.000442292139633,-0.119950781763,-0.0164819963276,-0.750764079392,1.85283565521,0.0182719156146,34.3705101013,0.0,0.0,0.0
0.4,floor,heinz,20,-0.00983732066086,-0.0138087210484,0.000309727544734,-0.132923209761,-0.265004480507,-0.748833149672,0.0985718369484,0.526639819145,22.9704153538,0.000223136529056,-0.000140865069611,0.000135922822125
0.41,floor,heinz,20,0.0220750409748,-0.0117878815092,0.000386256379581,0.276825180696,-0.182401839085,-0.741776706278,-0.940896809101,0.401170819998,18.8634166718,0.0,0.0,0.0
0.41,heinz,RobotiQ 3-Finger Adaptive Gripper[reflex:proximal_pad_2],2,0.0463959854096,-0.0208912231028,0.0517256706953,-0.848025172949,0.529697448015,0.0103883938573,0.0,0.0,0.0,0.0,0.0,0.0
0.42,heinz,RobotiQ 3-Finger Adaptive Gripper[reflex:proximal_pad_1],2,0.0480228997767,-0.0162535887212,0.106063149869,-0.820051282644,0.526642486453,0.204553894699,0.0,0.0,0.0,0.0,0.0,0.0
0.42,heinz,RobotiQ 3-Finger Adaptive Gripper[reflex:proximal_pad_2],3,0.0470168367028,-0.0190482878437,0.0516703650355,-0.849519610405,0.527243971825,0.0135156020988,0.0,0.0,0.0,0.0,0.0,0.0
0.43,heinz,RobotiQ 3-Finger Adaptive Gripper[reflex:proximal_pad_1],2,0.04825524427,-0.0154677019455,0.107956517488,-0.830711811781,0.474988639355,0.28960891068,0.0,0.0,0.0,0.0,0.0,0.0
0.44,floor,heinz,4,0.016019789502,-0.0284926155582,0.000197404340724,0.0644440576434,-0.456180989742,-0.694282993674,-0.286013551056,0.390798121691,9.47537946701,-9.19384504205e-09,-3.82740386259e-09,0.000327067353033
