target r,target y,target x
19,372,534
time,widget x,widget y
1.34200000763,151,144
1.49799990654,165,158
1.52900004387,198,184
1.52900004387,226,207
1.55999994278,309,262
1.59200000763,386,310
1.59200000763,409,323
1.62299990654,447,343
1.65400004387,468,353
1.65400004387,471,353
1.68499994278,475,353
1.90400004387,481,353
1.90400004387,484,353
1.93499994278,491,355
1.96600008011,498,356
1.96600008011,501,356
1.99699997902,506,358
2.02800011635,510,358
2.02800011635,513,359
2.05999994278,514,359
2.09100008011,515,359
2.15300011635,517,359
2.15300011635,519,359
2.18400001526,520,359
2.27800011635,521,359
2.27800011635,522,359
2.30900001526,523,359
