pattern,height,speed,width
circle,1.19434307982,213.563883952,0.561974800803
time,slider velocity y,slider velocity x,widget x,widget y,slider param,slider y,slider x
6.60399985313,213.504706397,-5.02721344698,512.394960161,300.0,0.0,300.0,512.394960161
6.65599989891,213.311719711,-9.10699094945,511.394960161,300.0,0.0520000457764,311.102254506,512.133544831
6.6819999218,213.187232541,-11.7386748664,511.394960161,303.0,0.0780000686646,316.653381759,512.002837167
6.6819999218,213.187232541,-11.7386748664,511.394960161,305.0,0.0780000686646,316.653381759,512.002837167
6.70899987221,213.057957754,-14.4715699702,511.394960161,309.0,0.105000019073,322.417998244,511.867102653
6.70899987221,213.057957754,-14.4715699702,511.394960161,311.0,0.105000019073,322.417998244,511.867102653
6.7349998951,212.942210426,-16.0248316134,511.394960161,314.0,0.131000041962,327.959881554,511.540976175
6.7349998951,212.942210426,-16.0248316134,509.394960161,317.0,0.131000041962,327.959881554,511.540976175
6.76099991798,212.685604683,-18.7097499945,509.394960161,323.0,0.15700006485,333.49856009,511.147100119
6.78900003433,212.409259131,-21.6012100283,509.394960161,330.0,0.185000181198,339.463310356,510.722924515
6.8149998188,212.15265574,-24.2861037889,509.394960161,340.0,0.210999965668,345.001938103,510.32905207
6.84099984169,211.955266982,-26.049508857,509.394960161,349.0,0.236999988556,350.526325067,509.785640379
6.86699986458,211.550401716,-28.8252871635,509.394960161,354.0,0.263000011444,356.039343029,509.123272485
6.89299988747,211.145536449,-31.6010654699,509.394960161,361.0,0.289000034332,361.55236099,508.46090459
6.89299988747,211.145536449,-31.6010654699,508.394960161,364.0,0.289000034332,361.55236099,508.46090459
6.91999983788,210.725100584,-34.4835966486,508.394960161,366.0,0.315999984741,367.277402549,507.773062876
6.91999983788,210.725100584,-34.4835966486,508.394960161,369.0,0.315999984741,367.277402549,507.773062876
6.9470000267,210.374477176,-36.6899832471,507.394960161,374.0,0.343000173569,372.984781465,506.963772444
6.97299981117,209.794810453,-39.5973773304,507.394960161,380.0,0.368999958038,378.457262717,506.023835338
6.99899983406,209.215138414,-42.5047980745,505.394960161,383.0,0.394999980927,383.929794152,505.083889613
7.02499985695,208.635466376,-45.4122188187,504.394960161,389.0,0.421000003815,389.402325587,504.143943888
7.05099987984,208.081938309,-47.9952366619,504.394960161,392.0,0.447000026703,394.855207746,503.105444653
7.07699990273,207.287290842,-51.0793032931,504.394960161,395.0,0.473000049591,400.269771977,501.874756854
7.10299992561,206.492643374,-54.1633699244,503.394960161,398.0,0.499000072479,405.684336208,500.644069054
7.1289999485,205.697995906,-57.2474365556,501.394960161,404.0,0.525000095367,411.098900439,499.413381255
7.15499997139,204.769702274,-60.5166066971,500.394960161,407.0,0.551000118256,416.484204177,498.069132012
