target r,target y,target x
36,150,569
time,widget x,widget y
1.09200000763,548,346
1.12400007248,547,346
1.15499997139,547,344
1.15499997139,546,343
1.1859998703,546,339
1.21700000763,546,315
1.21700000763,546,298
1.24799990654,547,255
1.27999997139,558,209
1.3109998703,558,205
1.34200000763,559,204
1.37299990654,560,199
1.40400004387,564,193
1.40400004387,564,192
1.4359998703,566,190
1.46700000763,567,189
1.52900004387,567,188
1.59200000763,568,184
1.65400004387,568,183
1.71599984169,569,179
1.74799990654,569,177
1.77900004387,569,176
1.80999994278,570,176
