target r,target y,target x
49,314,255
time,widget x,widget y
1.1859998703,548,169
1.30999994278,542,175
1.30999994278,537,179
1.34200000763,517,195
1.37299990654,480,220
1.37299990654,457,233
1.40399980545,417,251
1.43499994278,393,257
1.43499994278,385,259
1.46599984169,369,262
1.49799990654,352,266
1.49799990654,345,267
1.52899980545,334,270
1.55999994278,324,270
1.55999994278,318,270
1.59099984169,307,272
1.62199997902,298,275
1.62199997902,294,276
1.65399980545,288,279
1.68499994278,282,282
1.68499994278,281,282
1.71599984169,280,283
1.77799987793,278,287
1.80999994278,275,289
1.80999994278,274,290
1.84099984169,273,293
1.87199997902,273,294
1.87199997902,272,294
1.96599984169,272,295
