target r,target y,target x
10,262,382
time,widget x,widget y
0.936000108719,482,225
0.936000108719,480,225
0.968000173569,478,225
0.968000173569,477,225
0.999000072479,475,225
1.03000020981,469,225
1.06100010872,454,233
1.09200000763,435,244
1.09200000763,428,249
1.12400007248,415,254
1.15500020981,408,257
1.15500020981,407,257
1.18600010872,403,258
1.21700000763,399,260
1.21700000763,398,260
1.24800014496,394,261
1.28000020981,393,261
1.31100010872,392,261
1.34200000763,390,261
1.34200000763,389,261
1.37300014496,387,261
1.40400004387,386,261
1.59200000763,386,262
