target r,target y,target x
14,154,169
time,widget x,widget y
1.12299990654,355,333
1.24799990654,352,329
1.27900004387,335,312
1.3109998703,315,292
1.3109998703,304,282
1.34200000763,277,258
1.37299990654,249,235
1.37299990654,236,224
1.40400004387,214,204
1.43499994278,199,191
1.43499994278,195,188
1.46700000763,184,181
1.49799990654,176,177
1.49799990654,173,176
1.52900004387,166,170
1.55999994278,160,162
1.55999994278,158,158
1.59099984169,153,152
1.62299990654,150,148
1.65400004387,150,147
1.68499994278,149,147
1.90299987793,150,147
1.93499994278,152,147
1.96599984169,154,147
2.02799987793,155,147
2.05900001526,156,147
