target r,target y,target x
13,396,177
time,widget x,widget y
0.842000007629,277,198
0.904000043869,275,204
0.904000043869,272,208
0.9359998703,268,221
0.967000007629,261,237
0.967000007629,255,247
0.99799990654,240,279
1.02900004387,214,331
1.02900004387,202,357
1.05999994278,192,386
1.09200000763,190,390
1.30999994278,189,390
1.34099984169,188,391
1.34099984169,187,391
1.37199997902,186,392
1.40400004387,184,394
1.46599984169,182,395
1.49699997902,182,396
1.52799987793,181,396
1.55999994278,181,397
