target r,target y,target x
15,260,175
time,widget x,widget y
1.15499997139,530,277
1.24799990654,526,277
1.24799990654,520,279
1.27900004387,491,283
1.3109998703,456,285
1.3109998703,436,285
1.34200000763,395,277
1.37299990654,353,268
1.37299990654,336,264
1.40400004387,311,264
1.43499994278,294,262
1.43499994278,285,262
1.46700000763,273,259
1.49799990654,264,258
1.49799990654,259,256
1.52900004387,250,255
1.55999994278,240,252
1.55999994278,235,252
1.59099984169,225,250
1.62299990654,216,250
1.62299990654,211,250
1.65400004387,206,250
1.68499994278,203,250
1.68499994278,201,250
1.71599984169,199,250
1.74699997902,197,250
1.74699997902,196,250
1.77900004387,193,251
1.80999994278,192,253
1.80999994278,191,253
1.84099984169,189,254
1.87199997902,185,255
1.90299987793,183,256
1.96599984169,182,257
1.99699997902,180,258
2.18400001526,180,260
