target r,target y,target x
52,203,213
time,widget x,widget y
1.15399980545,499,352
1.15399980545,499,353
1.18499994278,499,354
1.18499994278,499,356
1.30999994278,493,354
1.30999994278,486,348
1.34099984169,456,329
1.37199997902,415,304
1.37199997902,393,293
1.40399980545,353,273
1.43499994278,315,253
1.43499994278,298,247
1.46599984169,279,235
1.49699997902,270,229
1.49699997902,261,225
1.52799987793,255,223
1.55999994278,246,220
1.55999994278,243,218
1.59099984169,241,217
1.68399977684,240,217
1.74699997902,239,217
