target r,target y,target x
22,196,410
time,widget x,widget y
1.1850001812,277,342
1.3100001812,284,330
1.3100001812,294,317
1.34100008011,324,279
1.37300014496,352,246
1.37300014496,360,239
1.40400004387,369,229
1.4350001812,375,225
1.4350001812,376,225
1.46600008011,378,224
1.49700021744,380,224
1.49700021744,380,223
1.52900004387,381,223
1.5600001812,382,221
1.59100008011,387,218
1.62200021744,388,218
1.62200021744,388,217
1.65300011635,390,215
1.6850001812,391,214
1.6850001812,393,213
1.71600008011,395,212
1.74700021744,397,210
1.74700021744,398,208
1.77800011635,401,207
1.80900001526,402,206
1.87200021744,403,206
