target r,target y,target x
5,341,148
time,widget x,widget y
1.09200000763,133,244
1.09200000763,133,245
1.12400007248,133,247
1.12400007248,133,250
1.15499997139,133,252
1.18600010872,133,263
1.18600010872,133,269
1.21700000763,136,291
1.24800014496,144,318
1.24800014496,145,322
1.27999997139,147,325
1.49800014496,147,327
1.49800014496,147,328
1.52900004387,147,331
1.55999994278,147,333
1.55999994278,147,336
1.59200000763,147,338
1.62300014496,147,339
1.62300014496,147,340
1.65400004387,147,343
