target r,target y,target x
44,208,312
time,widget x,widget y
1.03000020981,498,359
1.12300014496,497,357
1.12300014496,494,353
1.15400004387,479,338
1.18600010872,460,320
1.18600010872,445,312
1.21700000763,420,291
1.24800014496,395,272
1.24800014496,382,264
1.27900004387,365,249
1.3100001812,351,238
1.3100001812,346,233
1.34200000763,332,223
1.37300014496,320,215
1.37300014496,314,211
1.40400004387,306,204
1.4350001812,299,199
1.4350001812,296,198
1.46600008011,293,194
1.49800014496,291,193
1.52900004387,290,193
1.71600008011,290,194
