trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target x rel,target y rel,target x rel var,target y rel var,target x rel pred 40,target y rel pred 40,target x rel pred 40 var,target y rel pred 40 var
0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,-0.000426287,-0.00256481,99.6789,39.8157
0,-0.131579,0.263158,0,0,0,0,0,0,0,0,0.00700623,1.62618e-05,22.1232,0.00228155,-0.0005599,-0.00223949,99.6791,39.8158
0,-0.131579,0.263158,-0.131579,0.263158,0,0,0,0,0,0,-0.098041,-0.00032733,22.124,0.00228156,-0.00027001,-0.00221131,99.6791,39.8158
0,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,0,0,0,0,-0.0892663,-0.000298517,22.124,0.00228156,-0.000273923,-0.00219635,99.6791,39.8158
0,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,0,0,-0.0678113,-0.000229533,22.124,0.00228156,-0.000263179,-0.00235142,99.6791,39.8158
0,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.0964154,-0.263903,22.124,0.00228156,-0.000157383,-0.00127097,99.6791,39.8158
0,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.0811923,-0.000278286,22.124,0.00228156,-0.000238835,-0.00214797,99.6791,39.8158
0,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.0918906,-0.000307229,22.124,0.00228156,-0.000208455,-0.00215134,99.6791,39.8158
0,-1.38332,1.02747,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-1.24187,-0.0041364,22.124,0.00228156,0.00196109,-0.00145859,99.6791,39.8158
0,-2.19563,1.63042,-1.38332,1.02747,-0.131579,0.263158,-0.131579,0.263158,-0.131579,0.263158,-1.81313,-0.00603924,22.124,0.00228156,0.00257148,-0.000651428,99.6791,39.8158
0,-1.58333,1.04166,-2.19563,1.63042,-1.38332,1.02747,-0.131579,0.263158,-0.131579,0.263158,-1.02563,-0.00343229,22.124,0.00228156,0.000736837,-0.000995197,99.6791,39.8158
0,-1.5,2.20835,-1.58333,1.04166,-2.19563,1.63042,-1.38332,1.02747,-0.131579,0.263158,-0.869173,-0.00284437,22.124,0.00228156,0.00134489,-0.000211811,99.6791,39.8158
0,-2.29167,1.87499,-1.5,2.20835,-1.58333,1.04166,-2.19563,1.63042,-1.38332,1.02747,-1.4648,-0.773348,22.124,0.00228156,0.0027554,0.00242874,99.6791,39.8158
