trial,target x rel,target y rel,target x rel var,target y rel var,target x rel pred 40,target y rel pred 40,target x rel pred 40 var,target y rel pred 40 var,,"calculated using relative coordinates, h=5, c=100"
0,8.81668,16.244,45.6311,125.656,-5.70514,0.90466,1011.19,948.214,,
0,-4.67187,2.31562,1085.23,1007.87,-5.53455,0.952417,1024.07,974.282,,
0,-4.37425,1.84796,1085.23,1007.87,-5.53456,0.952414,1024.07,974.282,,
0,-2.0276,10.1983,681.313,805.844,-5.65381,0.903978,1020.61,966.838,,
0,-1.93979,9.70886,681.314,805.845,-5.65382,0.903978,1020.61,966.838,,
0,-7.2315,2.86685,1069.77,1009.01,-5.63033,0.90951,1024.09,969.508,,
0,-7.23149,2.86684,1069.77,1009.01,-5.63033,0.90951,1024.09,969.508,,
0,-7.23151,2.86684,1069.77,1009.01,-5.63033,0.90951,1024.09,969.508,,
0,-7.05313,4.15893,1085.23,1007.87,-5.53455,0.952417,1024.07,974.282,,
0,-7.36608,4.06966,1085.23,1007.87,-5.53455,0.952417,1024.07,974.282,,
0,-10.1682,8.08389,575.672,290.735,-5.4469,0.690296,992.463,921.683,,
0,-9.87213,16.1819,188.99,173.642,-5.42947,0.766859,964.115,900.258,,
0,-9.1158,15.8166,133.551,163.389,-5.32857,0.692244,955.646,894.773,,
0,-0.167866,5.24573,98.3473,138.735,-4.86751,0.318055,937.233,890.963,,
0,1.12664,3.88582,71.5396,111.676,-4.78305,0.247922,932.797,889.853,,
0,8.67893,-5.95129,52.9337,37.2791,-4.19581,-0.208631,918.485,885.772,,
0,9.73616,-6.1304,67.2117,35.8977,-4.14318,-0.255564,917.453,882.967,,
0,6.60969,-3.93526,131.648,76.7637,-4.34183,-0.13303,926.414,876.071,,
0,4.4811,-4.26586,153.907,81.5143,-4.45509,-0.0640165,931.267,872.117,,
0,7.64624,-6.65894,133.078,68.6797,-4.3243,-0.150867,926.967,879.327,,
0,5.37186,-7.70926,180.791,123.192,-4.38651,-0.13283,932.312,882.859,,
0,-0.22507,-5.46639,243.533,217.593,-4.58793,-0.012316,944.521,881.511,,
0,-11.8482,7.66463,488.283,511.76,-4.81119,0.296445,979.142,895.848,,
0,-28.6001,26.7907,409.172,366.013,-5.0621,0.765981,1027.77,915.376,,
0,-39.3172,32.8419,185.83,120.058,-5.12498,0.917956,1042.88,920.192,,
0,-30.9586,24.3452,570.762,380.628,-4.94514,0.840007,1038.93,932.824,,
0,0.482781,-5.28605,230.114,143.751,-4.67508,0.664344,1018.09,948.46,,
0,0.74302,-6.44011,223.229,137.538,-4.67912,0.664137,1017.55,948.138,,
0,1.42188,-8.91475,223.014,137.414,-4.67921,0.664135,1017.54,948.131,,
0,-0.957539,-7.86941,223.013,137.413,-4.67921,0.664136,1017.54,948.131,,
0,1.21415,-8.88098,223.162,137.42,-4.67941,0.663872,1017.49,948.075,,
0,-1.77351,-4.77088,309.026,155.745,-4.77564,0.600654,1003.63,931.016,,
0,2.34073,-11.5984,681.314,805.845,-5.65382,0.903978,1020.61,966.838,,
0,-0.875168,1.56833,681.314,805.845,-5.65382,0.903978,1020.61,966.838,,
0,-6.27273,2.67442,1069.77,1009.01,-5.63033,0.90951,1024.09,969.508,,
0,-6.27273,2.67443,1069.77,1009.01,-5.63033,0.90951,1024.09,969.508,,
0,-6.27273,2.67442,1069.77,1009.01,-5.63033,0.90951,1024.09,969.508,,
0,-6.27273,2.67442,1069.77,1009.01,-5.63033,0.90951,1024.09,969.508,,
0,-7.65488,7.91891,1085.23,1007.87,-5.53455,0.952417,1024.07,974.282,,
0,-21.9799,8.11374,1085.23,1007.87,-5.53455,0.952417,1024.07,974.282,,
0,-25.5142,11.1157,230.697,68.6715,-4.92162,0.217965,954.944,860.191,,
0,-18.1158,9.00712,135.574,62.6494,-4.88839,0.202883,949.925,856.981,,
0,-13.7419,4.62825,140.203,62.6188,-4.8917,0.204074,950.238,857.197,,
0,-4.78082,1.8726,145.704,63.583,-4.89077,0.203321,950.202,857.249,,
0,-5.73255,0.83915,160.661,65.6975,-4.89372,0.203611,950.62,857.695,,
0,-2.73681,1.14397,135.31,65.5232,-4.88531,0.200777,949.77,857.094,,
0,-2.26625,1.65678,133.933,62.7995,-4.88654,0.202096,949.734,856.87,,
0,3.27744,2.45878,133.278,62.6257,-4.88633,0.202119,949.706,856.841,,
0,3.45592,0.460168,134.703,62.6843,-4.88684,0.202265,949.76,856.881,,
0,0.439757,1.0221,143.363,62.8001,-4.89033,0.203535,950.101,857.104,,
0,1.77316,0.107687,144.331,64.1058,-4.88875,0.202643,950.06,857.205,,
0,-8.90285,0.974152,134.414,62.9116,-4.88674,0.202445,949.772,856.888,,
0,-8.46849,3.80641,133.273,62.6376,-4.88636,0.202111,949.707,856.839,,
0,-10.2796,4.09703,133.59,62.6322,-4.88645,0.20211,949.719,856.852,,
0,-4.1291,2.95684,133.249,62.6761,-4.88611,0.202045,949.702,856.85,,
0,6.36083,-1.39373,139.936,82.4515,-4.87565,0.190366,950.196,859.068,,
0,3.15637,-3.75486,164.389,131.412,-4.84658,0.15714,951.47,865.145,,
