s,s[goal][0],s[goal][1],s[goalcost],s[ubound],s[timeCost],s[n],s[dt],s[effortCost],s[name],d,d[goal][0],d[goal][1],d[goalcost],d[ubound],d[timeCost],d[n],d[dt],d[effortCost],d[name],adapt_cost,adapt_iters,scratch_cost,subopt_score,goal_dist_sq,goalcost_dist,effortcost_dist,ubound_dist,timecost_dist
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3.133135314,17,2.930789571,0.069041375,0.142347423,6.37017536,0.565892711,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2.559904979,0,2.559904979,0,0,0,0,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3.333380634,19,3.097915715,0.076007529,1.855245697,6.93590832,0.191925967,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,2.657659066,33,2.217808554,0.198326637,0.358327513,21.35696504,0.042290511,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,3.854904759,38,3.324905853,0.159402681,0.430866275,2.33755217,0.81408349,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,3.370888361,15,3.063014452,0.100513371,0.139674612,7.71935437,0.744130822,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,3.313799411,18,3.073401905,0.078218701,0.266031921,13.98839778,0.587374942,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,2.389403415,12,2.249513128,0.062186917,1.36564435,32.27679343,0.604463981,0,0
2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,9,0.339161226,0.274036158,31.4846896,1,1,2,0.1,0.475075007,doubleIntegratorProblem,2.479375273,10,2.261152832,0.096509373,0.493535019,2.62844947,0.353999475,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2.345796907,12,2.092996702,0.120783853,1.197881554,4.93907361,0.396291135,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3.179058195,16,2.930789571,0.084710491,1.744179445,13.30608368,0.373966744,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2.869111884,26,2.559904979,0.120788431,1.855245697,6.93590832,0.191925967,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3.097915715,0,3.097915715,0,0,0,0,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,5.215265344,34,2.217808554,1.351539917,0.602808925,28.29287336,0.149635456,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,3.924676581,45,3.324905853,0.180387281,1.543532553,9.27346049,0.622157523,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,3.495470591,37,3.063014452,0.141186451,1.896776852,0.78344605,0.552204855,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,3.371911796,19,3.073401905,0.097126865,3.087893438,20.9243061,0.395448975,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,2.35051909,9,2.249513128,0.044901255,1.375265555,39.21270175,0.412538014,0,0
3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,9,0.339161226,0.274036158,31.4846896,1,1,2,0.1,0.475075007,doubleIntegratorProblem,2.478909256,7,2.261152832,0.096303275,0.448170886,9.56435779,0.162073508,0,0
