s,s[goal][0],s[goal][1],s[goalcost],s[ubound],s[timeCost],s[n],s[dt],s[effortCost],s[name],d,d[goal][0],d[goal][1],d[goalcost],d[ubound],d[timeCost],d[n],d[dt],d[effortCost],d[name],adapt_cost,adapt_iters,scratch_cost
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.251062882316146,7,2.0929967024147089
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.1331353141759037,17,2.9307895711612346
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.5599049792993003,0,2.5599049792993003
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.3333806335960063,19,3.0979157154333281
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,2.6576590656108561,33,2.2178085536751051
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.8549047587034146,38,3.3249058531278175
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.3708883607561528,15,3.0630144519578133
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.3137994108024502,18,3.0734019047287262
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.3894034151279397,12,2.2495131283629797
2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.4793752725222511,10,2.2611528318881078
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.3457969068345323,12,2.0929967024147089
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.1790581954361676,16,2.9307895711612346
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.8691118838403877,26,2.5599049792993003
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.0979157154333281,0,3.0979157154333281
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,5.2152653444765864,34,2.2178085536751051
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.9246765809887267,45,3.3249058531278175
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.4954705906628458,37,3.0630144519578133
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.3719117960989635,19,3.0734019047287262
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.3505190897913737,9,2.2495131283629797
3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.4789092560836381,7,2.2611528318881078
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.1920760067469605,6,2.0929967024147089
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.1139979373976234,14,2.9307895711612346
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.9235134331916113,30,2.5599049792993003
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,4.0018212058443368,70,3.0979157154333281
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,2.2178085536751051,0,2.2178085536751051
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.6433022582735566,24,3.3249058531278175
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.4954831651077622,31,3.0630144519578133
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.7948458021744438,58,3.0734019047287262
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.3303580582073153,7,2.2495131283629797
4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.3138944259950462,5,2.2611528318881078
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.3586019374503788,20,2.0929967024147089
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.0804371937810617,7,2.9307895711612346
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.8768542994011272,25,2.5599049792993003
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.2652069338822551,9,3.0979157154333281
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,2.6367091600890591,34,2.2178085536751051
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.3249058531278175,0,3.3249058531278175
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.1383903244426476,4,3.0630144519578133
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.2994573785749237,16,3.0734019047287262
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,7.5397421594293554,1,2.2495131283629797
5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.440728256282267,5,2.2611528318881078
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.3455878238801771,10,2.0929967024147089
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,2.993054989632649,4,2.9307895711612346
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.7953020816185425,10,2.5599049792993003
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.5663728557481482,31,3.0979157154333281
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,2.57406686727108,22,2.2178085536751051
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.7343860603986765,16,3.3249058531278175
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.0630144519578133,0,3.0630144519578133
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.5414534965753588,29,3.0734019047287262
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.4750263915071753,22,2.2495131283629797
6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.4697248620053607,17,2.2611528318881078
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.2840788535092469,8,2.0929967024147089
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.4012930924212155,41,2.9307895711612346
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.6628269580926687,4,2.5599049792993003
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.6683334644014209,39,3.0979157154333281
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,2.5043073133792926,13,2.2178085536751051
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,3.8468717007569819,39,3.3249058531278175
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.3088438571752636,17,3.0630144519578133
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.0734019047287262,0,3.0734019047287262
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.3322752783871059,7,2.2495131283629797
7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.4080338465121924,10,2.2611528318881078
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.153543499849103,5,2.0929967024147089
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.4817155068480274,50,2.9307895711612346
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2,0.4837195848748246,-0.4134504965373518,34.11313906739536,1.0,1.0,2,0.1,0.12107553243538272,doubleIntegratorProblem,2.7464600346986905,11,2.5599049792993003
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,3,0.04932436450800748,0.8774974068395285,41.04904739388841,1.0,1.0,2,0.1,0.31300149934572974,doubleIntegratorProblem,3.4577818778931402,26,3.0979157154333281
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,4,0.38355951034290037,0.176715135214925,12.756174030817814,1.0,1.0,2,0.1,0.163366043044472,doubleIntegratorProblem,2.8732200766486442,58,2.2178085536751051
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,5,0.9627294704129035,0.03534322533465817,31.775586903281127,1.0,1.0,2,0.1,0.9351590216854617,doubleIntegratorProblem,4.8386501140473595,99,3.3249058531278175
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,6,0.8247948914162526,-0.2606687999285575,41.83249343995087,1.0,1.0,2,0.1,0.8652063541858023,doubleIntegratorProblem,3.5083346610290387,39,3.0630144519578133
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,7,0.24209673513844843,-0.869137143052005,20.124741292524607,1.0,1.0,2,0.1,0.7084504737007771,doubleIntegratorProblem,3.3746936629936592,19,3.0734019047287262
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,2.2495131283629797,0,2.2495131283629797
8,-0.6348019539217049,-0.07499234940951482,1.8363456355649288,1.0,1.0,2,0.1,0.7255395131594833,doubleIntegratorProblem,9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,2.6301090401660043,25,2.2611528318881078
9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,0,-0.16618263232234964,-0.19555351850327418,45.98812099996676,1.0,1.0,2,0.1,0.7092926338110779,doubleIntegratorProblem,2.2598941455317618,11,2.0929967024147089
9,0.33916122633342227,0.27403615780438084,31.484689600669135,1.0,1.0,2,0.1,0.4750750068399634,doubleIntegratorProblem,1,0.8006000711541374,-0.20867212763628973,27.742963709896628,1.0,1.0,2,0.1,0.6869682433941499,doubleIntegratorProblem,3.3097681854968299,31,2.9307895711612346
