trial,target x,target y,widget x,widget y
10,198,126,285.5261985,178.3003969
10,198,126,284.7200024,176.7360013
10,198,126,283.9200024,176.3360013
10,198,126,283.1200024,175.9360013
10,198,126,282.3200024,175.5360013
10,198,126,281.5200024,175.1360013
10,198,126,280.7200024,174.7360013
10,198,126,279.9200024,174.3360013
10,198,126,279.1200024,173.9360013
10,198,126,278.3200024,173.5360013
10,198,126,277.5200024,173.1360013
10,198,126,276.526211,172.6552333
10,198,126,270.8810747,170.2358892
10,198,126,263.9455905,165.2359037
10,198,126,257.590724,161.3971675
10,198,126,252.4616845,158.9778107
10,198,126,248.5020187,156.5645141
10,198,126,245.3770251,154.2207688
10,198,126,241.526217,152.4616868
10,198,126,238.8487784,151.3003892
10,198,126,236.9778107,150.7520001
10,198,126,234.3649301,150.6229768
10,198,126,229.5262047,149.0100683
10,198,126,226.7832582,148.7520001
10,198,126,225.3003892,148.7520001
10,198,126,224.2358738,148.7520001
10,198,126,222.6229768,148.6874884
10,198,126,221.0100683,147.8810342
10,198,126,217.3649254,145.7197553
10,198,126,213.8770126,143.8145063
10,198,126,210.7197476,142.493937
10,198,126,207.6560071,141.7520001
10,198,126,206.4560071,141.7520001
10,198,126,205.2560071,141.7520001
10,198,126,204.0560071,141.7520001
10,198,126,202.8560071,141.7520001
10,198,126,203,143
10,198,126,203,143
10,198,126,203,143
10,198,126,203,143
10,198,126,203,143
11,241,354,123.9389999,194.9389999
11,241,354,123.9389999,195.7368734
11,241,354,123.9389999,196.5347469
11,241,354,123.9389999,197.3326204
11,241,354,125.2938636,202.003591
11,241,354,130.9389999,218.9389999
11,241,354,152.7132644,248.7778069
11,241,354,170.8099791,272.4874017
11,241,354,190.6809409,295.939006
11,241,354,209.5640189,316.5640189
11,241,354,218.9389999,325.9389999
11,241,354,225.3906338,334.0035423
11,241,354,229.390615,339.6164225
11,241,354,232.61642,344.4551301
11,241,354,235.1648092,348.1648092
11,241,354,237,350
11,241,354,237,350
11,241,354,237,350
11,241,354,237,350
11,241,354,237,350
12,510,280,246.908,246.908
12,510,280,246.908,247.1768174
12,510,280,246.908,247.4456348
12,510,280,246.908,247.7144522
12,510,280,249.1660754,248.1338075
12,510,280,257.5329581,248.908
12,510,280,273.1580428,248.908
12,510,280,302.0370546,248.908
12,510,280,329.649941,248.908
12,510,280,351.5531886,249.3596151
12,510,280,371.5531166,250.908
12,510,280,387.6822015,250.908
12,510,280,399.0329951,252.1579992
12,510,280,408.5209054,252.908
12,510,280,417.1660754,253.1338075
12,510,280,425.0047675,253.9725117
12,510,280,427.4241302,255.5854201
12,510,280,428.5531643,255.908
12,510,280,431.0955158,255.908
12,510,280,436.1660754,256.5854226
12,510,280,444.0692792,258.9402558
12,510,280,448.1015504,259.7467101
12,510,280,454.7144788,262.4886573
12,510,280,461.0693056,265.2628453
12,510,280,466.907994,268.4079955
12,510,280,473.0370233,272.9402558
12,510,280,476.2628403,273.7467101
12,510,280,478,275
12,510,280,478,275
12,510,280,478,275
12,510,280,478,275
12,510,280,478,275
13,291,157,363.6270001,118.6270001
13,291,157,362.4365277,119.0238242
13,291,157,361.2460554,119.4206483
13,291,157,357.9173595,120.4011831
13,291,157,352.6592713,122.2076374
13,291,157,348.6270001,124.6270001
13,291,157,338.9496236,129.4656883
13,291,157,331.7237937,132.4657025
13,291,157,324.5645197,136.4707364
13,291,157,317.4657256,141.4011831
13,291,157,312.6270001,144.6270001
13,291,157,306.1754158,149.4656883
13,291,157,304.0140993,151.2399009
13,291,157,300.6915374,153.3044073
13,291,157,296.4082543,155.8457459
13,291,157,295.6270001,156.6270001
13,291,157,294.8205521,156.6270001
13,291,157,294.0140993,156.6270001
13,291,157,295,158
13,291,157,295,158
13,291,157,295,158
13,291,157,295,158
13,291,157,295,158
14,236,369,208.908,288.908
14,236,369,208.908,296.1660324
14,236,369,210.1338016,308.3273135
14,236,369,213.0047591,319.5208699
14,236,369,217.2204746,330.0641695
14,236,369,221.908,344.908
14,236,369,224.3273441,353.7789284
14,236,369,226.7467024,360.1983056
14,236,369,227.908,363.3273518
14,236,369,228.1338016,364.5854048
14,236,369,228.9238719,366.9397437
14,236,369,229.3206975,367.733395
14,236,369,229.7175231,368.5270462
14,236,369,231,370
14,236,369,231,370
14,236,369,231,370
14,236,369,231,370
14,236,369,231,370
15,258,101,480.0019999,291.0019999
15,258,101,479.1955456,291.0019999
15,258,101,478.3890914,291.0019999
15,258,101,472.3144229,287.3457004
15,258,101,460.7116165,279.4858244
15,258,101,447.0019999,269.0019999
15,258,101,414.7438301,241.5825556
15,258,101,384.9372944,212.9372944
15,258,101,354.6469792,181.8082602
15,258,101,327.6269682,153.6269682
15,258,101,312.0019999,138.0019999
15,258,101,299.9051862,125.9051862
15,258,101,295.7761829,121.7761829
15,258,101,289.9696858,116.8084048
15,258,101,282.7761906,110.7761906
15,258,101,281.9707447,110.0019999
15,258,101,281.1894963,110.0019999
15,258,101,280.3890937,110.0019999
15,258,101,279.5826426,110.0019999
15,258,101,280,111
15,258,101,280,111
15,258,101,280,111
15,258,101,280,111
15,258,101,280,111
16,238,220,134.7520001,381.7520001
16,238,220,135.0208175,377.7197392
16,238,220,135.2896349,373.6874783
16,238,220,135.5584523,369.6552175
16,238,220,139.1391132,359.5261587
16,238,220,152.09566,332.4396552
16,238,220,185.6895922,274.6268416
16,238,220,210.3004019,236.2358492
16,238,220,230.816521,207.3326389
16,238,220,245.2036152,188.0745775
16,238,220,246.8165118,185.7197443
16,238,220,248.4294202,184.91329
16,238,220,248.7520001,184.8320002
16,238,220,248.7520001,184.9320002
16,238,220,248.7520001,185.0320002
16,238,220,248.7520001,185.1320002
16,238,220,248.7520001,185.2320002
16,238,220,248.7520001,185.3320002
16,238,220,248.7520001,185.4320002
16,238,220,248.7520001,185.5320002
16,238,220,248.7520001,185.6320002
16,238,220,248.7520001,185.7320002
16,238,220,248.7520001,186.3971594
16,238,220,250,188
16,238,220,250,188
16,238,220,250,188
16,238,220,250,188
16,238,220,250,188
17,493,355,305.908,295.908
17,493,355,309.9402402,295.908
17,493,355,321.3273135,295.908
17,493,355,335.0369808,296.7467036
17,493,355,351.6820477,300.3918175
17,493,355,375.5954488,309.2829721
17,493,355,392.7829139,318.6579531
17,493,355,420.811131,333.1660159
17,493,355,444.714388,344.2628145
17,493,355,460.5208254,350.0370079
17,493,355,472.9402558,353.908
17,493,355,473.7467101,353.908
17,493,355,475.1579992,353.908
17,493,355,475.908,354.7467036
17,493,355,477,357
17,493,355,477,357
17,493,355,477,357
17,493,355,477,357
17,493,355,477,357
18,238,295,339.096,175.096
18,238,295,339.096,175.3619578
18,238,295,339.096,175.6279156
18,238,295,339.096,175.8938735
18,238,295,336.9669284,178.6121754
18,238,295,328.096,189.096
18,238,295,305.5152812,210.0638103
18,238,295,269.2208983,243.0023419
18,238,295,238.4185198,270.2250833
18,238,295,220.1927206,285.6121754
18,238,295,208.096,296.096
18,238,295,203.2572745,301.7411797
18,238,295,200.870183,304.9347254
18,238,295,200.096,306.5022555
18,238,295,201,308
18,238,295,201,308
18,238,295,201,308
18,238,295,201,308
18,238,295,201,308
19,177,396,276.158,197.158
19,177,396,274.1418721,201.1902557
19,177,396,272.1257443,205.2225114
19,177,396,269.5329957,212.4392639
19,177,396,264.6418245,225.1903509
19,177,396,254.158,246.158
19,177,396,242.0611864,271.9645358
19,177,396,215.8676567,325.9644942
19,177,396,196.9644496,368.3192961
19,177,396,190.7204968,386.0330063
19,177,396,189.158,389.158
19,177,396,189.0433211,389.158
19,177,396,188.9286421,389.158
19,177,396,188.8139632,389.158
19,177,396,188.6992843,389.158
19,177,396,188.5846053,389.158
19,177,396,188.4699264,389.158
19,177,396,188.3552475,389.158
19,177,396,188.2405685,389.158
19,177,396,187.7063814,389.3838093
19,177,396,186.1257367,390.1902633
19,177,396,185.3192887,390.9967113
19,177,396,183.9080007,392.4079992
19,177,396,182.738645,393.3676775
19,177,396,181.9321907,393.7709046
19,177,396,181.158,394.1902633
19,177,396,181.158,394.9967113
19,177,396,180.5128357,395.158
19,177,396,180.158,395.5955032
19,177,396,181,397
19,177,396,181,397
19,177,396,181,397
19,177,396,181,397
19,177,396,181,397
20,297,321,212.095,299.095
20,297,321,215.0519913,300.439087
20,297,321,218.0089826,301.7831739
20,297,321,220.965974,303.1272609
20,297,321,228.345038,305.4075095
20,297,321,247.095,310.095
20,297,321,261.6111764,313.320817
20,297,321,274.2885566,315.3208076
20,297,321,283.8691954,316.5143551
20,297,321,289.7724227,317.3208076
20,297,321,293,319
20,297,321,293,319
20,297,321,293,319
20,297,321,293,319
20,297,321,293,319
21,410,196,275.8149998,340.8149998
21,410,196,279.2149998,335.8149998
21,410,196,282.6149998,330.8149998
21,410,196,286.0149998,325.8149998
21,410,196,289.4149998,320.8149998
21,410,196,292.8149998,315.8149998
21,410,196,317.0086271,285.1697386
21,410,196,344.1900702,254.0649216
21,410,196,362.2988927,233.9440078
21,410,196,369.1698635,227.040792
21,410,196,374.8149998,223.8149998
21,410,196,376.4279083,223.0085456
21,410,196,378.0408074,222.202096
21,410,196,379.2212509,221.8149998
21,410,196,380.0085518,221.4278959
21,410,196,380.8149998,219.8149998
21,410,196,384.847271,217.3956371
21,410,196,386.4279036,216.202096
21,410,196,387.6537099,214.9762897
21,410,196,389.4712546,213.3774967
21,410,196,391.8149998,211.8149998
21,410,196,393.4279083,211.0085456
21,410,196,395.6537111,208.3633847
21,410,196,398.0730649,206.3956448
21,410,196,400.0408091,205.5891905
21,410,196,400.8308754,204.8149998
21,410,196,401.2276995,204.8149998
21,410,196,401.6245237,204.8149998
21,410,196,403,206
21,410,196,403,206
21,410,196,403,206
21,410,196,403,206
21,410,196,403,206
22,127,179,312.158,250.158
22,127,179,310.9483186,250.158
22,127,179,309.7386373,250.158
22,127,179,306.3142115,249.7517445
22,127,179,299.2547206,248.5773441
22,127,179,287.158,246.158
22,127,179,271.8353694,241.3192745
22,127,179,239.9642097,227.2869218
22,127,179,208.3191364,212.0288884
22,127,179,182.8142041,198.2204715
22,127,179,160.158,184.158
22,127,179,158.5450915,181.7386373
22,127,179,157.5450915,181.158
22,127,179,156.9499968,181.158
22,127,179,156.5499968,181.158
22,127,179,156.1499968,181.158
22,127,179,155.7499968,181.158
22,127,179,155.3499968,181.158
22,127,179,156,182
22,127,179,156,182
22,127,179,156,182
22,127,179,156,182
22,127,179,156,182
23,434,231,458.3770001,155.3770001
23,434,231,457.5705521,158.6027923
23,434,231,454.3124961,166.1189088
23,434,231,451.118935,174.1511954
23,434,231,448.9394969,181.5645159
23,434,231,447.3770001,189.3770001
23,434,231,445.764104,196.6350325
23,434,231,444.7640993,203.2802064
23,434,231,443.9576451,206.7963551
23,434,231,443.3770001,207.4881119
23,434,231,443.3770001,207.884936
23,434,231,443.3770001,208.2817601
23,434,231,443.3770001,208.9899009
23,434,231,443.3770001,209.7963551
23,434,231,442.925385,210.3770001
23,434,231,443,212
23,434,231,443,212
23,434,231,443,212
23,434,231,443,212
23,434,231,443,212
24,569,150,546.908,344.908
24,569,150,546.1267516,344.908
24,569,150,545.327355,343.1660651
24,569,150,544.908,340.3596032
24,569,150,544.908,329.9723696
24,569,150,544.908,296.908
24,569,150,545.7144542,262.2304676
24,569,150,552.4392715,226.59541
24,569,150,556.908,206.3596032
24,569,150,557.101552,203.714448
24,569,150,557.908,202.908
24,569,150,558.7144542,198.8757288
24,569,150,561.3596151,193.6176736
24,569,150,563.7205021,190.0954979
24,569,150,565.101552,188.714448
24,569,150,565.908,187.908
24,569,150,565.908,187.5047744
24,569,150,565.908,187.1015489
24,569,150,566.1143487,186.082605
24,569,150,566.5111744,184.4953025
24,569,150,566.908,182.908
24,569,150,566.908,182.5047744
24,569,150,566.908,182.1015489
24,569,150,567.1176775,181.0692899
24,569,150,567.5209046,179.4563814
24,569,150,567.908,177.8454897
24,569,150,567.908,176.2829929
24,569,150,567.908,175.2950962
24,569,150,568.327355,174.908
24,569,150,570,176
24,569,150,570,176
24,569,150,570,176
24,569,150,570,176
24,569,150,570,176
25,534,372,149.658,142.658
25,534,372,151.9015912,144.9015912
25,534,372,154.1451824,147.1451824
25,534,372,156.3887736,149.3887736
25,534,372,158.6323648,151.6323648
25,534,372,160.875956,153.875956
25,534,372,163.1195472,156.1195472
25,534,372,201.0451301,186.6902848
25,534,372,259.4644681,228.722527
25,534,372,329.5331583,274.0018466
25,534,372,407.658,321.658
25,534,372,438.3032612,337.7870848
25,534,372,460.3676905,347.7870377
25,534,372,471.3354201,351.658
25,534,372,473.9456738,351.658
25,534,372,474.9730705,351.658
25,534,372,476.0004673,351.658
25,534,372,477.0278641,351.658
25,534,372,478.0552609,351.658
25,534,372,479.0826577,351.658
25,534,372,480.1100545,351.658
25,534,372,481.1374513,351.658
25,534,372,482.164848,351.658
25,534,372,485.5934853,352.4967101
25,534,372,491.9160754,353.8838075
25,534,372,499.8192792,354.7225117
25,534,372,503.8515504,356.3354201
25,534,372,509.1741155,357.3031593
25,534,372,512.095499,357.658
25,534,372,512.8838075,357.658
25,534,372,513.7225114,357.658
25,534,372,515.3354137,357.658
25,534,372,516.948316,357.658
25,534,372,518.1096109,357.658
25,534,372,518.8282124,357.658
25,534,372,519.3601267,357.658
25,534,372,519.8920411,357.658
25,534,372,520.4239554,357.658
25,534,372,521.1096109,357.658
25,534,372,523,359
25,534,372,523,359
25,534,372,523,359
25,534,372,523,359
25,534,372,523,359
26,105,148,293.0639999,101.0639999
26,105,148,291.1822781,101.0639999
26,105,148,289.3005564,101.0639999
26,105,148,287.4188347,101.0639999
26,105,148,277.5326881,101.9390062
26,105,148,247.0639999,105.0639999
26,105,148,210.773559,112.3220881
26,105,148,174.483118,119.5801763
26,105,148,153.2897644,123.4833594
26,105,148,146.7091442,124.0639999
26,105,148,141.9077243,124.0639999
26,105,148,138.0014822,124.0639999
26,105,148,132.160732,127.1285423
26,105,148,126.5478429,129.9027189
26,105,148,122.6123813,131.5156185
26,105,148,121.0639999,133.0962632
26,105,148,121.0639999,133.9027112
26,105,148,121.0639999,134.3814608
26,105,148,121.0639999,134.7782865
26,105,148,122,136
26,105,148,122,136
26,105,148,122,136
26,105,148,122,136
26,105,148,122,136
27,226,126,348.8770001,385.8770001
27,226,126,346.6770001,380.8770001
27,226,126,344.4770001,375.8770001
27,226,126,342.2770001,370.8770001
27,226,126,340.0770001,365.8770001
27,226,126,337.8770001,360.8770001
27,226,126,318.5222471,310.8772216
27,226,126,293.6512739,239.425623
27,226,126,275.0060747,188.4577421
27,226,126,264.6189842,166.4899763
27,226,126,256.8145048,154.8145048
27,226,126,255.2520079,153.2520079
27,226,126,254.2640993,152.8770001
27,226,126,255,154
27,226,126,255,154
27,226,126,255,154
27,226,126,255,154
27,226,126,255,154
28,130,214,530.8139999,230.8139999
28,130,214,528.1930286,229.6043209
28,130,214,525.5720574,228.3946418
28,130,214,522.9510861,227.1849628
28,130,214,520.3301149,225.9752837
28,130,214,516.7513257,224.6889794
28,130,214,490.1888796,221.5639857
28,130,214,409.0397398,211.6204433
28,130,214,327.0075318,197.4268991
28,130,214,259.3944018,181.2978143
28,130,214,191.9106282,165.7817366
28,130,214,169.3300831,164.9752886
28,130,214,156.6890047,164.8139999
28,130,214,149.2978697,164.8139999
28,130,214,144.4591442,164.8139999
28,130,214,139.6526835,164.8785264
28,130,214,135.6204433,166.4914225
28,130,214,134.1688356,168.1043285
28,130,214,133.8139999,169.2515031
28,130,214,135,171
28,130,214,135,171
28,130,214,135,171
28,130,214,135,171
28,130,214,135,171
29,371,225,535.8139999,173.8139999
29,371,225,533.3946465,174.2172255
29,371,225,530.975293,174.620451
29,371,225,517.2333488,180.2656154
29,371,225,489.9701786,191.7515284
29,371,225,454.8139999,205.8139999
29,371,225,406.4267453,223.5559932
29,371,225,383.781732,230.265615
29,371,225,376.8139999,232.2333549
29,371,225,378,234
29,371,225,378,234
29,371,225,378,234
29,371,225,378,234
29,371,225,378,234
30,198,228,140.503,334.503
30,198,228,140.503,334.303
30,198,228,140.503,334.103
30,198,228,140.503,333.903
30,198,228,140.503,333.703
30,198,228,140.503,333.503
30,198,228,145.3417255,317.3739152
30,198,228,152.019134,301.8578284
30,198,228,162.8154648,282.7218067
30,198,228,174.6642746,263.7610882
30,198,228,179.503,256.503
30,198,228,186.7610882,245.2126406
30,198,228,189.1159038,240.0513849
30,198,228,190.3417101,238.083645
30,198,228,191.503,237.2842484
30,198,228,191.503,236.503
30,198,228,191.9062256,236.0997745
30,198,228,192.3094512,235.6965489
30,198,228,192.9223551,234.6642899
30,198,228,193.6141122,233.2807756
30,198,228,194.0109379,232.4871244
30,198,228,194.4077635,231.6934731
30,198,228,194.503,231.196547
30,198,228,194.503,230.7933214
30,198,228,194.7288076,230.503
30,198,228,197,232
30,198,228,197,232
30,198,228,197,232
30,198,228,197,232
30,198,228,197,232
31,349,366,515.97,363.97
31,349,366,515.77,363.97
31,349,366,515.57,363.97
31,349,366,515.37,363.97
31,349,366,515.17,363.97
31,349,366,514.97,363.97
31,349,366,494.0021897,363.97
31,349,366,453.4215813,363.97
31,349,366,417.1312838,363.550645
31,349,366,393.9054643,362.2925774
31,349,366,379.9075042,359.97
31,349,366,378.3449957,359.97
31,349,366,379,361
31,349,366,379,361
31,349,366,379,361
31,349,366,379,361
31,349,366,379,361
32,140,258,485.033,280.033
32,140,258,481.807183,280.033
32,140,258,479.8454961,280.033
32,140,258,478.8394511,280.033
32,140,258,478.4362256,280.033
32,140,258,478.033,280.033
32,140,258,477.2265458,280.033
32,140,258,473.9684811,280.033
32,140,258,468.7829914,280.033
32,140,258,457.8393373,279.2587922
32,140,258,432.033,276.033
32,140,258,407.0329185,272.807183
32,140,258,368.5491001,266.516866
32,140,258,334.1942838,260.5168698
32,140,258,309.5642104,256.1579937
32,140,258,290.033,253.033
32,140,258,280.3555491,250.6136373
32,140,258,266.3878283,249.4200962
32,140,258,253.1620295,249.033
32,140,258,240.7426237,249.033
32,140,258,225.8142141,249.033
32,140,258,220.3454752,249.033
32,140,258,217.8071924,249.033
32,140,258,216.1942899,249.033
32,140,258,213.0007165,249.7104278
32,140,258,205.8716836,252.0652633
32,140,258,201.8394434,252.8717113
32,140,258,196.6580026,254.2829992
32,140,258,193.1942899,255.033
32,140,258,191.1297629,255.033
32,140,258,187.9684734,255.033
32,140,258,186.3555774,255.033
32,140,258,183.4523427,255.033
32,140,258,180.7204905,255.033
32,140,258,178.1297629,255.033
32,140,258,174.9684734,255.033
32,140,258,173.3555774,255.033
32,140,258,170.4523427,255.033
32,140,258,167.6781547,255.033
32,140,258,164.2829922,255.033
32,140,258,158.9362102,255.0007367
32,140,258,156.516866,254.1942887
32,140,258,154.097507,254.033
32,140,258,151.6781547,253.5813849
32,140,258,149.7749349,253.033
