target r,target rel x,target rel y,speed
0.899847229,-2.772855598,2.32929982,0.581655945
0.425427429,0.493806875,3.473060508,-0.267819906
-0.101705683,0.818057681,2.311868235,-1.06198946
-0.259845616,-1.509081336,-0.459132707,0.246353908
-0.365272238,-1.842245145,-2.404045322,-0.368161618
0.636280673,-1.757609639,-2.389593353,-0.045009899
-0.101705683,-3.240835672,2.16597828,1.025792726
1.005273852,-1.312501198,0.52379211,-0.555719449
0.583567362,-3.326354876,3.75935919,3.68958734
-1.103258595,2.414416115,-0.094136944,-0.088226831
0.794420607,0.266344803,-0.859947679,-1.924432422
-0.945118661,1.264952524,1.340399828,-0.616775811
-0.997831972,0.780942348,0.480977964,-1.394751715
-1.155971906,-3.234013143,-0.005513101,0.56037257
-1.050545284,-2.03480588,-3.906045838,1.116219129
-1.050545284,1.882885767,-2.132676621,0.327433912
-1.208685217,1.808360537,1.582402521,-0.336881661
-1.208685217,-3.002094567,0.128442437,0.476102599
-1.314111839,0.923170282,4.049641327,0.00792932
-0.681552105,-0.872143826,2.313844025,-0.166685781
-1.208685217,-2.904992266,3.541767094,0.887496509
1.268840407,-0.988240891,0.908195255,-1.080082868
-1.314111839,-0.408905312,-3.330691925,-0.488801269
-1.050545284,2.884762222,1.491261128,1.032680615
-1.314111839,-2.281414752,-3.315746012,0.633406545
0.214574184,0.209921134,-3.105626871,-0.523636921
-0.681552105,3.652069009,3.654291655,1.3919074
0.372714118,-1.787009241,0.747869267,0.010773876
2.059540075,-1.167593664,-4.140830518,1.762004452
-0.470698861,0.806778648,0.349030089,-0.775989674
-0.523412172,1.275043791,-2.307454567,-0.25611659
1.637833585,-1.759396042,-1.13381799,-0.120705565
0.00372094,-0.23163351,1.204962447,-1.432813906
-0.89240535,-3.362282442,-0.252471206,0.520467513
1.637833585,-3.808588151,-0.267911065,2.671510592
1.954113452,-1.566084636,0.815587956,0.102084123
-0.207132305,-2.078905282,0.338067629,-0.185134758
1.163413785,-0.048413368,2.149550525,-1.060739887
0.320000807,-0.573130686,-2.554444545,0.225649604
-0.365272238,0.401740704,2.888464987,-0.4173318
2.217680008,-0.634885051,-0.77780889,-2.03883132
0.47814074,3.935052047,2.758508837,1.709817009
1.901400141,1.082929653,-0.590076754,-1.183157386
0.372714118,-0.556787016,1.376744845,-1.214163046
0.425427429,2.386213783,2.551385255,0.674053219
0.161860873,3.555565341,-3.406871465,1.261657213
1.795973519,0.1612227,-3.729037153,0.399543407
1.690546897,-1.272117133,-2.643052459,-0.071515065
-0.839692039,0.1202495,1.779089458,-1.257279404
-1.155971906,-1.794439912,2.64746612,0.490112037
0.741707296,-0.52976295,-3.549287854,-0.540450279
-1.419538462,0.844787182,3.360520015,-0.34097579
-0.997831972,0.47360534,-0.974479899,-1.598749048
-0.89240535,1.349588026,-0.095124841,-0.876534569
0.847133918,-0.866195489,1.25625338,-1.315347966
-1.103258595,0.142817067,-3.680231896,-0.288778188
-0.89240535,-2.822447231,1.784060808,1.177549788
-1.419538462,-3.141367339,-0.344106541,0.1314948
-0.997831972,1.681564066,0.541223695,-0.692146386
-0.89240535,-3.282711575,-0.915731944,0.383329437
