trial,target x,target y,widget x,widget y,widget x[-1],widget x[-2],widget x[-3],widget y[-1],widget y[-2],widget y[-3]
2,366,103,269.2705558,180.0449019,241.3149296,204.2382461,164.044753,199.533799,223.2384723,247.9803834
2,366,103,296.6900001,160.6900001,269.2705558,241.3149296,204.2382461,180.0449019,199.533799,223.2384723
2,366,103,303.1415844,154.2384157,296.6900001,269.2705558,241.3149296,160.6900001,180.0449019,199.533799
2,366,103,308.9803056,150.8512977,303.1415844,296.6900001,269.2705558,154.2384157,160.6900001,180.0449019
2,366,103,313.7867752,148.85129,308.9803056,303.1415844,296.6900001,150.8512977,154.2384157,160.6900001
2,366,103,317.3462548,147.4712485,313.7867752,308.9803056,303.1415844,148.85129,150.8512977,154.2384157
2,366,103,319.6900001,146.6900001,317.3462548,313.7867752,308.9803056,147.4712485,148.85129,150.8512977
2,366,103,321.7061279,145.0770978,319.6900001,317.3462548,313.7867752,146.6900001,147.4712485,148.85129
2,366,103,323.7222558,143.4641955,321.7061279,319.6900001,317.3462548,145.0770978,146.6900001,147.4712485
2,366,103,326.3674202,141.4319349,323.7222558,321.7061279,319.6900001,143.4641955,145.0770978,146.6900001
2,366,103,328.9158076,139.4641925,326.3674202,323.7222558,321.7061279,141.4319349,143.4641955,145.0770978
2,366,103,329.7524954,138.6275047,328.9158076,326.3674202,323.7222558,139.4641925,141.4319349,143.4641955
2,366,103,331.3149922,137.0650079,329.7524954,328.9158076,326.3674202,138.6275047,139.4641925,141.4319349
2,366,103,335.3674048,134.2383969,331.3149922,329.7524954,328.9158076,137.0650079,138.6275047,139.4641925
2,366,103,339.3674202,131.0125799,335.3674048,331.3149922,329.7524954,134.2383969,137.0650079,138.6275047
2,366,103,342.8190378,127.7867699,339.3674202,335.3674048,331.3149922,131.0125799,134.2383969,137.0650079
2,366,103,346.7222559,124.6900001,342.8190378,339.3674202,335.3674048,127.7867699,131.0125799,134.2383969
2,366,103,347.5287101,124.6900001,346.7222559,342.8190378,339.3674202,124.6900001,127.7867699,131.0125799
2,366,103,348.007461,124.3725391,347.5287101,346.7222559,342.8190378,124.6900001,124.6900001,127.7867699
2,366,103,348.4042866,123.9757135,348.007461,347.5287101,346.7222559,124.3725391,124.6900001,124.6900001
2,366,103,349.5932302,123.4641925,348.4042866,348.007461,347.5287101,123.9757135,124.3725391,124.6900001
2,366,103,352.7545117,122.6900001,349.5932302,348.4042866,348.007461,123.4641925,123.9757135,124.3725391
2,366,103,354.3674202,122.6900001,352.7545117,349.5932302,348.4042866,122.6900001,123.4641925,123.9757135
2,366,103,356,124,354.3674202,352.7545117,349.5932302,122.6900001,122.6900001,123.4641925
2,366,103,356,124,356,354.3674202,352.7545117,124,122.6900001,122.6900001
2,366,103,356,124,356,356,354.3674202,124,124,122.6900001
2,366,103,356,124,356,356,356,124,124,124
2,366,103,356,124,356,356,356,124,124,124
3,203,282,422.7519999,397.7519999,422.7519999,422.7519999,422.7519999,397.7519999,397.7519999,397.7519999
3,203,282,422.3487743,397.7519999,422.7519999,422.7519999,422.7519999,397.7519999,397.7519999,397.7519999
3,203,282,421.9455487,397.7519999,422.3487743,422.7519999,422.7519999,397.7519999,397.7519999,397.7519999
3,203,282,420.9394977,397.7519999,421.9455487,422.3487743,422.7519999,397.7519999,397.7519999,397.7519999
3,203,282,418.2035842,397.3648959,420.9394977,421.9455487,422.3487743,397.7519999,397.7519999,397.7519999
3,203,282,411.7519999,395.7519999,418.2035842,420.9394977,421.9455487,397.3648959,397.7519999,397.7519999
3,203,282,401.2680947,391.7197286,411.7519999,418.2035842,420.9394977,395.7519999,397.3648959,397.7519999
3,203,282,366.2681,369.3003678,401.2680947,411.7519999,418.2035842,391.7197286,395.7519999,397.3648959
3,203,282,322.6874728,339.8165084,366.2681,401.2680947,411.7519999,369.3003678,391.7197286,395.7519999
3,203,282,279.3769175,312.5019619,322.6874728,366.2681,401.2680947,339.8165084,369.3003678,391.7197286
3,203,282,238.7519999,293.7519999,279.3769175,322.6874728,366.2681,312.5019619,339.8165084,369.3003678
3,203,282,231.4939117,291.3326371,238.7519999,279.3769175,322.6874728,293.7519999,312.5019619,339.8165084
3,203,282,224.8487697,288.3003848,231.4939117,238.7519999,279.3769175,291.3326371,293.7519999,312.5019619
3,203,282,218.8165146,286.3326448,224.8487697,231.4939117,238.7519999,288.3003848,291.3326371,293.7519999
3,203,282,213.1713349,285.3003813,218.8165146,224.8487697,231.4939117,286.3326448,288.3003848,291.3326371
3,203,282,207.6894896,283.7207447,213.1713349,218.8165146,224.8487697,285.3003813,286.3326448,288.3003848
3,203,282,206.1269928,282.9394963,207.6894896,213.1713349,218.8165146,283.7207447,285.3003813,286.3326448
3,203,282,205.4455468,282.7519999,206.1269928,207.6894896,213.1713349,282.9394963,283.7207447,285.3003813
3,203,282,205.0423212,282.7519999,205.4455468,206.1269928,207.6894896,282.7519999,282.9394963,283.7207447
3,203,282,206,284,205.0423212,205.4455468,206.1269928,282.7519999,282.7519999,282.9394963
3,203,282,206,284,206,205.0423212,205.4455468,284,282.7519999,282.7519999
3,203,282,206,284,206,206,205.0423212,284,284,282.7519999
3,203,282,206,284,206,206,206,284,284,284
3,203,282,206,284,206,206,206,284,284,284
4,590,364,547.721,182.721,547.721,547.721,547.721,182.721,182.721,182.721
4,590,364,547.721,183.5274521,547.721,547.721,547.721,182.721,182.721,182.721
4,590,364,547.721,184.3339043,547.721,547.721,547.721,183.5274521,182.721,182.721
4,590,364,547.721,185.1403565,547.721,547.721,547.721,184.3339043,183.5274521,182.721
4,590,364,548.5960063,190.0960316,547.721,547.721,547.721,185.1403565,184.3339043,183.5274521
4,590,364,551.721,205.721,548.5960063,547.721,547.721,190.0960316,185.1403565,184.3339043
4,590,364,557.3661797,231.5275357,551.721,548.5960063,547.721,205.721,190.0960316,185.1403565
4,590,364,562.3984509,253.6566206,557.3661797,551.721,548.5960063,231.5275357,205.721,190.0960316
4,590,364,567.6565165,274.2049875,562.3984509,557.3661797,551.721,253.6566206,231.5275357,205.721
4,590,364,572.3984278,290.9790928,567.6565165,562.3984509,557.3661797,274.2049875,253.6566206,231.5275357
4,590,364,574.9397858,299.2210819,572.3984278,567.6565165,562.3984509,290.9790928,274.2049875,253.6566206
4,590,364,580.4085247,311.7210566,574.9397858,572.3984278,567.6565165,299.2210819,290.9790928,274.2049875
4,590,364,582.3339084,319.0113594,580.4085247,574.9397858,572.3984278,311.7210566,299.2210819,290.9790928
4,590,364,583.9790785,324.6565165,582.3339084,580.4085247,574.9397858,319.0113594,311.7210566,299.2210819
4,590,364,585.9468092,329.3984278,583.9790785,582.3339084,580.4085247,324.6565165,319.0113594,311.7210566
4,590,364,586.7532632,331.8177898,585.9468092,583.9790785,582.3339084,329.3984278,324.6565165,319.0113594
4,590,364,587.5597113,334.2371339,586.7532632,585.9468092,583.9790785,331.8177898,329.3984278,324.6565165
4,590,364,588.3460042,335.3460042,587.5597113,586.7532632,585.9468092,334.2371339,331.8177898,329.3984278
4,590,364,588.721,336.1403595,588.3460042,587.5597113,586.7532632,335.3460042,334.2371339,331.8177898
4,590,364,588.721,336.9468092,588.721,588.3460042,587.5597113,336.1403595,335.3460042,334.2371339
4,590,364,588.721,337.8500531,588.721,588.721,588.3460042,336.9468092,336.1403595,335.3460042
4,590,364,588.721,341.0758452,588.721,588.721,588.721,337.8500531,336.9468092,336.1403595
4,590,364,589.3661643,343.0113286,588.721,588.721,588.721,341.0758452,337.8500531,336.9468092
4,590,364,589.721,344.5960063,589.3661643,588.721,588.721,343.0113286,341.0758452,337.8500531
