trial,target x+40,target y+40,widget x,widget y
241,245.7764113,313.1680691,392.8279998,164.143572
241,242.1001216,316.8936815,392.6964208,164.4067301
241,238.4238319,320.619294,392.5648417,164.6698883
241,234.7475422,324.3449064,392.4332626,164.9330464
241,231.0712525,328.0705188,392.3016835,165.1962046
241,227.3949628,331.7961312,392.1701045,165.4593627
241,223.7186731,335.5217437,392.0385254,165.7225209
241,220.0423834,339.2473561,391.9069463,165.985679
241,216.3660936,342.9729685,390.5236285,167.0131529
241,212.6898039,346.6985809,388.3279959,168.643576
241,209.0135142,350.4241934,386.7446624,169.6852407
241,205.3372245,354.1498058,385.2446614,171.8935874
241,201.6609348,357.8754182,382.9529939,173.768574
241,197.9846451,361.6010307,381.1879968,174.783575
241,194.3083554,365.3266431,379.4946652,176.4769067
241,190.6320657,369.0522555,374.5779973,179.976907
241,186.9557759,372.7778679,368.327979,187.1435998
241,183.2794862,376.5034804,362.0779606,194.6852844
241,179.6031965,380.2290928,359.1613305,198.643576
241,175.9269068,383.9547052,357.0779944,200.8935775
241,172.2506171,387.6803177,354.0779824,204.8102618
241,168.5743274,391.4059301,349.9946691,209.9352353
241,164.8980377,395.1315425,343.8279879,218.1435899
241,161.221748,398.8571549,337.4946294,227.5186137
241,157.5454582,402.5827674,328.9113532,237.3935447
241,153.8691685,406.3083798,317.9529911,252.2685832
241,150.1928788,410.0339922,311.3279869,260.8102559
241,146.5165891,413.7596046,307.7863067,265.3936038
241,142.8402994,417.4852171,303.3279988,271.143574
241,143.0803016,419.5733405,301.8279998,274.2096104
241,143.6767454,421.5124277,301.8279998,274.4454596
241,148.9107968,421.5124277,301.8279998,274.6813087
241,154.1448482,421.5124277,301.8279998,274.9171579
241,159.3788996,421.5124277,301.8279998,275.1530071
241,164.612951,421.5124277,301.8279998,275.3888563
241,169.8470024,421.5124277,301.8279998,275.6247054
241,175.0810538,421.5124277,301.8279998,275.8605546
241,180.3151052,421.5124277,301.8279998,276.0964038
241,185.5491566,421.5124277,300.9946652,278.643576
241,190.783208,421.5124277,295.5779834,282.6435829
241,196.0172594,421.5124277,288.4112926,288.6436068
241,201.2513108,421.5124277,280.1613385,295.8519007
241,206.4853622,421.5124277,272.8279879,301.1435799
241,211.7194136,421.5124277,266.577972,305.2685859
241,216.953465,421.5124277,260.4113423,308.476898
241,222.1875164,421.5124277,254.8279899,312.7685782
241,227.4215677,421.5124277,246.827974,318.3102688
241,232.6556191,421.5124277,240.577968,325.1852652
241,237.8896705,421.5124277,234.8679953,330.1035766
241,243.1237219,421.5124277,231.5779959,333.8935839
241,248.3577733,421.5124277,229.0780023,337.310237
241,253.5918247,421.5124277,222.8279839,342.1435879
241,258.8258761,421.5124277,216.9529713,348.0186006
241,264.0599275,421.5124277,211.327972,353.6435998
241,269.2939789,421.5124277,205.1879815,360.6635964
241,274.5280303,421.5124277,199.5363166,367.8935919
