trial,target x,target y,widget x,widget y,widget x [-1],widget y [-1],widget x [-2],widget y [-2],widget x [-2],widget y [-2]
241,392.8279998,164.143572,392.8279998,164.143572,392.8279998,164.143572,392.8279998,164.143572,392.8279998,164.143572
241,389.1517101,167.8691844,392.6964208,164.4067301,392.8279998,164.143572,392.8279998,164.143572,392.8279998,164.143572
241,385.4754204,171.5947968,392.5648417,164.6698883,392.6964208,164.4067301,392.8279998,164.143572,392.8279998,164.143572
241,381.7991307,175.3204093,392.4332626,164.9330464,392.5648417,164.6698883,392.6964208,164.4067301,392.8279998,164.143572
241,378.122841,179.0460217,392.3016835,165.1962046,392.4332626,164.9330464,392.5648417,164.6698883,392.6964208,164.4067301
241,374.4465513,182.7716341,392.1701045,165.4593627,392.3016835,165.1962046,392.4332626,164.9330464,392.5648417,164.6698883
241,370.7702616,186.4972466,392.0385254,165.7225209,392.1701045,165.4593627,392.3016835,165.1962046,392.4332626,164.9330464
241,367.0939718,190.222859,391.9069463,165.985679,392.0385254,165.7225209,392.1701045,165.4593627,392.3016835,165.1962046
241,363.4176821,193.9484714,390.5236285,167.0131529,391.9069463,165.985679,392.0385254,165.7225209,392.1701045,165.4593627
241,359.7413924,197.6740838,388.3279959,168.643576,390.5236285,167.0131529,391.9069463,165.985679,392.0385254,165.7225209
241,356.0651027,201.3996963,386.7446624,169.6852407,388.3279959,168.643576,390.5236285,167.0131529,391.9069463,165.985679
241,352.388813,205.1253087,385.2446614,171.8935874,386.7446624,169.6852407,388.3279959,168.643576,390.5236285,167.0131529
241,348.7125233,208.8509211,382.9529939,173.768574,385.2446614,171.8935874,386.7446624,169.6852407,388.3279959,168.643576
241,345.0362336,212.5765336,381.1879968,174.783575,382.9529939,173.768574,385.2446614,171.8935874,386.7446624,169.6852407
241,341.3599439,216.302146,379.4946652,176.4769067,381.1879968,174.783575,382.9529939,173.768574,385.2446614,171.8935874
241,337.6836541,220.0277584,374.5779973,179.976907,379.4946652,176.4769067,381.1879968,174.783575,382.9529939,173.768574
241,334.0073644,223.7533708,368.327979,187.1435998,374.5779973,179.976907,379.4946652,176.4769067,381.1879968,174.783575
241,330.3310747,227.4789833,362.0779606,194.6852844,368.327979,187.1435998,374.5779973,179.976907,379.4946652,176.4769067
241,326.654785,231.2045957,359.1613305,198.643576,362.0779606,194.6852844,368.327979,187.1435998,374.5779973,179.976907
241,322.9784953,234.9302081,357.0779944,200.8935775,359.1613305,198.643576,362.0779606,194.6852844,368.327979,187.1435998
241,319.3022056,238.6558205,354.0779824,204.8102618,357.0779944,200.8935775,359.1613305,198.643576,362.0779606,194.6852844
241,315.6259159,242.381433,349.9946691,209.9352353,354.0779824,204.8102618,357.0779944,200.8935775,359.1613305,198.643576
241,311.9496262,246.1070454,343.8279879,218.1435899,349.9946691,209.9352353,354.0779824,204.8102618,357.0779944,200.8935775
241,308.2733364,249.8326578,337.4946294,227.5186137,343.8279879,218.1435899,349.9946691,209.9352353,354.0779824,204.8102618
241,304.5970467,253.5582703,328.9113532,237.3935447,337.4946294,227.5186137,343.8279879,218.1435899,349.9946691,209.9352353
241,300.920757,257.2838827,317.9529911,252.2685832,328.9113532,237.3935447,337.4946294,227.5186137,343.8279879,218.1435899
241,297.2444673,261.0094951,311.3279869,260.8102559,317.9529911,252.2685832,328.9113532,237.3935447,337.4946294,227.5186137
241,293.5681776,264.7351075,307.7863067,265.3936038,311.3279869,260.8102559,317.9529911,252.2685832,328.9113532,237.3935447
241,289.8918879,268.46072,303.3279988,271.143574,307.7863067,265.3936038,311.3279869,260.8102559,317.9529911,252.2685832
241,286.2155982,272.1863324,301.8279998,274.2096104,303.3279988,271.143574,307.7863067,265.3936038,311.3279869,260.8102559
241,282.5393085,275.9119448,301.8279998,274.4454596,301.8279998,274.2096104,303.3279988,271.143574,307.7863067,265.3936038
241,278.8630187,279.6375572,301.8279998,274.6813087,301.8279998,274.4454596,301.8279998,274.2096104,303.3279988,271.143574
241,275.186729,283.3631697,301.8279998,274.9171579,301.8279998,274.6813087,301.8279998,274.4454596,301.8279998,274.2096104
241,271.5104393,287.0887821,301.8279998,275.1530071,301.8279998,274.9171579,301.8279998,274.6813087,301.8279998,274.4454596
241,267.8341496,290.8143945,301.8279998,275.3888563,301.8279998,275.1530071,301.8279998,274.9171579,301.8279998,274.6813087
