trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target rel x,target rel y
1,0,0,0,0,0.08671,1.8286449,-2.387095,1.9677399,-4.5806184,4.1935269,-47,17
1,0,0,0,0,0,0,0.08671,1.8286449,-2.387095,1.9677399,-47,17
1,0,0,0,0,0,0,0,0,0.08671,1.8286449,-47,17
2,0,0,0,0,0,0,0,0,0,0,234.3099999,-160.6900001
2,2.6,-0.4,0,0,0,0,0,0,0,0,231.7099999,-160.2900001
2,2.6,-0.4,2.6,-0.4,0,0,0,0,0,0,229.1099999,-159.8900001
2,2.6,-0.4,2.6,-0.4,2.6,-0.4,0,0,0,0,226.5099999,-159.4900001
2,2.6,-0.4,2.6,-0.4,2.6,-0.4,2.6,-0.4,0,0,223.9099999,-159.0900001
2,2.6,-0.4,2.6,-0.4,2.6,-0.4,2.6,-0.4,2.6,-0.4,221.3099999,-158.6900001
2,19.3547529,-13.7096167,2.6,-0.4,2.6,-0.4,2.6,-0.4,2.6,-0.4,201.955247,-144.9803834
2,40.1934931,-24.7419111,19.3547529,-13.7096167,2.6,-0.4,2.6,-0.4,2.6,-0.4,161.7617539,-120.2384723
2,37.0766835,-23.7046733,40.1934931,-24.7419111,19.3547529,-13.7096167,2.6,-0.4,2.6,-0.4,124.6850704,-96.533799
2,27.9556262,-19.4888971,37.0766835,-23.7046733,40.1934931,-24.7419111,19.3547529,-13.7096167,2.6,-0.4,96.7294442,-77.0449019
2,27.4194443,-19.3549018,27.9556262,-19.4888971,37.0766835,-23.7046733,40.1934931,-24.7419111,19.3547529,-13.7096167,69.3099999,-57.6900001
2,6.4515843,-6.4515844,27.4194443,-19.3549018,27.9556262,-19.4888971,37.0766835,-23.7046733,40.1934931,-24.7419111,62.8584156,-51.2384157
2,5.8387212,-3.387118,6.4515843,-6.4515844,27.4194443,-19.3549018,27.9556262,-19.4888971,37.0766835,-23.7046733,57.0196944,-47.8512977
2,4.8064696,-2.0000077,5.8387212,-3.387118,6.4515843,-6.4515844,27.4194443,-19.3549018,27.9556262,-19.4888971,52.2132248,-45.85129
2,3.5594796,-1.3800415,4.8064696,-2.0000077,5.8387212,-3.387118,6.4515843,-6.4515844,27.4194443,-19.3549018,48.6537452,-44.4712485
2,2.3437453,-0.7812484,3.5594796,-1.3800415,4.8064696,-2.0000077,5.8387212,-3.387118,6.4515843,-6.4515844,46.3099999,-43.6900001
2,2.0161278,-1.6129023,2.3437453,-0.7812484,3.5594796,-1.3800415,4.8064696,-2.0000077,5.8387212,-3.387118,44.2938721,-42.0770978
2,2.0161279,-1.6129023,2.0161278,-1.6129023,2.3437453,-0.7812484,3.5594796,-1.3800415,4.8064696,-2.0000077,42.2777442,-40.4641955
2,2.6451644,-2.0322606,2.0161279,-1.6129023,2.0161278,-1.6129023,2.3437453,-0.7812484,3.5594796,-1.3800415,39.6325798,-38.4319349
2,2.5483874,-1.9677424,2.6451644,-2.0322606,2.0161279,-1.6129023,2.0161278,-1.6129023,2.3437453,-0.7812484,37.0841924,-36.4641925
