trial,target r,target y,target x,iteration,time,widget x,widget y
7,48,324,194,6,0.3,196.807198404,282.032999992
7,48,324,194,7,0.35,197,283
7,48,324,194,8,0.4,197,283
7,48,324,194,9,0.45,197,283
7,48,324,194,10,0.5,197,283
7,48,324,194,11,0.55,197,283
8,41,324,588,0,0.0,173.877000093,150.877000093
8,41,324,588,1,0.05,177.600400345,153.00465738
8,41,324,588,2,0.1,183.780186453,155.84472888
8,41,324,588,3,0.15,245.876778594,174.39306482
8,41,324,588,4,0.2,381.470564294,219.93941795
8,41,324,588,5,0.25,463.877000093,254.877000093
8,41,324,588,6,0.3,467.120588234,259.877000093
8,41,324,588,7,0.35,467.761614291,259.877000093
8,41,324,588,8,0.4,468.402640347,259.877000093
8,41,324,588,9,0.45,475.167277273,262.393110965
8,41,324,588,10,0.5,505.845677915,274.345715169
8,41,324,588,11,0.55,541.393107244,292.55440486
8,41,324,588,12,0.6,555.457611216,301.780206449
8,41,324,588,13,0.65,565.070518213,307.393110965
8,41,324,588,14,0.7,571.393110965,310.554407341
8,41,324,588,15,0.75,581.102789178,316.973766844
8,41,324,588,16,0.8,589.167313346,320.52215672
8,41,324,588,17,0.85,591,322
8,41,324,588,18,0.9,591,322
8,41,324,588,19,0.95,591,322
8,41,324,588,20,1.0,591,322
8,41,324,588,21,1.05,591,322
9,63,120,533,0,0.0,364.690000057,378.690000057
9,63,120,533,1,0.05,366.690000057,375.890000057
9,63,120,533,2,0.1,368.690000057,373.090000057
9,63,120,533,3,0.15,379.367376541,348.303006887
9,63,120,533,4,0.2,426.721177693,242.440140874
9,63,120,533,5,0.25,470.690000057,164.690000057
9,63,120,533,6,0.3,489.206107207,139.722289729
9,63,120,533,7,0.35,498.127491582,129.471254295
9,63,120,533,8,0.4,499.690000057,127.883552017
9,63,120,533,9,0.45,504,127
9,63,120,533,10,0.5,504,127
9,63,120,533,11,0.55,504,127
9,63,120,533,12,0.6,504,127
9,63,120,533,13,0.65,504,127
10,28,126,198,0,0.0,556.752000093,259.752000093
10,28,126,198,1,0.05,554.601466473,259.752000093
10,28,126,198,2,0.1,547.558563548,259.752000093
10,28,126,198,3,0.15,502.127133087,258.939504005
10,28,126,198,4,0.2,416.139223992,232.042371102
10,28,126,198,5,0.25,338.977866088,196.429444258
10,28,126,198,6,0.3,301.377072924,182.377022259
10,28,126,198,7,0.35,285.526198505,178.300396916
10,28,126,198,8,0.4,283.920002413,176.336001253
10,28,126,198,9,0.45,282.320002413,175.536001253
10,28,126,198,10,0.5,280.720002413,174.736001253
10,28,126,198,11,0.55,279.120002413,173.936001253
10,28,126,198,12,0.6,277.520002413,173.136001253
10,28,126,198,13,0.65,270.881074726,170.235889222
10,28,126,198,14,0.7,257.590724012,161.397167487
10,28,126,198,15,0.75,248.50201872,156.564514063
10,28,126,198,16,0.8,241.526216963,152.461686841
10,28,126,198,17,0.85,236.977810713,150.752000093
10,28,126,198,18,0.9,229.526204657,149.010068281
10,28,126,198,19,0.95,225.300389225,148.752000093
10,28,126,198,20,1.0,222.622976767,148.68748843
10,28,126,198,21,1.05,217.3649254,145.719755277
10,28,126,198,22,1.1,210.719747586,142.493936967
10,28,126,198,23,1.15,206.456007052,141.752000093
10,28,126,198,24,1.2,204.056007052,141.752000093
10,28,126,198,25,1.25,203,143
10,28,126,198,26,1.3,203,143
10,28,126,198,27,1.35,203,143
10,28,126,198,28,1.4,203,143
10,28,126,198,29,1.45,203,143
11,47,354,241,0,0.0,123.938999891,194.938999891
11,47,354,241,1,0.05,123.938999891,196.534746903
11,47,354,241,2,0.1,125.293863609,202.003591044
11,47,354,241,3,0.15,152.713264445,248.777806872
11,47,354,241,4,0.2,190.680940932,295.939006044
11,47,354,241,5,0.25,218.938999891,325.938999891
11,47,354,241,6,0.3,229.390614978,339.616422521
11,47,354,241,7,0.35,235.164809171,348.164809171
11,47,354,241,8,0.4,237,350
11,47,354,241,9,0.45,237,350
11,47,354,241,10,0.5,237,350
11,47,354,241,11,0.55,237,350
11,47,354,241,12,0.6,237,350
12,45,280,510,0,0.0,246.907999992,246.907999992
12,45,280,510,1,0.05,246.907999992,247.445634776
12,45,280,510,2,0.1,249.166075425,248.133807536
12,45,280,510,3,0.15,273.158042834,248.907999992
12,45,280,510,4,0.2,329.649941033,248.907999992
12,45,280,510,5,0.25,371.553116625,250.907999992
12,45,280,510,6,0.3,399.032995149,252.157999247
12,45,280,510,7,0.35,417.166075425,253.133807536
12,45,280,510,8,0.4,427.424130215,255.585420141
12,45,280,510,9,0.45,431.095515825,255.907999992
12,45,280,510,10,0.5,444.069279151,258.940255824
12,45,280,510,11,0.55,454.714478846,262.488657261
12,45,280,510,12,0.6,466.907994032,268.407995522
12,45,280,510,13,0.65,476.26284029,273.746710067
12,45,280,510,14,0.7,478,275
12,45,280,510,15,0.75,478,275
12,45,280,510,16,0.8,478,275
12,45,280,510,17,0.85,478,275
12,45,280,510,18,0.9,478,275
13,19,157,291,0,0.0,363.627000093,118.627000093
13,19,157,291,1,0.05,361.246055353,119.42064834
13,19,157,291,2,0.1,352.659271307,122.207637365
13,19,157,291,3,0.15,338.949623609,129.465688335
13,19,157,291,4,0.2,324.564519651,136.470736403
13,19,157,291,5,0.25,312.627000093,144.627000093
13,19,157,291,6,0.3,304.014099299,151.239900888
13,19,157,291,7,0.35,296.408254331,155.845745856
13,19,157,291,8,0.4,294.820552053,156.627000093
13,19,157,291,9,0.45,295,158
13,19,157,291,10,0.5,295,158
13,19,157,291,11,0.55,295,158
13,19,157,291,12,0.6,295,158
13,19,157,291,13,0.65,295,158
14,17,369,236,0,0.0,208.907999992,288.907999992
14,17,369,236,1,0.05,210.133801581,308.327313498
14,17,369,236,2,0.1,217.220474567,330.064169479
14,17,369,236,3,0.15,224.327344113,353.778928436
14,17,369,236,4,0.2,227.907999992,363.327351804
14,17,369,236,5,0.25,228.923871867,366.939743741
14,17,369,236,6,0.3,229.717523117,368.527046242
14,17,369,236,7,0.35,231,370
14,17,369,236,8,0.4,231,370
14,17,369,236,9,0.45,231,370
14,17,369,236,10,0.5,231,370
14,17,369,236,11,0.55,231,370
15,61,101,258,0,0.0,480.001999855,291.001999855
15,61,101,258,1,0.05,478.38909137,291.001999855
15,61,101,258,2,0.1,460.711616542,279.48582438
15,61,101,258,3,0.15,414.743830149,241.582555605
15,61,101,258,4,0.2,354.646979245,181.80826024
15,61,101,258,5,0.25,312.001999856,138.001999856
15,61,101,258,6,0.3,295.776182884,121.776182884
15,61,101,258,7,0.35,282.776190575,110.776190575
15,61,101,258,8,0.4,281.189496316,110.001999855
15,61,101,258,9,0.45,279.582642585,110.001999855
15,61,101,258,10,0.5,280,111
15,61,101,258,11,0.55,280,111
15,61,101,258,12,0.6,280,111
15,61,101,258,13,0.65,280,111
15,61,101,258,14,0.7,280,111
16,45,220,238,0,0.0,134.752000093,381.752000093
16,45,220,238,1,0.05,135.289634877,373.687478341
16,45,220,238,2,0.1,139.139113242,359.52615871
16,45,220,238,3,0.15,185.689592202,274.626841581
16,45,220,238,4,0.2,230.816520986,207.332638904
16,45,220,238,5,0.25,246.816511757,185.719744262
16,45,220,238,6,0.3,248.752000093,184.832000208
16,45,220,238,7,0.35,248.752000093,185.032000208
16,45,220,238,8,0.4,248.752000093,185.232000208
16,45,220,238,9,0.45,248.752000093,185.432000208
16,45,220,238,10,0.5,248.752000093,185.632000208
16,45,220,238,11,0.55,248.752000093,186.397159449
16,45,220,238,12,0.6,250,188
16,45,220,238,13,0.65,250,188
16,45,220,238,14,0.7,250,188
16,45,220,238,15,0.75,250,188
16,45,220,238,16,0.8,250,188
17,68,355,493,0,0.0,305.907999992,295.907999992
17,68,355,493,1,0.05,321.327313498,295.907999992
17,68,355,493,2,0.1,351.68204766,300.39181747
17,68,355,493,3,0.15,392.782913938,318.657953053
17,68,355,493,4,0.2,444.714388043,344.262814488
17,68,355,493,5,0.25,472.940255824,353.907999992
17,68,355,493,6,0.3,475.157999247,353.907999992
17,68,355,493,7,0.35,477,357
17,68,355,493,8,0.4,477,357
17,68,355,493,9,0.45,477,357
17,68,355,493,10,0.5,477,357
17,68,355,493,11,0.55,477,357
18,31,295,238,0,0.0,339.095999956,175.095999956
18,31,295,238,1,0.05,339.095999956,175.627915627
18,31,295,238,2,0.1,336.9669284,178.612175431
18,31,295,238,3,0.15,305.515281161,210.063810266
18,31,295,238,4,0.2,238.418519818,270.225083272
18,31,295,238,5,0.25,208.095999957,296.095999956
18,31,295,238,6,0.3,200.870182985,304.934725412
18,31,295,238,7,0.35,201,308
18,31,295,238,8,0.4,201,308
18,31,295,238,9,0.45,201,308
18,31,295,238,10,0.5,201,308
18,31,295,238,11,0.55,201,308
19,13,396,177,0,0.0,276.157999992,197.157999992
19,13,396,177,1,0.05,272.125744285,205.222511408
19,13,396,177,2,0.1,264.641824517,225.190350943
19,13,396,177,3,0.15,242.061186352,271.964535759
19,13,396,177,4,0.2,196.964449621,368.31929607
19,13,396,177,5,0.25,189.157999992,389.157999992
19,13,396,177,6,0.3,188.928642126,389.157999992
19,13,396,177,7,0.35,188.69928426,389.157999992
19,13,396,177,8,0.4,188.469926393,389.157999992
19,13,396,177,9,0.45,188.240568527,389.157999992
19,13,396,177,10,0.5,186.125736718,390.190263267
19,13,396,177,11,0.55,183.908000738,392.407999247
19,13,396,177,12,0.6,181.932190712,393.770904632
19,13,396,177,13,0.65,181.157999992,394.996711307
19,13,396,177,14,0.7,180.157999992,395.595503159
19,13,396,177,15,0.75,181,397
19,13,396,177,16,0.8,181,397
19,13,396,177,17,0.85,181,397
19,13,396,177,18,0.9,181,397
19,13,396,177,19,0.95,181,397
20,23,321,297,0,0.0,212.095000029,299.095000029
20,23,321,297,1,0.05,218.008982647,301.783173946
20,23,321,297,2,0.1,228.345038027,305.407509528
20,23,321,297,3,0.15,261.611176398,313.320817
20,23,321,297,4,0.2,283.869195363,316.514355066
20,23,321,297,5,0.25,293,319
20,23,321,297,6,0.3,293,319
20,23,321,297,7,0.35,293,319
20,23,321,297,8,0.4,293,319
20,23,321,297,9,0.45,293,319
21,22,196,410,0,0.0,275.814999819,340.814999819
21,22,196,410,1,0.05,282.614999819,330.814999819
21,22,196,410,2,0.1,289.414999819,320.814999819
21,22,196,410,3,0.15,317.008627101,285.169738595
21,22,196,410,4,0.2,362.298892669,233.944007763
21,22,196,410,5,0.25,374.814999819,223.814999819
21,22,196,410,6,0.3,378.040807362,222.202096047
21,22,196,410,7,0.35,380.008551778,221.427895899
21,22,196,410,8,0.4,384.847271032,217.395637091
21,22,196,410,9,0.45,387.653709893,214.976289744
21,22,196,410,10,0.5,391.814999819,211.814999819
21,22,196,410,11,0.55,395.653711134,208.363384732
21,22,196,410,12,0.6,400.040809099,205.589190539
21,22,196,410,13,0.65,401.227699541,204.814999819
21,22,196,410,14,0.7,403,206
21,22,196,410,15,0.75,403,206
21,22,196,410,16,0.8,403,206
21,22,196,410,17,0.85,403,206
21,22,196,410,18,0.9,403,206
22,63,179,127,0,0.0,312.157999992,250.157999992
22,63,179,127,1,0.05,309.738637264,250.157999992
22,63,179,127,2,0.1,299.254720598,248.577344113
22,63,179,127,3,0.15,271.835369381,241.319274536
22,63,179,127,4,0.2,208.319136398,212.028888444
22,63,179,127,5,0.25,160.157999993,184.157999993
22,63,179,127,6,0.3,157.545091507,181.157999992
22,63,179,127,7,0.35,156.549996758,181.157999992
22,63,179,127,8,0.4,155.749996758,181.157999992
22,63,179,127,9,0.45,156,182
22,63,179,127,10,0.5,156,182
22,63,179,127,11,0.55,156,182
22,63,179,127,12,0.6,156,182
22,63,179,127,13,0.65,156,182
23,32,231,434,0,0.0,458.377000093,155.377000093
23,32,231,434,1,0.05,454.312496121,166.118908832
23,32,231,434,2,0.1,448.939496927,181.564515926
23,32,231,434,3,0.15,445.764104013,196.635032457
23,32,231,434,4,0.2,443.957645056,206.796355131
23,32,231,434,5,0.25,443.377000093,207.884936001
23,32,231,434,6,0.3,443.377000093,208.989900888
23,32,231,434,7,0.35,442.925385007,210.377000093
23,32,231,434,8,0.4,443,212
23,32,231,434,9,0.45,443,212
23,32,231,434,10,0.5,443,212
23,32,231,434,11,0.55,443,212
23,32,231,434,12,0.6,443,212
24,36,150,569,0,0.0,546.907999992,344.907999992
24,36,150,569,1,0.05,545.32735503,343.166065104
24,36,150,569,2,0.1,544.907999992,329.972369646
24,36,150,569,3,0.15,545.714454235,262.230467555
24,36,150,569,4,0.2,556.907999992,206.35960317
24,36,150,569,5,0.25,557.907999992,202.907999992
24,36,150,569,6,0.3,561.359615079,193.617673591
24,36,150,569,7,0.35,565.101551952,188.714448033
24,36,150,569,8,0.4,565.907999992,187.504774422
24,36,150,569,9,0.45,566.114348742,186.082604993
24,36,150,569,10,0.5,566.907999992,182.907999992
24,36,150,569,11,0.55,566.907999992,182.101548851
24,36,150,569,12,0.6,567.520904632,179.456381433
24,36,150,569,13,0.65,567.907999992,176.282992914
24,36,150,569,14,0.7,568.32735503,174.907999992
24,36,150,569,15,0.75,570,176
24,36,150,569,16,0.8,570,176
24,36,150,569,17,0.85,570,176
24,36,150,569,18,0.9,570,176
24,36,150,569,19,0.95,570,176
25,19,372,534,0,0.0,149.657999992,142.657999992
25,19,372,534,1,0.05,154.145182387,147.145182387
25,19,372,534,2,0.1,158.632364782,151.632364782
25,19,372,534,3,0.15,163.119547177,156.119547177
25,19,372,534,4,0.2,259.464468078,228.722527037
25,19,372,534,5,0.25,407.657999992,321.657999992
25,19,372,534,6,0.3,460.367690511,347.787037708
25,19,372,534,7,0.35,473.945673758,351.657999992
25,19,372,534,8,0.4,476.00046733,351.657999992
25,19,372,534,9,0.45,478.055260902,351.657999992
25,19,372,534,10,0.5,480.110054474,351.657999992
25,19,372,534,11,0.55,482.164848046,351.657999992
25,19,372,534,12,0.6,491.916075425,353.883807536
25,19,372,534,13,0.65,503.851550364,356.335420141
25,19,372,534,14,0.7,512.095498968,357.657999992
25,19,372,534,15,0.75,513.722511408,357.657999992
25,19,372,534,16,0.8,516.948315974,357.657999992
25,19,372,534,17,0.85,518.828212413,357.657999992
25,19,372,534,18,0.9,519.892041056,357.657999992
25,19,372,534,19,0.95,521.109610861,357.657999992
25,19,372,534,20,1.0,523,359
25,19,372,534,21,1.05,523,359
25,19,372,534,22,1.1,523,359
25,19,372,534,23,1.15,523,359
25,19,372,534,24,1.2,523,359
26,39,148,105,0,0.0,293.063999891,101.063999891
26,39,148,105,1,0.05,289.300556407,101.063999891
26,39,148,105,2,0.1,277.532688146,101.939006224
26,39,148,105,3,0.15,210.77355897,112.322088076
26,39,148,105,4,0.2,153.289764366,123.483359394
26,39,148,105,5,0.25,141.90772428,124.063999891
26,39,148,105,6,0.3,132.160732008,127.128542318
26,39,148,105,7,0.35,122.612381332,131.515618451
26,39,148,105,8,0.4,121.063999891,133.902711206
26,39,148,105,9,0.45,121.063999891,134.778286471
26,39,148,105,10,0.5,122,136
26,39,148,105,11,0.55,122,136
26,39,148,105,12,0.6,122,136
26,39,148,105,13,0.65,122,136
26,39,148,105,14,0.7,122,136
27,71,126,226,0,0.0,348.877000093,385.877000093
27,71,126,226,1,0.05,344.477000093,375.877000093
27,71,126,226,2,0.1,340.077000093,365.877000093
27,71,126,226,3,0.15,318.522247125,310.877221592
27,71,126,226,4,0.2,275.006074726,188.457742111
27,71,126,226,5,0.25,256.81450475,154.81450475
27,71,126,226,6,0.3,254.264099299,152.877000093
27,71,126,226,7,0.35,255,154
27,71,126,226,8,0.4,255,154
27,71,126,226,9,0.45,255,154
27,71,126,226,10,0.5,255,154
27,71,126,226,11,0.55,255,154
28,63,214,130,0,0.0,530.813999891,230.813999891
28,63,214,130,1,0.05,525.572057393,228.394641815
28,63,214,130,2,0.1,520.330114894,225.975283739
28,63,214,130,3,0.15,490.188879564,221.563985735
28,63,214,130,4,0.2,327.007531805,197.426899148
28,63,214,130,5,0.25,191.910628205,165.781736617
28,63,214,130,6,0.3,156.689004734,164.813999891
28,63,214,130,7,0.35,144.459144212,164.813999891
28,63,214,130,8,0.4,135.620443317,166.491422521
28,63,214,130,9,0.45,133.813999891,169.251503058
