key,mean,stdev
trial,312.895256972,180.934121579
target rel x,7.28781982124e-16,31.1685893053
target rel y,-3.65572799681e-16,31.1685893053
target dx,-2.44641770573e-15,171.626466343
target dy,-3.43621443202e-14,171.626466343
widget dx,-1.29998948163e-17,5.69031976852
widget dy,-2.00907465342e-17,5.69031976852
