key,mean,stdev
trial,675.81302521,391.579066678
target r,31.9294117647,18.9705404208
target rel x,1.65705731116e-14,105.239522884
target rel y,-7.27858483102e-15,62.7596321478
speed,220.128488161,98.4336399705
widget dx,3.33178862651e-16,21.0326340434
widget dy,3.34373052122e-16,13.565721956
