s,s[c3],s[c2],s[c1],s[c5],s[c4],d,d[c3],d[c2],d[c1],d[c5],d[c4],adapt_cost,adapt_iters,scratch_cost
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,-0.7375052031353517,10,-0.7375037418835527
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,1,0.3333333333333333,-2.1699442414896764,4.341299823373661,3.822981426281108,-3.6606506299789743,-0.9041820182268654,57,-0.9041803283328104
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,2,0.3333333333333333,-2.2773783813227904,4.9158231013491065,4.009043474830542,-4.119821643667872,-1.0847737709822605,4,-1.084773578827555
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,3,0.3333333333333333,-2.3360252535527595,3.2649115071053556,3.849416864023617,-3.734261800713577,-0.9434845958440529,73,-5.418372503301552
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,4,0.3333333333333333,-2.1263152364209796,4.29213575064235,4.095320545695797,-3.7010467751164944,-0.8627926187304276,68,-0.8627908974473333
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,5,0.3333333333333333,-2.083264893465133,3.1294118693440147,3.8884491238675873,-4.109656392835157,-1.1288966450624216,8,-2.8759900400916067
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,6,0.3333333333333333,-2.465512601420565,4.3932642541515445,4.4314063635021705,-3.8562486124270055,-0.8639591564752984,99,-2.849254319132384
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,7,0.3333333333333333,-2.223793784453222,3.5348890864302756,4.255330974272725,-3.795843124498642,-0.878517762474219,72,-2.773009378993517
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,8,0.3333333333333333,-2.328144437745655,4.502579255589746,4.275137684729771,-3.9629493465088674,-0.9443835112951618,3,-0.9443835180882998
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,9,0.3333333333333333,-2.388216344142778,3.203946218369575,4.39384682602389,-3.798018371532903,-0.8551015672449945,48,-6.311572885974057
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,10,0.3333333333333333,-2.045500417692906,3.5638958607253057,4.287845571324829,-3.5216786592018035,-0.752338543553076,28,-0.7523370495405574
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,11,0.3333333333333333,-2.0491496395959,3.839115955398549,3.5476121166935632,-3.5648097568477306,-0.928695962494376,40,-0.9286944201452871
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,12,0.3333333333333333,-2.0042905461314353,4.947234042944802,4.101274993536994,-3.7763674550403454,-0.8927663344130277,58,-0.892764990422217
0,0.3333333333333333,-2.337571364178104,4.9071525904562945,4.288924771190768,-3.5059723791374386,13,0.3333333333333333,-2.1072949417793647,3.4565117896070583,4.209764284022323,-3.7883631579578276,-0.8853388558634908,99,-1.738969683352403
