#t,	body1,	body2,	number_of_contacts,	average_cp_x,	average_cp_y,	average_cp_z,	average_cn_x,	average_cn_y,	average_cn_z,	f_x,	f_y,	f_z,	m_x,	m_y,	m_z
15.267,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0342703,	0.015438,	1.24847,	0.834614,	0.00403899,	-0.538141,	477.242,	-4.78544,	168.164,	3.8457,	62.9465,	-9.12274
15.267,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0413787,	0.0167561,	1.24971,	-0.0831167,	-0.0042849,	-0.988798,	-554.238,	-8.35343,	-926.372,	-8.30879,	-88.5463,	5.89464
15.267,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0338631,	-0.00505654,	1.24719,	0.996746,	0.00703966,	-0.0477324,	297.58,	-15.0904,	134.568,	1.10015,	39.7673,	1.31542
15.267,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0359259,	-0.00267578,	1.24933,	0.335072,	-0.000941201,	-0.904071,	-317.053,	-10.9073,	-970.884,	8.0927,	-61.5226,	-2.83965
15.268,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0425141,	0.0288827,	1.20187,	0.00731423,	-0.999966,	0.00382941,	-61.9622,	-136.997,	27.147,	11.2072,	-4.30782,	3.84074
15.269,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0424554,	0.0288423,	1.2018,	0.00736296,	-0.999966,	0.00380552,	-62.4064,	-155.535,	14.9276,	12.3167,	-4.54148,	4.17213
15.269,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0504348,	-0.0207003,	1.20306,	-0.0301728,	0.997036,	-0.00828292,	-21.6421,	645.417,	50.1655,	-51.255,	-1.26469,	-5.84266
15.269,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0343122,	0.0154474,	1.24847,	0.83485,	0.00410016,	-0.537887,	479.151,	-5.73063,	163.257,	3.87821,	63.0593,	-9.169
15.269,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0407466,	0.017549,	1.24971,	-0.106124,	-0.00453576,	-0.986517,	-551.578,	-9.10014,	-922.034,	-8.54167,	-88.1339,	6.42691
15.269,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0339477,	-0.00504138,	1.2471,	0.997859,	0.00722974,	-0.0309288,	239.165,	-17.2966,	134.413,	1.47429,	32.5894,	1.18068
15.269,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0359308,	-0.0026615,	1.24911,	0.364118,	-0.000667569,	-0.879913,	-223.429,	-8.36246,	-963.438,	7.93169,	-49.6714,	-2.26033
15.27,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0424752,	0.0288217,	1.20178,	0.00743743,	-0.999965,	0.00390861,	-61.9581,	-123.683,	28.2594,	10.2012,	-4.2816,	3.62665
15.271,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0424183,	0.0287824,	1.20172,	0.00748777,	-0.999964,	0.00389124,	-61.2578,	-144.108,	15.7727,	11.4497,	-4.43355,	3.96097
15.271,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0504838,	-0.0207604,	1.2032,	-0.0300604,	0.997091,	-0.00831905,	-17.8771,	643.465,	49.5753,	-51.1799,	-0.981928,	-5.71765
15.271,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0343409,	0.0154547,	1.24848,	0.83444,	0.0041535,	-0.538323,	480.903,	-6.95639,	160.059,	3.97754,	63.1981,	-9.20415
15.271,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0407787,	0.0175519,	1.24972,	-0.104663,	-0.00462401,	-0.986872,	-547.639,	-10.3346,	-919.688,	-8.40451,	-87.6046,	6.41698
15.271,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0339324,	-0.00503778,	1.24723,	0.996028,	0.00721597,	-0.0622703,	300.417,	-16.1389,	95.7897,	1.43651,	39.165,	1.16675
15.271,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0359825,	-0.00265841,	1.24921,	0.35312,	-0.000823816,	-0.891198,	-316.085,	-12.6523,	-891.866,	7.90971,	-59.5103,	-2.63457
15.272,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0424379,	0.0287635,	1.20172,	0.00756254,	-0.999963,	0.00400448,	-56.9035,	-109.473,	43.8731,	9.49403,	-3.62514,	3.26827
15.272,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	4,	0.0364204,	-0.00650044,	1.25003,	0.148659,	-0.00283555,	-0.988815,	-159.721,	-8.56381,	-1152.53,	13.2504,	-45.7239,	-1.4811
15.273,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0423544,	0.028723,	1.20163,	0.00761142,	-0.999963,	0.00398081,	-60.6736,	-104.388,	19.3888,	8.48665,	-4.32263,	3.28457
15.273,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0503293,	-0.0208224,	1.20338,	-0.029955,	0.997144,	-0.00836306,	-15.0585,	665.677,	52.1204,	-53.0957,	-0.725611,	-5.89521
15.273,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	10,	0.0343569,	0.0154585,	1.24847,	0.830016,	0.00415324,	-0.543736,	476.979,	9.52801,	157.096,	1.89784,	62.6436,	-9.56172
15.273,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0421337,	0.0167295,	1.24965,	-0.0615083,	-0.00441323,	-0.990981,	-542.849,	2.72053,	-915.056,	-9.76023,	-86.9066,	5.66695
15.273,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0340415,	-0.0103721,	1.24796,	0.950787,	0.00601377,	-0.307297,	69.7884,	9.01883,	34.7099,	-1.61128,	9.44264,	0.786736
15.273,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0363769,	-0.00484422,	1.24987,	0.178813,	-0.00252798,	-0.976915,	-242.348,	0.733224,	-1242.97,	9.42666,	-58.4159,	-2.79682
15.274,	object::object::object_collision,	soft_hand::soft_hand_index_distal_link::soft_hand_index_distal_link_collision,	5,	0.0423461,	0.028723,	1.20166,	0.00766548,	-0.999963,	0.00388104,	-32.9126,	-102.985,	39.3488,	8.87656,	-1.8561,	2.5668
15.274,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0341058,	-0.0102089,	1.248,	0.949153,	0.00606644,	-0.311644,	51.2992,	1.14249,	28.6155,	-0.55407,	7.00902,	0.713447
15.274,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0363512,	-0.00490396,	1.24992,	0.183969,	-0.00238814,	-0.978672,	-244.191,	-5.46101,	-1276.72,	10.8721,	-59.3819,	-2.59647
