#t,	body1,	body2,	number_of_contacts,	average_cp_x,	average_cp_y,	average_cp_z,	average_cn_x,	average_cn_y,	average_cn_z,	f_x,	f_y,	f_z,	m_x,	m_y,	m_z
10.637,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369731,	-0.00717675,	1.24995,	0.176506,	-0.000686876,	-0.984299,	4.07164e-18,	-3.48216e-18,	-2.82195e-18,	4.77587e-19,	4.45167e-19,	1.39768e-19
10.638,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369748,	-0.00719126,	1.24994,	0.175988,	-0.000684785,	-0.984392,	0.606237,	-7.41911,	-21.7019,	1.25415,	-0.413124,	0.176266
10.638,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369757,	-0.00719497,	1.24995,	0.176159,	-0.000705887,	-0.984361,	-1.40027,	5.22728,	-14.4046,	-0.43601,	-0.499474,	-0.138869
10.64,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369781,	-0.00719526,	1.24995,	0.17608,	-0.00066772,	-0.984376,	-1.23489,	6.11438,	-15.7951,	-0.525894,	-0.510126,	-0.156357
10.641,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369791,	-0.0071926,	1.24995,	0.176062,	-0.000650792,	-0.984379,	-2.22449,	-3.74983,	-16.3542,	0.715069,	-0.646374,	0.0509432
10.642,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369813,	-0.00719127,	1.24995,	0.175977,	-0.000677549,	-0.984394,	-1.29966,	-8.12288,	-15.9716,	1.25571,	-0.522192,	0.163397
10.643,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369823,	-0.00719137,	1.24995,	0.175911,	-0.000703802,	-0.984406,	-2.77871,	1.81352,	-18.7333,	0.0557701,	-0.769211,	-0.0827376
10.644,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369843,	-0.00719001,	1.24995,	0.175875,	-0.000682227,	-0.984412,	-1.705,	7.61506,	-11.5461,	-0.777477,	-0.473142,	-0.197245
10.645,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369848,	-0.00718927,	1.24994,	0.175715,	-0.000682409,	-0.984441,	-3.92186,	-1.95303,	-25.6211,	0.630204,	-1.06719,	-0.0151167
10.646,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369874,	-0.00719283,	1.24995,	0.175775,	-0.000689066,	-0.98443,	-1.7623,	-9.29007,	-13.6429,	1.36643,	-0.527535,	0.182715
10.647,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369882,	-0.0071926,	1.24994,	0.175572,	-0.000686882,	-0.984466,	-3.85842,	0.250416,	-29.3228,	0.410648,	-1.14264,	-0.063793
10.648,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369902,	-0.00718958,	1.24995,	0.175702,	-0.000677326,	-0.984443,	-2.82673,	7.48159,	-16.3514,	-0.688402,	-0.721547,	-0.211138
10.649,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369908,	-0.0071888,	1.24994,	0.175568,	-0.000677525,	-0.984467,	-4.90018,	-2.16252,	-31.1677,	0.739923,	-1.31436,	-0.0251356
10.65,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369932,	-0.00719192,	1.24995,	0.175662,	-0.000689262,	-0.98445,	-2.76798,	-9.29657,	-19.5703,	1.45654,	-0.786712,	0.167705
10.651,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369938,	-0.00719157,	1.24994,	0.175501,	-0.000687154,	-0.984479,	-3.23229,	0.331445,	-35.0162,	0.486262,	-1.19264,	-0.0561751
10.651,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369938,	-0.0071878,	1.24995,	0.175726,	-0.00067721,	-0.984439,	-3.69745,	7.29519,	-20.614,	-0.600909,	-0.92637,	-0.220055
10.653,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0369943,	-0.00718697,	1.24994,	0.175612,	-0.000677404,	-0.984459,	-0.822036,	-2.18679,	-35.2889,	0.804993,	-0.897639,	0.0368731
10.654,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369908,	-0.00719093,	1.24995,	0.175914,	-0.000686321,	-0.984405,	-4.31002,	-8.84867,	-25.8517,	1.49521,	-1.12092,	0.134394
10.655,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369921,	-0.00719089,	1.24995,	0.175879,	-0.000714757,	-0.984412,	-4.5027,	1.96107,	-30.7342,	0.218068,	-1.25497,	-0.112024
10.655,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0369924,	-0.00719188,	1.24995,	0.175935,	-0.000687283,	-0.984402,	-10.0035,	0.00804238,	-23.3148,	0.350291,	-1.77516,	-0.150909
10.657,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369945,	-0.00719041,	1.24993,	0.175453,	-0.000685086,	-0.984488,	-1.47142,	0.68426,	-40.9101,	0.530859,	-1.10534,	-0.0375812
10.657,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369952,	-0.00719224,	1.24995,	0.176022,	-0.000681296,	-0.984386,	0.102503,	-1.58416,	-29.0444,	0.635529,	-0.641504,	0.0372324
10.659,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369963,	-0.00719132,	1.24995,	0.176299,	-0.000684972,	-0.984336,	-9.39443,	-0.09932,	-28.7237,	0.445163,	-1.82097,	-0.139299
10.659,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369989,	-0.0071906,	1.24995,	0.176061,	-0.000683039,	-0.984379,	-10.9747,	1.91121,	-30.9426,	0.22735,	-2.0683,	-0.208388
10.661,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370002,	-0.00718902,	1.24993,	0.175687,	-0.000681366,	-0.984446,	-3.40589,	-0.776759,	-45.9261,	0.788857,	-1.46005,	-0.0338077
10.661,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370011,	-0.00719154,	1.24995,	0.176216,	-0.000684105,	-0.984351,	-1.70585,	-2.00889,	-37.6836,	0.818648,	-1.06209,	0.0195614
10.663,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370021,	-0.00719125,	1.24995,	0.176508,	-0.000685964,	-0.984299,	-9.44409,	-1.0361,	-24.2934,	0.495391,	-1.72736,	-0.118913
10.664,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368639,	-0.00719235,	1.2499,	0.222625,	-0.000864487,	-0.973729,	-6.44246,	4.44286,	-47.9546,	0.16715,	-1.88518,	-0.197113
10.665,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370045,	-0.00718471,	1.24994,	0.176433,	-0.000662654,	-0.984313,	-8.96619,	-7.14647,	-46.8906,	1.59916,	-2.1767,	0.0259625
10.665,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0370068,	-0.00718304,	1.24995,	0.176503,	-0.000702782,	-0.9843,	-8.04955,	-8.23603,	-49.9047,	1.78062,	-2.13004,	0.06432
10.667,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370072,	-0.00718479,	1.24995,	0.176676,	-0.000718426,	-0.984269,	-9.11726,	1.56001,	-51.6688,	0.583152,	-2.30322,	-0.17244
10.668,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370082,	-0.00718508,	1.24995,	0.176835,	-0.000691878,	-0.98424,	-9.01569,	5.94228,	-51.12,	0.0272846,	-2.27819,	-0.269633
10.669,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0370081,	-0.00718393,	1.24994,	0.176994,	-0.000664133,	-0.984212,	-10.2951,	-4.99619,	-56.9092,	1.48113,	-2.56851,	-0.042448
10.67,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368962,	-0.00718523,	1.24992,	0.214708,	-0.000835964,	-0.975922,	-6.53952,	-8.00665,	-56.2403,	1.84707,	-2.08528,	0.0824389
10.671,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0370062,	-0.00718485,	1.24995,	0.17753,	-0.000708675,	-0.984115,	-11.34,	2.41505,	-55.5874,	0.535119,	-2.66941,	-0.225141
10.672,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369038,	-0.00718691,	1.24993,	0.212179,	-0.000814945,	-0.97659,	-6.11147,	-1.23956,	-57.178,	1.01573,	-2.05675,	-0.0640141
10.673,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.037007,	-0.00718391,	1.24995,	0.178157,	-0.000686783,	-0.984002,	-15.6948,	-2.86032,	-53.4824,	1.16251,	-3.16626,	-0.171812
10.674,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036913,	-0.00718219,	1.24993,	0.210038,	-0.000818999,	-0.977144,	-15.7571,	-1.40327,	-60.1061,	1.08025,	-3.33205,	-0.205452
10.676,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369156,	-0.00718109,	1.24992,	0.208285,	-0.000809116,	-0.977577,	-5.91928,	-2.3424,	-49.1176,	1.03207,	-1.85486,	-0.0360821
10.678,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036923,	-0.00718289,	1.24991,	0.208564,	-0.000829223,	-0.977505,	-5.82698,	0.545409,	-42.8737,	0.577599,	-1.70124,	-0.10009
10.68,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369172,	-0.00718541,	1.24991,	0.208106,	-0.000808887,	-0.977626,	-0.973778,	6.11187,	-51.0903,	0.00602341,	-1.28179,	-0.15335
10.682,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369086,	-0.00719257,	1.24991,	0.208864,	-0.000764009,	-0.977451,	-2.88082,	-9.83891,	-50.6518,	1.99246,	-1.51021,	0.179903
10.684,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369013,	-0.00718273,	1.24991,	0.209322,	-0.000842087,	-0.977339,	-1.15852,	-0.0543078,	-50.5154,	0.767814,	-1.29217,	-0.0162834
10.687,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368878,	-0.00718774,	1.24991,	0.212928,	-0.000837824,	-0.976442,	6.95801,	-1.43806,	-25.8169,	0.568551,	0.28199,	0.137525
10.688,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368828,	-0.00718469,	1.24991,	0.215002,	-0.000835998,	-0.975927,	-4.86522,	-4.60843,	-39.1895,	1.16603,	-1.49892,	0.0312245
10.689,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368758,	-0.00718542,	1.24991,	0.217473,	-0.000863636,	-0.975261,	3.66029,	-2.54892,	-21.9225,	0.648621,	-0.0419346,	0.113156
10.692,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368726,	-0.00718159,	1.24991,	0.218784,	-0.00085134,	-0.974912,	1.24982,	-4.75582,	-34.79,	1.11807,	-0.636049,	0.126955
10.694,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036861,	-0.0071832,	1.24991,	0.220655,	-0.000884845,	-0.974389,	3.55951,	-3.26873,	-19.9077,	0.708161,	-0.00907218,	0.128089
10.695,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368609,	-0.00717849,	1.2499,	0.221242,	-0.000866818,	-0.974213,	2.75815,	-1.17528,	-32.9623,	0.643308,	-0.406629,	0.0681738
10.697,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368512,	-0.00718649,	1.24991,	0.221925,	-0.000871248,	-0.974007,	11.9038,	-2.8443,	-24.2266,	0.72019,	0.934314,	0.244175
10.7,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368404,	-0.00719025,	1.24991,	0.223835,	-0.000870326,	-0.973472,	-5.10692,	-2.32561,	-23.2714,	0.641076,	-1.16629,	-0.024234
10.7,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369784,	-0.00718708,	1.24994,	0.17744,	-0.000689173,	-0.984131,	7.35027,	-4.143,	-45.0311,	1.19583,	-0.0962237,	0.204044
10.703,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	5,	0.0368129,	-0.00719949,	1.2499,	0.232213,	-0.000902898,	-0.971559,	3.46614,	4.00599,	-17.6439,	-0.234266,	0.0305276,	-0.0390607
10.705,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368437,	-0.00719682,	1.24988,	0.222838,	-0.000865456,	-0.973678,	4.69622,	-1.0334,	-13.1697,	0.327567,	0.286107,	0.0943579
10.707,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	5,	0.0368229,	-0.00720983,	1.24988,	0.232054,	-0.000917382,	-0.971546,	3.39837,	7.11486,	-30.6949,	-0.425489,	-0.275429,	-0.110839
10.708,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368562,	-0.00720022,	1.2499,	0.220914,	-0.000812886,	-0.974198,	5.24728,	-4.17924,	-23.5498,	0.876858,	0.118501,	0.174327
10.71,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369863,	-0.00719767,	1.24994,	0.176347,	-0.000637855,	-0.984328,	0.459611,	-6.84547,	-51.0759,	1.62488,	-1.09324,	0.161144
10.711,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	3,	0.0369825,	-0.00719739,	1.24994,	0.176651,	-0.000678146,	-0.984273,	0.604232,	-0.293992,	-39.7317,	0.635318,	-0.819622,	0.0157266
10.712,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	2,	0.0369825,	-0.00719653,	1.24993,	0.176651,	-0.00067805,	-0.984273,	3.48221,	2.49336,	-58.8573,	0.575139,	-0.890909,	-0.00371407
10.714,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368686,	-0.00720031,	1.2499,	0.21801,	-0.000863842,	-0.975,	1.03009,	1.1102,	-39.0231,	0.449717,	-0.759882,	-0.00962706
10.716,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368694,	-0.00720094,	1.2499,	0.216013,	-0.000839082,	-0.975522,	5.51594,	5.70385,	-48.0826,	0.0124982,	-0.405628,	-0.0466084
10.718,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	5,	0.0368448,	-0.00720665,	1.24989,	0.222514,	-0.000815074,	-0.974148,	2.83249,	-9.36811,	-49.5662,	1.91778,	-0.774062,	0.255768
10.72,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368704,	-0.00719404,	1.2499,	0.213094,	-0.000774847,	-0.976274,	5.17218,	2.74639,	-43.4939,	0.312662,	-0.343349,	0.0155406
10.722,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368703,	-0.00719747,	1.2499,	0.211721,	-0.000739777,	-0.976634,	0.43703,	-6.58615,	-54.1873,	1.63984,	-1.17737,	0.156162
10.724,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368747,	-0.00718578,	1.2499,	0.209577,	-0.000749905,	-0.977161,	3.03289,	1.08914,	-45.4312,	0.548853,	-0.653554,	0.0210255
10.726,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368797,	-0.00718883,	1.2499,	0.20816,	-0.000721914,	-0.977525,	2.32999,	-9.23064,	-57.0719,	2.0136,	-1.00541,	0.244748
10.728,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368895,	-0.00717698,	1.2499,	0.207364,	-0.000739716,	-0.977715,	4.78178,	2.25867,	-47.909,	0.440143,	-0.490851,	0.0208074
10.73,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368882,	-0.00718313,	1.2499,	0.206063,	-0.000695977,	-0.978048,	2.62616,	-8.95566,	-60.5836,	2.03241,	-1.04744,	0.242886
10.732,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036893,	-0.00717153,	1.2499,	0.20504,	-0.000713736,	-0.978291,	1.93923,	1.63751,	-50.1979,	0.552349,	-0.897035,	-0.00788432
10.734,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368956,	-0.00717801,	1.2499,	0.204186,	-0.000674249,	-0.978506,	4.31593,	-9.50183,	-61.7814,	2.11892,	-0.862884,	0.280715
10.736,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368966,	-0.00716602,	1.2499,	0.203553,	-0.000751332,	-0.978657,	1.57331,	-5.73741,	-61.8989,	1.64953,	-1.20777,	0.153832
10.738,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036897,	-0.00716602,	1.2499,	0.20478,	-0.000777122,	-0.978362,	10.9709,	-4.1316,	-38.1711,	1.0915,	0.503857,	0.259173
10.741,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036899,	-0.00716475,	1.2499,	0.204733,	-0.000764926,	-0.978395,	-0.870277,	-6.25101,	-54.123,	1.59682,	-1.33674,	0.128612
10.742,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0368999,	-0.0071663,	1.2499,	0.204782,	-0.00079162,	-0.978372,	6.89085,	-3.94843,	-38.7293,	1.07719,	-0.0182858,	0.193516
10.744,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369034,	-0.00716307,	1.24989,	0.204202,	-0.000771682,	-0.97852,	2.2447,	-2.8336,	-33.7052,	0.862182,	-0.484347,	0.0981132
10.746,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369136,	-0.00716731,	1.24988,	0.203214,	-0.000780947,	-0.978737,	-3.39188,	-5.35816,	-51.5698,	1.44717,	-1.59309,	0.0702189
10.748,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369141,	-0.0071662,	1.2499,	0.202455,	-0.000781977,	-0.978919,	7.36857,	-3.49996,	-40.9192,	1.05446,	-0.00774849,	0.190542
10.75,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369221,	-0.00716147,	1.24989,	0.200424,	-0.00075767,	-0.979393,	2.02838,	-2.49309,	-36.8351,	0.867012,	-0.581527,	0.0870832
10.751,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	7,	0.0369722,	-0.00698931,	1.24989,	0.185821,	-0.000712248,	-0.981841,	-2.70519,	-2.76924,	-39.2485,	0.938064,	-1.2268,	0.0218411
10.754,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	7,	0.0369776,	-0.00698939,	1.24988,	0.18469,	-0.000711407,	-0.98209,	4.07754,	-1.68921,	-39.351,	0.804794,	-0.381906,	0.0997767
10.756,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	7,	0.0369831,	-0.00698873,	1.24988,	0.18352,	-0.000707224,	-0.982359,	7.18996,	-0.227321,	-60.8126,	0.946173,	-0.478677,	0.113647
10.758,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369429,	-0.00716721,	1.2499,	0.19473,	-0.000750842,	-0.980686,	8.80311,	-2.98778,	-62.7728,	1.32062,	-0.321068,	0.200479
10.76,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369424,	-0.00716736,	1.2499,	0.194596,	-0.000749355,	-0.98072,	10.2732,	-3.01267,	-62.2868,	1.31639,	-0.126363,	0.223227
10.762,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369398,	-0.00716909,	1.24991,	0.194981,	-0.000750648,	-0.980651,	12.1397,	-1.98895,	-55.2108,	1.08184,	0.266865,	0.228261
10.764,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369312,	-0.00717164,	1.24991,	0.197303,	-0.000761928,	-0.980149,	-3.81947,	-1.54109,	-51.3302,	0.96749,	-1.63925,	-0.0228049
10.766,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369377,	-0.00717202,	1.2499,	0.197061,	-0.000755568,	-0.980188,	8.49613,	-2.34417,	-54.8714,	1.12116,	-0.181255,	0.181339
10.769,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369331,	-0.00717274,	1.24991,	0.198709,	-0.000754779,	-0.979837,	-0.719626,	-2.92493,	-60.1514,	1.27344,	-1.45239,	0.0553792
10.77,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369365,	-0.00717059,	1.24989,	0.196573,	-0.000759745,	-0.980293,	8.78147,	-4.29511,	-64.6736,	1.51283,	-0.367418,	0.229813
10.772,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369328,	-0.00716976,	1.24991,	0.1984,	-0.000744662,	-0.979899,	1.21284,	-3.44796,	-61.987,	1.36609,	-1.25252,	0.0963918
10.774,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369347,	-0.00716751,	1.24989,	0.196549,	-0.000752245,	-0.980296,	6.50456,	-8.73589,	-67.1982,	2.10519,	-0.708951,	0.295937
10.776,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369311,	-0.00716281,	1.2499,	0.195661,	-0.000789939,	-0.980495,	6.4235,	0.902868,	-68.1069,	0.914211,	-0.73928,	0.0764225
10.778,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036926,	-0.00716613,	1.2499,	0.196065,	-0.000762256,	-0.9804,	12.1909,	-2.18491,	-45.6375,	0.960873,	0.489442,	0.23324
10.78,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369305,	-0.00716135,	1.24989,	0.195395,	-0.000747946,	-0.980554,	0.322099,	-4.62806,	-62.2065,	1.51565,	-1.36757,	0.109579
10.782,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.036934,	-0.00715977,	1.24989,	0.194688,	-0.000765602,	-0.980697,	8.27112,	-2.96477,	-47.7948,	1.09059,	-0.0485303,	0.191741
10.784,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369404,	-0.00715398,	1.24989,	0.192912,	-0.000742321,	-0.981083,	5.79329,	-4.98865,	-63.5603,	1.58074,	-0.71399,	0.200112
10.786,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369372,	-0.00715318,	1.2499,	0.19188,	-0.000764918,	-0.9813,	7.11853,	-3.54727,	-51.1815,	1.21419,	-0.268221,	0.187464
10.788,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369455,	-0.00714691,	1.24989,	0.190114,	-0.000737756,	-0.98167,	5.99762,	-5.55997,	-65.8887,	1.68686,	-0.740026,	0.215992
10.79,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369421,	-0.00714719,	1.2499,	0.188989,	-0.000762152,	-0.981903,	6.97174,	-4.01582,	-53.8653,	1.31295,	-0.34628,	0.195749
10.793,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369507,	-0.0071406,	1.24988,	0.187188,	-0.000728674,	-0.982269,	6.03058,	-6.12001,	-68.1598,	1.79067,	-0.786011,	0.229007
10.794,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369471,	-0.00714164,	1.2499,	0.18609,	-0.000755478,	-0.98249,	6.53976,	-4.37017,	-56.2294,	1.39257,	-0.452627,	0.197141
10.796,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	6,	0.0369557,	-0.00713452,	1.24988,	0.184335,	-0.000721589,	-0.982836,	5.61226,	-4.35137,	-70.8574,	1.61004,	-0.897916,	0.182663
