trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones
0,1,4.7734e-05,inf,2.6947e-05,0,1.9632e-05,1,0,1,2
0,53,0.118661,inf,0.000306801,0.11759,0.000702918,1,23,53,13
0,134,0.200221,inf,0.000731787,0.196922,0.0024352,1,38,134,23
0,266,0.311934,inf,0.00143664,0.303671,0.00658227,1,67,266,42
0,343,0.407912,1.65888,0.00183352,0.395865,0.0098967,1,95,343,56
0,395,0.453274,1.65888,0.00201599,0.439605,0.011254,1,134,395,64
0,438,0.503992,1.65888,0.00216342,0.488832,0.0125224,1,172,438,72
0,502,0.52872,1.65888,0.00237052,0.511323,0.0144476,1,216,502,82
0,550,0.569953,1.65888,0.00250603,0.550846,0.0159358,1,233,550,90
0,600,0.623551,1.65888,0.00268657,0.601615,0.0184984,1,294,600,105
0,652,0.653179,1.65888,0.00286865,0.628554,0.0209228,1,306,652,113
0,719,0.679123,1.65888,0.00310617,0.651275,0.0238104,1,319,719,120
0,779,0.709771,1.65888,0.00328748,0.679105,0.0263503,1,334,779,128
0,843,0.732528,1.65888,0.00349305,0.698848,0.0290599,1,343,843,134
0,885,0.781955,1.65888,0.00362778,0.745734,0.0313916,1,359,885,143
0,934,0.829235,1.65888,0.00377906,0.790144,0.0340277,1,378,934,152
0,1000,0.850656,1.65888,0.00396037,0.80815,0.0371439,1,389,1000,161
0,1060,0.878144,1.65888,0.0041694,0.83166,0.0408206,1,400,1060,169
0,1119,0.905642,1.65888,0.00436573,0.854503,0.0451801,1,422,1119,181
0,1185,0.928095,1.65888,0.00454203,0.873245,0.0486077,1,431,1185,188
0,1250,0.970607,1.50156,0.00473027,0.911109,0.0529538,1,452,1250,198
0,1322,1.00091,1.50156,0.00497972,0.93567,0.058322,1,471,1322,209
0,1396,1.04088,1.50156,0.00521531,0.969687,0.0639149,1,493,1396,221
0,1482,1.07776,1.50156,0.0055098,0.998881,0.0711728,1,515,1482,236
0,1567,1.09969,1.50156,0.00579043,1.01348,0.0780726,1,532,1567,249
0,1641,1.13529,1.50156,0.00607298,1.04107,0.0856716,1,553,1641,263
0,1725,1.16175,1.50156,0.00628586,1.06059,0.0922365,1,571,1725,275
0,1798,1.19923,1.50156,0.00659574,1.0881,0.101769,1,593,1798,290
0,1883,1.23148,1.50156,0.006891,1.11054,0.111148,1,610,1883,305
0,1957,1.2653,1.50156,0.00710349,1.13707,0.118099,1,628,1957,316
0,2031,1.30276,1.50156,0.0073976,1.16477,0.12744,1,646,2031,326
0,2102,1.34346,1.50156,0.00767938,1.19534,0.137184,1,663,2102,338
0,2174,1.38591,1.50156,0.00794885,1.22681,0.147768,1,686,2174,351
0,2232,1.43794,1.50156,0.00814825,1.27128,0.155031,1,704,2232,359
0,2308,1.47295,1.50156,0.00846083,1.2934,0.167486,1,731,2308,375
0,2399,1.49734,1.50156,0.00876302,1.30612,0.178697,1,744,2399,386
0,2480,1.52894,1.50156,0.00897859,1.32765,0.188406,1,759,2480,399
0,2564,1.55717,1.50156,0.00928155,1.34334,0.200512,1,782,2564,411
0,2651,1.5851,1.50156,0.0095233,1.36109,0.210297,1,797,2651,420
0,2726,1.61785,1.50156,0.00974118,1.38444,0.219341,1,810,2726,429
0,2796,1.65814,1.50156,0.00998485,1.41549,0.228211,1,829,2796,437
0,2853,1.71026,1.50156,0.0101408,1.45986,0.235704,1,855,2853,446
0,2937,1.73868,1.50156,0.0103737,1.47768,0.245926,1,870,2937,455
0,3018,1.76973,1.50156,0.0106454,1.49626,0.257983,1,883,3018,465
0,3100,1.79996,1.50156,0.0108818,1.51613,0.267962,1,894,3100,472
0,3190,1.82316,1.50156,0.0110831,1.5306,0.276336,1,904,3190,478
0,3263,1.86021,1.50156,0.0114169,1.55271,0.290813,1,920,3263,490
0,3327,1.91166,1.50156,0.0115943,1.5937,0.300979,1,942,3327,501
0,3417,1.93488,1.50156,0.0118965,1.60337,0.314069,1,952,3417,510
0,3497,1.96586,1.50156,0.0121302,1.62211,0.325934,1,975,3497,521
0,3567,2.00692,1.50156,0.0124193,1.64547,0.343224,1,1004,3567,541
0,3655,2.03206,1.50156,0.01275,1.6549,0.358401,1,1012,3655,548
0,3730,2.06808,1.50156,0.0129855,1.67668,0.372269,1,1037,3730,561
0,3816,2.09456,1.50156,0.0132219,1.69053,0.384522,1,1047,3816,569
0,3904,2.12022,1.50156,0.013486,1.70084,0.399457,1,1059,3904,580
0,3980,2.15702,1.50156,0.0137212,1.72394,0.412801,1,1073,3980,589
0,4056,2.19245,1.50156,0.0139726,1.74332,0.428469,1,1089,4056,601
0,4125,2.23351,1.50156,0.0142286,1.76687,0.445607,1,1111,4125,616
0,4208,2.26315,1.50156,0.0144357,1.78279,0.458973,1,1125,4208,627
0,4292,2.29341,1.50156,0.0147305,1.79478,0.476797,1,1142,4292,639
0,4370,2.32617,1.50156,0.0149784,1.81069,0.493264,1,1155,4370,650
0,4458,2.35257,1.50156,0.015224,1.82093,0.509026,1,1166,4458,660
0,4536,2.38398,1.50156,0.0155193,1.83386,0.527091,1,1176,4536,668
0,4616,2.41499,1.50156,0.0157984,1.84619,0.545343,1,1188,4616,679
0,4698,2.44357,1.50156,0.0159947,1.86056,0.559204,1,1201,4698,689
0,4772,2.48358,1.50156,0.0162322,1.88254,0.576866,1,1234,4772,702
0,4852,2.50794,1.50156,0.0164574,1.89296,0.590443,1,1242,4852,707
0,4924,2.54426,1.50156,0.0167307,1.90883,0.610492,1,1257,4924,720
0,4995,2.58293,1.50156,0.0169937,1.92778,0.629829,1,1273,4995,733
0,5072,2.61849,1.50156,0.0172462,1.9455,0.64728,1,1286,5072,742
0,5149,2.65501,1.50156,0.017523,1.95978,0.669121,1,1301,5149,755
0,5230,2.68277,1.50156,0.0177713,1.97006,0.686221,1,1311,5230,762
0,5302,2.72048,1.50156,0.0179884,1.99064,0.703002,1,1327,5302,772
0,5374,2.75785,1.50156,0.0182232,2.00809,0.722561,1,1347,5374,785
0,5452,2.79301,1.50156,0.0184715,2.02377,0.741654,1,1361,5452,796
0,5529,2.82606,1.50156,0.0186963,2.03914,0.758965,1,1375,5529,806
0,5594,2.867,1.50156,0.0189569,2.05935,0.779267,1,1391,5594,818
0,5652,2.9115,1.50156,0.0192603,2.07962,0.803098,1,1408,5652,832
0,5721,2.95099,1.50156,0.0195374,2.09609,0.825729,1,1426,5721,843
0,5795,2.98565,1.50156,0.0197341,2.11441,0.841731,1,1439,5795,852
0,5874,3.01793,1.50156,0.0199801,2.12499,0.863038,1,1452,5874,865
0,5961,3.04348,1.50156,0.0202211,2.1315,0.881688,1,1460,5961,872
0,6036,3.07845,1.50156,0.0204709,2.14652,0.901245,1,1472,6036,880
0,6118,3.10736,1.50156,0.0207323,2.15397,0.922298,1,1481,6118,889
0,6188,3.14699,1.50156,0.0209945,2.16873,0.94678,1,1505,6188,904
0,6273,3.17395,1.50156,0.0212547,2.17546,0.9666,1,1512,6273,910
0,6343,3.21601,1.50156,0.0215534,2.19053,0.993161,1,1528,6343,923
0,6411,3.25833,1.50156,0.0217601,2.21121,1.01448,1,1545,6411,937
0,6483,3.29841,1.50156,0.0219957,2.22765,1.03775,1,1562,6483,950
0,6544,3.34676,1.50156,0.0222098,2.25423,1.05921,1,1604,6544,962
0,6608,3.38967,1.50156,0.0224415,2.27575,1.08025,1,1623,6608,970
0,6673,3.43187,1.50156,0.0227321,2.29255,1.10525,1,1638,6673,980
0,6744,3.4716,1.50156,0.0229269,2.31281,1.12439,1,1656,6744,989
0,6824,3.50209,1.50156,0.0231725,2.32038,1.14692,1,1667,6824,999
0,6896,3.53951,1.50156,0.0233977,2.33611,1.16826,1,1679,6896,1008
0,6976,3.57203,1.50156,0.0236522,2.34426,1.19224,1,1689,6976,1017
0,7048,3.6085,1.50156,0.0238423,2.361,1.21165,1,1702,7048,1026
0,7116,3.64874,1.50156,0.0240152,2.38474,1.22784,1,1720,7116,1033
0,7194,3.6812,1.50156,0.0242592,2.39389,1.25077,1,1731,7194,1043
1,1,0.0128189,1.50156,2.4637e-05,0.0127619,2.9641e-05,1,1,1,3
1,43,0.105403,1.50156,0.000249828,0.104523,0.000578965,1,19,43,12
1,103,0.214425,1.50156,0.000613606,0.21186,0.00184507,1,38,103,23
1,169,0.326715,1.50156,0.000986237,0.321729,0.00383604,1,55,169,33
1,269,0.432544,1.50156,0.00156482,0.422932,0.00780143,1,78,269,49
1,429,0.539516,1.50156,0.00244328,0.520526,0.0161606,1,108,429,70
1,604,0.639877,1.50156,0.0033945,0.606604,0.0293394,1,146,604,99
1,751,0.7412,1.50156,0.00421213,0.692397,0.0438933,1,183,751,125
1,959,0.841022,1.50156,0.00537969,0.767768,0.0669499,1,223,959,152
1,1088,0.942258,1.50156,0.00609262,0.850402,0.0847092,1,266,1088,183
1,1293,1.04376,1.50156,0.00725132,0.918971,0.116322,1,302,1293,208
1,1408,1.14378,1.50156,0.00789342,0.996708,0.137866,1,346,1408,234
1,1575,1.24352,1.50156,0.00892509,1.06228,0.170825,1,399,1575,270
1,1680,1.34472,1.95491,0.00952792,1.14103,0.192569,1,448,1680,289
1,1727,1.37346,1.95491,0.00977121,1.16252,0.199493,1,517,1727,299
1,1762,1.42153,1.95491,0.00993365,1.20552,0.20435,1,605,1762,305
1,1795,1.47839,1.95491,0.0100926,1.25624,0.210281,1,715,1795,316
1,1833,1.52018,1.95491,0.0102382,1.29136,0.216734,1,770,1833,330
1,1868,1.568,1.95491,0.0104064,1.33237,0.223257,1,836,1868,340
1,1915,1.59709,1.95491,0.0106208,1.35359,0.230833,1,863,1915,349
