trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones
0,5123,1.49003,1.38243,0.0196729,0.233928,1.01908,0.209156,1,224,173,5123,957
0,5200,1.51821,1.38243,0.0199605,0.234952,1.04582,0.209156,1,224,173,5200,969
0,5282,1.54158,1.38243,0.0202003,0.235893,1.06788,0.209156,1,224,173,5282,978
0,5360,1.56836,1.38243,0.0204963,0.236955,1.09316,0.209156,1,224,173,5360,990
0,5441,1.59251,1.38243,0.0207454,0.237705,1.11618,0.209156,1,224,173,5441,998
0,5521,1.61602,1.38243,0.0209717,0.238676,1.13835,0.209156,1,224,173,5521,1007
0,5594,1.64692,1.38243,0.0212658,0.239904,1.16761,0.209156,1,224,173,5594,1021
0,5673,1.67118,1.38243,0.0215257,0.243142,1.18824,0.209156,1,224,173,5673,1028
0,5752,1.695,1.38243,0.0217882,0.243767,1.21104,0.209156,1,224,173,5752,1036
0,5827,1.7252,1.38243,0.0220665,0.244879,1.23973,0.209156,1,224,173,5827,1049
0,5905,1.7519,1.38243,0.0223144,0.245872,1.26506,0.209156,1,224,173,5905,1060
0,5981,1.78038,1.38243,0.0225623,0.247193,1.29184,0.209156,1,224,173,5981,1073
0,6062,1.80421,1.38243,0.0227814,0.248002,1.3145,0.209156,1,224,173,6062,1083
0,6132,1.83985,1.38243,0.0230805,0.250158,1.34758,0.209156,1,224,173,6132,1099
0,6205,1.8697,1.38243,0.0233399,0.251373,1.37584,0.209156,1,224,173,6205,1112
0,6282,1.89616,1.38243,0.0235528,0.252666,1.40065,0.209156,1,224,173,6282,1125
0,6353,1.93017,1.38243,0.0237561,0.258899,1.42121,0.216046,1,226,174,6353,1132
0,6428,1.95731,1.38243,0.0240044,0.259728,1.44715,0.216046,1,226,174,6428,1141
0,6507,1.98214,1.38243,0.0242423,0.260269,1.47107,0.216046,1,226,174,6507,1148
0,6584,2.00837,1.38243,0.0244983,0.260813,1.49636,0.216046,1,226,174,6584,1155
0,6665,2.03347,1.38243,0.0247111,0.261704,1.52022,0.216046,1,226,174,6665,1165
0,6741,2.0599,1.38243,0.0250264,0.26229,1.54562,0.216046,1,226,174,6741,1171
0,6821,2.08615,1.38243,0.0252474,0.263081,1.57072,0.216046,1,226,174,6821,1181
0,6885,2.12503,1.38243,0.0254656,0.269597,1.59528,0.223514,1,228,175,6885,1191
0,6962,2.15304,1.38243,0.0256951,0.270587,1.62195,0.223514,1,228,175,6962,1202
0,7041,2.17987,1.38243,0.0259499,0.271079,1.6479,0.223514,1,228,175,7041,1208
0,7112,2.21234,1.38243,0.0261932,0.272548,1.67852,0.223514,1,228,175,7112,1222
0,7185,2.24388,1.38243,0.0264588,0.273448,1.70878,0.223514,1,228,175,7185,1232
0,7261,2.27303,1.38243,0.0267217,0.274334,1.73666,0.223514,1,228,175,7261,1240
0,7337,2.30057,1.38243,0.0269454,0.275183,1.763,0.223514,1,228,175,7337,1249
0,7411,2.33064,1.38243,0.0271729,0.276223,1.79167,0.223514,1,228,175,7411,1261
0,7482,2.3648,1.38243,0.0274439,0.2772,1.82446,0.223514,1,228,175,7482,1272
0,7561,2.39188,1.38243,0.0276599,0.278198,1.8502,0.223514,1,231,178,7561,1281
0,7636,2.42088,1.38243,0.0278854,0.279056,1.87799,0.223514,1,231,178,7636,1291
0,7709,2.45001,1.38243,0.0281222,0.279799,1.90601,0.223514,1,231,178,7709,1299
0,7781,2.48206,1.38243,0.0283555,0.280988,1.93652,0.223514,1,231,178,7781,1311
0,7855,2.51163,1.38243,0.0285884,0.281928,1.96478,0.223514,1,231,178,7855,1319
0,7935,2.53515,1.38243,0.0288043,0.282286,1.98759,0.223514,1,231,178,7935,1323
0,8013,2.56171,1.38243,0.0290184,0.28296,2.01312,0.223514,1,231,178,8013,1331
0,8086,2.59488,1.38243,0.0292605,0.284213,2.04467,0.223514,1,231,178,8086,1343
0,8155,2.63252,1.38243,0.0295338,0.286359,2.07978,0.223514,1,231,178,8155,1355
0,8225,2.66617,1.38243,0.0297759,0.287319,2.1121,0.223514,1,231,178,8225,1367
0,8294,2.70025,1.38243,0.0300165,0.288265,2.1449,0.223514,1,231,178,8294,1378
1,1,3.4261e-05,1.38243,1.6938e-05,0,1.6553e-05,0,1,0,0,1,2
1,153,0.111952,1.91387,0.000845356,0.0559033,0.00532964,0.0497129,1,63,55,153,62
1,203,0.141793,1.79841,0.00115563,0.0668021,0.00780256,0.0658047,1,75,64,203,75
1,262,0.156959,1.77828,0.00150824,0.0746724,0.0117718,0.0686937,1,87,75,262,94
1,329,0.162973,1.77828,0.00188819,0.0756579,0.0163269,0.0686937,1,87,75,329,110
1,394,0.170721,1.77828,0.00222617,0.0775618,0.0217316,0.0686937,1,90,78,394,134
1,454,0.186391,1.75741,0.0025195,0.0814675,0.02601,0.0758022,1,92,79,454,144
1,513,0.202627,1.75741,0.00279282,0.0893263,0.0307133,0.079114,1,94,80,513,156
1,563,0.237244,1.73698,0.00305381,0.107366,0.0363771,0.0896905,1,103,85,563,174
1,610,0.274842,1.73698,0.00326246,0.13137,0.0412648,0.098114,1,112,92,610,188
1,676,0.291803,1.70627,0.00360737,0.135881,0.0488918,0.102499,1,114,93,676,204
1,732,0.323043,1.70627,0.00390533,0.149494,0.0569011,0.111739,1,130,107,732,221
1,806,0.332752,1.70627,0.00424909,0.150288,0.0653654,0.111739,1,130,107,806,235
1,858,0.366188,1.70627,0.00446582,0.169797,0.0700241,0.120711,1,137,112,858,239
1,929,0.37758,1.70627,0.00481343,0.171429,0.0793314,0.120711,1,141,116,929,255
1,994,0.396474,1.67688,0.0051237,0.176592,0.0883331,0.125031,1,145,119,994,271
1,1066,0.408013,1.67688,0.00540894,0.17869,0.0973718,0.125031,1,157,131,1066,286
1,1118,0.449139,1.67688,0.00563607,0.183124,0.104186,0.154606,1,180,147,1118,296
1,1188,0.462135,1.67688,0.00597829,0.184414,0.115408,0.154606,1,180,147,1188,312
1,1258,0.476816,1.67688,0.00632243,0.185969,0.128088,0.154606,1,182,149,1258,332
1,1328,0.490996,1.67688,0.00665349,0.187219,0.140574,0.154606,1,182,149,1328,351
1,1399,0.504249,1.67688,0.00696106,0.188275,0.15234,0.154606,1,182,149,1399,366
1,1465,0.520862,1.67688,0.0073079,0.189879,0.166897,0.154606,1,186,153,1465,385
1,1533,0.534935,1.67688,0.00764704,0.190724,0.179685,0.154606,1,186,153,1533,398
1,1601,0.551354,1.67688,0.00800004,0.191827,0.194548,0.154606,1,186,153,1601,415
1,1668,0.568714,1.67688,0.00832302,0.193233,0.210072,0.154606,1,186,153,1668,434
1,1736,0.585764,1.67688,0.00864022,0.194435,0.225497,0.154606,1,186,153,1736,451
1,1799,0.609223,1.67483,0.00894972,0.198913,0.240052,0.158632,1,188,154,1799,465
1,1865,0.62678,1.67483,0.00928501,0.200122,0.255964,0.158632,1,191,157,1865,480
1,1934,0.642607,1.67483,0.00957219,0.201034,0.270485,0.158632,1,191,157,1934,494
1,2000,0.660558,1.67483,0.00987669,0.202146,0.28692,0.158632,1,191,157,2000,510
1,2032,0.730358,1.54756,0.0100445,0.232204,0.296056,0.189026,1,207,161,2032,519
1,2107,0.776233,1.54756,0.010369,0.249152,0.314826,0.198732,1,217,168,2107,537
1,2190,0.798742,1.54756,0.0107228,0.251289,0.334702,0.198732,1,217,168,2190,553
1,2247,0.856321,1.52017,0.0109653,0.271133,0.347128,0.22371,1,240,180,2247,560
1,2329,0.895142,1.52017,0.0113203,0.279323,0.369515,0.231463,1,245,182,2329,581
1,2418,0.935838,1.52017,0.0116001,0.29549,0.38615,0.238923,1,258,192,2418,593
1,2520,0.960838,1.52017,0.0120109,0.296592,0.40948,0.238923,1,258,192,2520,607
1,2614,0.991407,1.52017,0.0124593,0.298253,0.437801,0.238923,1,258,192,2614,628
1,2695,1.0314,1.52017,0.0127842,0.306978,0.46094,0.246588,1,264,195,2695,647
1,2791,1.06905,1.38691,0.0130572,0.325536,0.478649,0.247493,1,270,201,2791,660
1,2898,1.10197,1.37361,0.0134025,0.332178,0.500766,0.251137,1,272,202,2898,673
1,3000,1.12955,1.37361,0.0137327,0.335872,0.524145,0.251137,1,272,202,3000,690
1,3103,1.15327,1.37361,0.0140557,0.337202,0.54602,0.251137,1,272,202,3103,703
1,3206,1.17856,1.37361,0.0143906,0.338605,0.569395,0.251137,1,272,202,3206,717
1,3310,1.20342,1.37361,0.0147132,0.339873,0.592491,0.251137,1,272,202,3310,732
1,3418,1.22657,1.37361,0.0150196,0.341089,0.613934,0.251137,1,272,202,3418,743
1,3524,1.25193,1.37361,0.0153107,0.342466,0.637439,0.251137,1,272,202,3524,760
1,3622,1.27998,1.37361,0.015639,0.344123,0.663324,0.251137,1,272,202,3622,778
1,3767,1.31122,1.32751,0.0159458,0.348777,0.687307,0.25317,1,275,204,3767,792
1,3919,1.34455,1.32751,0.0163523,0.350273,0.718475,0.25317,1,279,208,3919,808
1,4061,1.37949,1.32751,0.0167704,0.351541,0.751504,0.25317,1,282,211,4061,823
1,4202,1.41721,1.32751,0.0171784,0.353446,0.786668,0.25317,1,282,211,4202,844
1,4346,1.45026,1.32751,0.0175934,0.354475,0.818033,0.25317,1,282,211,4346,855
1,4493,1.48409,1.32751,0.017968,0.355999,0.849712,0.25317,1,282,211,4493,871
1,4626,1.52344,1.32751,0.0183887,0.357792,0.886624,0.25317,1,283,212,4626,890
1,4753,1.5656,1.32751,0.0188969,0.360347,0.925512,0.25317,1,283,212,4753,911
