trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,numComponents,numEdgeChecks,numIters,numMilestones
0,494,8.64432,1.49929,0.00250988,8.63442,0.00642174,1,1623,494,122
0,511,8.70819,1.49929,0.00255223,8.69812,0.00651105,1,1640,511,123
0,519,8.79358,1.49929,0.00259842,8.7833,0.00667273,1,1665,519,125
1,1,2.9641e-05,1.49929,2.8486e-05,0,0,1,0,1,2
1,12,0.131898,1.49929,9.6625e-05,0.131738,5.3892e-05,1,18,12,8
1,18,0.36222,1.49929,0.00013666,0.361949,0.000118178,1,48,18,12
1,30,0.428306,1.49929,0.000210955,0.427882,0.000189395,1,70,30,17
1,34,0.558889,1.49929,0.000239056,0.558369,0.000251372,1,93,34,20
1,42,0.714927,1.49929,0.000287947,0.714269,0.000334521,1,116,42,24
1,47,0.847595,1.49929,0.000322978,0.846818,0.000413051,1,142,47,27
1,58,0.958216,1.49929,0.000383415,0.957269,0.000513524,1,171,58,31
1,63,1.13217,1.75009,0.000408051,1.13113,0.000580891,1,199,63,33
1,65,1.25108,1.75009,0.00041729,1.24998,0.000618616,1,214,65,34
1,70,1.44904,1.75009,0.000448857,1.44783,0.000698301,1,244,70,36
1,75,1.56403,1.75009,0.000458096,1.56276,0.000736411,1,257,75,37
1,86,1.74108,1.75009,0.000509679,1.73966,0.000818406,1,289,86,39
1,96,1.88372,1.75009,0.000573967,1.88209,0.000948135,1,312,96,43
1,100,2.07795,1.75009,0.000608613,2.07619,0.00103205,1,339,100,45
1,105,2.18775,1.75009,0.000624396,2.18593,0.00107363,1,352,105,46
1,116,2.3828,1.61803,0.000687143,2.38082,0.00116063,1,379,116,48
1,120,2.49666,1.61803,0.000711395,2.4946,0.00120721,1,396,120,49
1,134,2.68399,1.61803,0.000787231,2.68169,0.00134733,1,437,134,52
1,137,2.87159,1.61803,0.000813408,2.86916,0.00145742,1,471,137,54
1,143,2.99421,1.61803,0.000838815,2.99169,0.00151209,1,488,143,55
1,147,3.23937,1.61803,0.000871921,3.23665,0.00167145,1,530,147,58
1,148,3.23938,1.61803,0.00088116,3.23665,0.00167145,1,530,148,58
1,163,3.45252,1.61803,0.000942754,3.4496,0.00177693,1,557,163,60
1,169,3.53848,1.61803,0.000980479,3.53543,0.00186624,1,577,169,62
1,181,3.66753,1.61803,0.00105747,3.66432,0.00193284,1,595,181,63
1,190,3.89426,1.61803,0.00109519,3.89089,0.00205063,1,632,190,65
1,199,3.98943,1.61803,0.00114562,3.98593,0.00211415,1,651,199,66
1,215,4.16441,1.61803,0.00124456,4.16068,0.0022254,1,678,215,68
1,219,4.29934,1.61803,0.00126958,4.29551,0.00229315,1,697,219,69
1,223,4.52117,1.61803,0.00129614,4.51719,0.00241094,1,731,223,71
1,225,4.52118,1.61803,0.00130422,4.51719,0.00241094,1,731,225,71
1,240,4.67094,1.61803,0.00136582,4.66674,0.0025399,1,769,240,73
1,242,4.83851,1.61803,0.00138468,4.83423,0.00259841,1,787,242,74
1,247,4.93125,1.61803,0.00140893,4.92687,0.00266963,1,806,247,75
1,262,5.04626,1.61803,0.00147822,5.04162,0.00282784,1,836,262,78
1,266,5.1477,1.61803,0.00150286,5.14297,0.00289867,1,856,266,79
1,273,5.23697,1.61803,0.00155829,5.23211,0.00296604,1,876,273,80
1,289,5.37772,1.61803,0.00162682,5.37265,0.00308961,1,912,289,82
1,302,5.37929,1.61803,0.00166031,5.37411,0.00313734,1,913,302,83
1,309,5.58218,1.61803,0.00171574,5.57674,0.00333713,1,956,309,86
1,314,5.67131,1.61803,0.00175924,5.66569,0.00347225,1,981,314,88
1,318,5.79491,1.61803,0.00177579,5.78918,0.00355039,1,1001,318,89
1,325,5.92939,1.61803,0.00180005,5.92354,0.0036347,1,1021,325,90
1,331,6.0996,1.61803,0.001837,6.09355,0.00379445,1,1062,331,92
1,348,6.27296,1.61803,0.00190167,6.26673,0.00388646,1,1083,348,93
1,353,6.39612,1.61803,0.00192708,6.38976,0.00397615,1,1104,353,94
1,356,6.49597,1.61803,0.00195364,6.48951,0.00405237,1,1125,356,95
1,360,6.67743,1.61803,0.00198944,6.67075,0.00423099,1,1167,360,97
1,363,6.76364,1.61803,0.00200946,6.75685,0.00432107,1,1188,363,98
1,379,6.82154,1.61803,0.00210801,6.81456,0.00438805,1,1201,379,99
1,391,6.97347,1.61803,0.00215651,6.96633,0.00448082,1,1222,391,100
1,409,7.12632,1.61803,0.00225005,7.11884,0.00470948,1,1250,409,103
1,411,7.27002,1.61803,0.00226815,7.26242,0.00479879,1,1271,411,104
1,424,7.38301,1.61803,0.00228816,7.37527,0.00490003,1,1292,424,105
1,431,7.5424,1.61803,0.00231242,7.53446,0.00506556,1,1334,431,107
1,433,7.68667,1.61803,0.00233012,7.67862,0.0051541,1,1356,433,108
1,436,7.78625,1.61803,0.00233936,7.77809,0.00524379,1,1378,436,109
1,443,7.96087,1.61803,0.00236554,7.95259,0.0053281,1,1400,443,110
1,452,8.05752,1.61803,0.00241212,8.04909,0.00542087,1,1422,452,111
1,457,8.1701,1.61803,0.00244253,8.16154,0.00550594,1,1444,457,112
1,462,8.39931,1.61803,0.00247833,8.39043,0.00578311,1,1491,462,115
1,463,8.39932,1.61803,0.00248795,8.39043,0.00578311,1,1491,463,115
1,484,8.43671,1.5629,0.00257418,8.42752,0.00597173,1,1533,484,117
1,486,8.56338,1.5629,0.00258265,8.55408,0.0060699,1,1555,486,118
1,489,8.66619,1.5629,0.00260036,8.65677,0.00616113,1,1577,489,119
1,497,8.90443,1.5629,0.00265502,8.89476,0.00635437,1,1621,497,121
1,498,9.00994,1.5629,0.00266464,9.00016,0.00644907,1,1643,498,122
1,499,9.00994,1.5629,0.00266464,9.00016,0.00644907,1,1643,499,122
2,1,2.8487e-05,1.5629,2.6947e-05,0,0,1,0,1,2
2,21,0.100256,1.5629,0.000151669,0.100025,6.5057e-05,1,17,21,10
2,27,0.217884,1.5629,0.00018747,0.217581,9.5853e-05,1,32,27,12
2,33,0.419135,1.5629,0.000224425,0.418731,0.000153981,1,61,33,15
2,39,0.546158,1.5629,0.000259456,0.545691,0.000177848,1,74,39,16
2,62,0.701676,1.5629,0.000391114,0.700982,0.000259842,1,103,62,20
2,67,0.905111,1.5629,0.000426529,0.904288,0.00034761,1,131,67,24
2,70,1.10155,1.5629,0.000446931,1.10064,0.000405737,1,157,70,26
2,74,1.25286,1.5629,0.000475033,1.25187,0.000460015,1,177,74,28
2,77,1.49186,1.5629,0.000498129,1.49074,0.000563568,1,215,77,31
2,84,1.61918,1.5629,0.000539704,1.61795,0.000620155,1,233,84,33
2,96,1.82919,1.5629,0.000614383,1.82775,0.000751423,1,280,96,37
2,101,2.0664,1.5629,0.000647489,2.06484,0.000837652,1,312,101,39
2,102,2.14317,1.5629,0.000656728,2.14156,0.000877302,1,328,102,40
2,104,2.22726,1.5629,0.000672896,2.22558,0.000918107,1,344,104,41
2,106,2.33578,1.5629,0.000689064,2.33404,0.000964301,1,360,106,42
2,110,2.62348,1.5629,0.00071832,2.62154,0.00113176,1,412,110,46
2,111,2.73163,1.5629,0.000726789,2.72964,0.00117333,1,428,111,47
2,112,2.73164,1.5629,0.000734103,2.72964,0.00117333,1,428,112,47
2,120,2.89243,1.5629,0.000786458,2.89028,0.00126302,1,460,120,49
2,122,3.01357,1.5629,0.000802241,3.01135,0.00132038,1,477,122,50
2,125,3.16399,1.5629,0.000824568,3.16165,0.00140931,1,500,125,52
2,127,3.43,1.5629,0.000842661,3.42753,0.00151671,1,534,127,54
2,128,3.49062,1.5629,0.00085113,3.4881,0.00155982,1,545,128,55
2,138,3.58348,1.5629,0.000909642,3.58084,0.0016141,1,562,138,56
2,148,3.72625,1.5629,0.00097085,3.72345,0.00170803,1,584,148,58
2,156,4.10437,1.5629,0.00102706,4.10133,0.00188472,1,636,156,61
2,157,4.10438,1.5629,0.00103629,4.10133,0.00188472,1,636,157,61
2,161,4.26709,1.5629,0.00106786,4.26389,0.00199251,1,667,161,63
2,165,4.37153,1.5629,0.00109904,4.36818,0.00210722,1,703,165,65
2,174,4.60679,1.5629,0.00116256,4.60324,0.00223387,1,739,174,67
2,175,4.6068,1.5629,0.00117219,4.60324,0.00223387,1,739,175,67
2,185,4.78703,1.5629,0.00124302,4.78328,0.00235706,1,775,185,69
2,189,5.05313,1.5629,0.00127304,5.0492,0.00249217,1,812,189,71
2,190,5.05314,1.5629,0.00128036,5.0492,0.00249217,1,812,190,71
2,196,5.15542,1.5629,0.00132694,5.15138,0.00254799,1,828,196,72
2,201,5.39134,1.72689,0.00136889,5.38711,0.00269466,1,866,201,74
2,202,5.39135,1.72689,0.00136889,5.38711,0.00269466,1,866,202,74
2,210,5.63745,1.72689,0.00141124,5.63302,0.00282862,1,900,210,76
2,211,5.63746,1.72689,0.00142163,5.63302,0.00282862,1,900,211,76
2,217,5.74869,1.72689,0.0014378,5.74415,0.0029033,1,919,217,77
2,228,5.85032,1.72689,0.00146937,5.84562,0.00301186,1,938,228,79
2,231,5.96893,1.72689,0.00148592,5.96413,0.00308962,1,957,231,80
2,246,6.1644,1.72689,0.00156714,6.15932,0.00326824,1,985,246,83
2,251,6.2973,1.72689,0.00165453,6.29205,0.00334561,1,1005,251,84
2,255,6.46389,1.72689,0.00167993,6.45844,0.00351037,1,1045,255,86
2,257,6.56513,1.72689,0.0016988,6.55958,0.00358775,1,1065,257,87
2,271,6.73346,1.72689,0.00175923,6.7277,0.00371824,1,1092,271,89
2,276,6.86525,1.72689,0.00177656,6.85932,0.00385836,1,1113,276,91
2,290,6.99546,1.72689,0.00185894,6.98934,0.00394806,1,1133,290,92
2,300,7.12695,1.72689,0.00190051,7.1207,0.00402582,1,1152,300,93
2,303,7.29767,1.72689,0.00191861,7.29132,0.00410396,1,1172,303,94
2,307,7.55416,1.72689,0.00195364,7.54758,0.00428759,1,1212,307,96
2,308,7.69167,1.72689,0.0019648,7.68499,0.00438344,1,1232,308,97
2,309,7.69168,1.72689,0.00197404,7.68499,0.00438344,1,1232,309,97
2,312,7.79592,1.72689,0.00198289,7.78913,0.00446389,1,1252,312,98
2,316,7.9221,1.72689,0.00199983,7.9152,0.00454589,1,1272,316,99
2,324,8.05121,1.72689,0.00204795,8.04409,0.00470102,1,1296,324,101
2,326,8.16479,1.726,0.00206643,8.15757,0.00478725,1,1316,326,102
2,333,8.28091,1.726,0.00209299,8.27355,0.00487695,1,1337,333,103
2,338,8.39037,1.726,0.00212725,8.38288,0.00497434,1,1358,338,104
2,340,8.51638,1.726,0.00213649,8.50878,0.00506981,1,1379,340,105
2,347,8.62067,1.726,0.00216228,8.61293,0.00517105,1,1400,347,106
2,351,8.72014,1.726,0.00217845,8.71229,0.00525882,1,1421,351,107
2,373,8.84894,1.726,0.00230202,8.84084,0.0053589,1,1442,373,108
2,386,8.96741,1.726,0.00238209,8.95906,0.00551442,1,1468,386,110
2,389,9.06965,1.726,0.00239979,9.06119,0.00560412,1,1489,389,111
2,403,9.16707,1.726,0.00246254,9.15836,0.00576041,1,1512,403,113
2,405,9.2715,1.726,0.00247409,9.26267,0.00587204,1,1533,405,114
3,1,2.9641e-05,1.726,2.8486e-05,0,0,1,0,1,2
3,15,0.110027,1.726,0.000111634,0.109855,4.9274e-05,1,15,15,8
3,29,0.262227,1.726,0.000193627,0.261914,9.6623e-05,1,32,29,12
3,42,0.410407,1.726,0.000269461,0.409935,0.000170535,1,56,42,17
3,51,0.572094,1.726,0.000323353,0.571496,0.000233667,1,83,51,20
3,56,0.672073,1.726,0.000355304,0.671397,0.000275242,1,99,56,22
3,58,0.775894,1.726,0.000368392,0.775174,0.000304883,1,113,58,23
3,63,1.05429,1.726,0.000399188,1.05345,0.000395732,1,155,63,26
3,66,1.09694,1.726,0.000419206,1.09604,0.000418059,1,160,66,27
3,68,1.20578,2.0602,0.000436914,1.20483,0.000454245,1,175,68,28
3,71,1.3485,2.0602,0.000454622,1.34747,0.000510448,1,194,71,30
3,80,1.5804,2.0602,0.000526608,1.57919,0.000613999,1,235,80,33
3,86,1.71641,2.0602,0.000568953,1.71511,0.000654804,1,251,86,34
3,91,1.8714,2.0602,0.000611683,1.87001,0.000696764,1,267,91,35
3,95,2.01439,2.0602,0.000629776,2.01293,0.000739879,1,283,95,36
3,99,2.27645,2.0602,0.000664037,2.27486,0.000831498,1,315,99,38
3,100,2.27646,2.0602,0.000664037,2.27486,0.000831498,1,315,100,38
3,109,2.50038,2.0602,0.000729094,2.49862,0.00093428,1,342,109,41
3,113,2.63281,2.0602,0.000763355,2.63096,0.00097393,1,358,113,42
3,120,2.84715,2.0602,0.000815322,2.84515,0.00107402,1,392,120,44
3,121,2.95865,2.0602,0.000824175,2.95659,0.00112483,1,409,121,45
3,122,2.95866,2.0602,0.000832644,2.95659,0.00112483,1,409,122,45
3,127,3.16426,2.0602,0.000874989,3.16203,0.00123262,1,443,127,47
3,129,3.30187,2.0602,0.000894236,3.29957,0.00128844,1,460,129,48
3,136,3.49965,2.0602,0.00093427,3.49721,0.00138044,1,488,136,50
3,142,3.75579,2.0602,0.00097777,3.75319,0.00148438,1,520,142,52
3,143,3.7558,2.0602,0.000987009,3.75319,0.00148438,1,520,143,52
3,151,4.05026,2.0602,0.00104552,4.04743,0.00164298,1,559,151,55
3,152,4.05027,2.0602,0.00105476,4.04743,0.00164298,1,559,152,55
3,167,4.11378,2.0602,0.00115331,4.11074,0.00172382,1,573,167,57
3,175,4.26659,2.0602,0.00121298,4.26344,0.00177501,1,591,175,58
3,182,4.60985,2.0602,0.00127264,4.6064,0.00199944,1,640,182,62
3,183,4.60986,2.0602,0.00128265,4.6064,0.00199944,1,640,183,62
3,189,4.87272,2.0602,0.00132307,4.86909,0.00212455,1,677,189,64
3,190,4.87273,2.0602,0.00133077,4.86909,0.00212455,1,677,190,64
3,194,4.99091,2.0602,0.00135695,4.98718,0.0021796,1,694,194,65
3,196,5.27442,2.0602,0.00137581,5.27055,0.00229624,1,730,196,67
3,197,5.27443,2.0602,0.00138543,5.27055,0.00229624,1,730,197,67
3,202,5.40664,2.0602,0.00142508,5.40262,0.00239786,1,755,202,69
3,212,5.5857,2.0602,0.00148706,5.58154,0.002466,1,774,212,70
3,221,5.77904,2.0602,0.00156213,5.77472,0.00253452,1,793,221,71
3,227,5.91919,2.0602,0.00160062,5.91476,0.00260766,1,812,227,72
3,234,6.20944,2.0602,0.00165875,6.20474,0.00280206,1,862,234,75
3,235,6.20944,2.0602,0.00165875,6.20474,0.00280206,1,862,235,75
3,237,6.40065,2.0602,0.00166914,6.39585,0.0028856,1,881,237,76
3,242,6.57768,2.0602,0.00170995,6.57276,0.00295412,1,900,242,77
3,258,6.84647,2.0602,0.0018289,6.84127,0.0031054,1,940,258,79
3,259,6.84648,2.0602,0.00183929,6.84127,0.0031054,1,940,259,79
