trial,plan iters,plan time,best cost,configCheckTime,connectTime,knnTime,lazyPathCheckTime,numComponents,numEdgeChecks,numEdgesPrechecked,numIters,numMilestones
0,4215,4.92603,1.36693,0.0158234,3.86869,0.183716,0.85194,1,756,577,4215,738
0,4299,4.94115,1.36693,0.0160979,3.87582,0.191306,0.85194,1,756,577,4299,754
0,4387,4.94998,1.36693,0.0163604,3.88036,0.195178,0.85194,1,756,577,4387,762
0,4474,4.96403,1.36693,0.0166888,3.88737,0.201773,0.85194,1,756,577,4474,776
0,4560,4.98003,1.36693,0.0169413,3.89548,0.209265,0.85194,1,756,577,4560,791
0,4646,4.99391,1.36693,0.0172423,3.90179,0.216412,0.85194,1,756,577,4646,805
0,4733,5.00763,1.36693,0.0175476,3.90872,0.222771,0.85194,1,756,577,4733,817
0,4808,5.02467,1.36693,0.0178806,3.91792,0.230141,0.85194,1,756,577,4808,828
0,4893,5.03746,1.36693,0.0181547,3.92378,0.236665,0.85194,1,756,577,4893,840
0,4981,5.04832,1.36693,0.018403,3.9288,0.242107,0.85194,1,756,577,4981,850
0,5074,5.05549,1.36693,0.0186817,3.93195,0.245714,0.85194,1,756,577,5074,857
0,5164,5.06552,1.36693,0.0189207,3.93672,0.250589,0.85194,1,756,577,5164,866
0,5244,5.08524,1.36693,0.0191821,3.94834,0.258306,0.85194,1,756,577,5244,880
0,5333,5.09649,1.36693,0.0194439,3.95379,0.263701,0.85194,1,756,577,5333,890
0,5420,5.10786,1.36693,0.0196452,3.95992,0.26859,0.85194,1,761,582,5420,899
0,5505,5.12397,1.36693,0.0199512,3.9674,0.276788,0.85194,1,761,582,5505,914
0,5586,5.14198,1.36693,0.0202415,3.97582,0.285969,0.85194,1,761,582,5586,930
0,5670,5.15963,1.36693,0.0204813,3.98403,0.295031,0.85194,1,761,582,5670,946
0,5760,5.16759,1.36693,0.0207277,3.98751,0.299124,0.85194,1,761,582,5760,953
0,5845,5.18386,1.36693,0.0210222,3.99496,0.307512,0.85194,1,761,582,5845,967
0,5925,5.20117,1.36693,0.0213524,4.00258,0.316755,0.85194,1,761,582,5925,982
0,6016,5.20998,1.36693,0.0216593,4.00672,0.320982,0.85194,1,761,582,6016,989
0,6107,5.22049,1.36693,0.0219195,4.01146,0.32635,0.85194,1,761,582,6107,998
0,6196,5.23101,1.36693,0.0222282,4.01598,0.331925,0.85194,1,761,582,6196,1007
0,6279,5.2473,1.36693,0.0224476,4.02316,0.340683,0.85194,1,761,582,6279,1021
0,6346,5.27921,1.36693,0.0226155,4.0516,0.343866,0.85194,1,761,582,6346,1026
0,6439,5.28706,1.36693,0.0228957,4.05468,0.348197,0.85194,1,761,582,6439,1033
1,1,0.000106246,1.36693,3.0796e-05,5.4279e-05,1.9247e-05,0,1,0,0,1,3
1,27,0.118249,1.36693,0.00016476,0.0417599,9.0464e-05,0.0762176,1,19,10,27,10
1,35,0.218288,1.36693,0.000213648,0.126006,0.000164374,0.091882,1,38,22,35,15
1,43,0.443234,1.36693,0.000257919,0.32201,0.000234435,0.120703,1,72,42,43,18
1,48,0.526313,1.36693,0.000293334,0.398535,0.000301801,0.12715,1,91,56,48,21
1,65,0.724065,1.36693,0.000380715,0.579401,0.000481959,0.143758,1,137,92,65,27
1,74,0.881283,1.36693,0.000431529,0.702518,0.000585124,0.1777,1,164,109,74,31
1,84,1.06703,1.36693,0.000490812,0.87577,0.000707537,0.190001,1,195,132,84,35
1,93,1.2363,1.36693,0.000544704,1.02218,0.000807239,0.212702,1,215,146,93,38
1,96,1.35129,1.36693,0.000565106,1.1261,0.000918875,0.223635,1,234,160,96,41
1,109,1.55336,1.36693,0.000640171,1.3088,0.00110404,0.24274,1,264,184,109,46
1,117,1.60161,1.36693,0.00068367,1.35371,0.00114176,0.245998,1,274,192,117,47
1,123,1.78264,1.36693,0.00072024,1.5191,0.00119257,0.261541,1,292,207,123,48
1,127,1.9344,1.36693,0.000751423,1.66669,0.00133731,0.265524,1,310,224,127,51
1,131,2.16126,1.36693,0.000777214,1.88599,0.00143509,0.272958,1,344,254,131,53
1,132,2.16152,1.36693,0.000786068,1.88619,0.00149399,0.272958,1,344,254,132,54
1,151,2.39698,1.36693,0.000895396,2.0852,0.00176384,0.309012,1,381,281,151,59
1,159,2.50365,1.36693,0.00094159,2.18575,0.00182851,0.315021,1,399,297,159,60
1,184,2.65074,1.36693,0.00108518,2.32755,0.00235975,0.319621,1,418,315,184,70
1,212,2.78266,1.36693,0.00123569,2.42666,0.00282708,0.351804,1,440,332,212,77
1,231,2.92164,1.36693,0.0013327,2.55815,0.00294179,0.359068,1,459,349,231,79
1,306,3.10148,1.36693,0.00173844,2.72464,0.00461479,0.370291,1,487,375,306,103
1,338,3.25192,1.36693,0.00190858,2.86261,0.00546284,0.381716,1,508,395,338,113
1,400,3.41156,1.36693,0.00225889,3.01212,0.00722592,0.389705,1,531,417,400,132
1,525,3.47666,1.47622,0.00291677,3.05027,0.0118199,0.411283,1,556,438,525,171
1,628,3.48324,1.47622,0.00333482,3.05437,0.0137466,0.411283,1,556,438,628,186
1,727,3.49483,1.47622,0.00368898,3.06359,0.0156028,0.411283,1,556,438,727,200
1,832,3.5005,1.47622,0.00410472,3.06697,0.0173186,0.411283,1,556,438,832,212
1,934,3.5086,1.47622,0.00454126,3.07201,0.0198192,0.411283,1,556,438,934,228
1,1038,3.5138,1.47622,0.00489695,3.07506,0.0214448,0.411283,1,556,438,1038,237
1,1137,3.52543,1.47622,0.00525765,3.08304,0.0245822,0.411283,1,556,438,1137,255
1,1236,3.53619,1.47622,0.00566955,3.09057,0.0272672,0.411283,1,556,438,1236,270
1,1333,3.54563,1.47622,0.00606181,3.09618,0.0305716,0.411283,1,556,438,1333,287
