Average solve time: 1.9426254
cnt,mean,var
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
2,1.10739,0.035756
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,1.10501,0.0272528
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
3,0.960618,0.00191022
4,0.955174,0.00144992
4,0.955174,0.00144992
4,0.955174,0.00144992
4,0.955174,0.00144992
4,0.955174,0.00144992
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
4,0.919063,0.0082126
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
5,0.936324,0.00824711
6,0.982338,0.0188797
6,0.982338,0.0188797
6,0.982338,0.0188797
6,0.982338,0.0188797
6,0.982338,0.0188797
6,0.982338,0.0188797
6,0.982338,0.0188797
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
7,0.971295,0.0169143
