cnt,w/ Opt,var,w/o + std,w/o - std,cnt,w/o Opt,var,w/o + std,w/o - std,iters
0,,,,,0,,,,,0
0,,,,,0,,,,,1
0,,,,,0,,,,,2
0,,,,,0,,,,,3
0,,,,,0,,,,,4
0,,,,,0,,,,,5
0,,,,,0,,,,,6
0,,,,,0,,,,,7
0,,,,,0,,,,,8
0,,,,,0,,,,,9
0,,,,,0,,,,,10
0,,,,,0,,,,,11
0,,,,,0,,,,,12
0,,,,,0,,,,,13
0,,,,,0,,,,,14
0,,,,,0,,,,,15
0,,,,,0,,,,,16
0,,,,,0,,,,,17
0,,,,,0,,,,,18
0,,,,,0,,,,,19
0,,,,,0,,,,,20
0,,,,,0,,,,,21
0,,,,,0,,,,,22
0,,,,,0,,,,,23
0,,,,,0,,,,,24
0,,,,,0,,,,,25
0,,,,,0,,,,,26
0,,,,,0,,,,,27
0,,,,,0,,,,,28
0,,,,,0,,,,,29
0,,,,,0,,,,,30
0,,,,,0,,,,,31
0,,,,,0,,,,,32
0,,,,,0,,,,,33
0,,,,,0,,,,,34
0,,,,,0,,,,,35
0,,,,,0,,,,,36
0,,,,,0,,,,,37
0,,,,,0,,,,,38
0,,,,,0,,,,,39
0,,,,,0,,,,,40
0,,,,,0,,,,,41
0,,,,,0,,,,,42
0,,,,,0,,,,,43
0,,,,,0,,,,,44
0,,,,,0,,,,,45
0,,,,,0,,,,,46
0,,,,,0,,,,,47
0,,,,,0,,,,,48
0,,,,,0,,,,,49
0,,,,,0,,,,,50
0,,,,,0,,,,,51
0,,,,,0,,,,,52
0,,,,,0,,,,,53
0,,,,,0,,,,,54
0,,,,,0,,,,,55
0,,,,,0,,,,,56
0,,,,,0,,,,,57
0,,,,,0,,,,,58
0,,,,,0,,,,,59
0,,,,,0,,,,,60
0,,,,,0,,,,,61
0,,,,,0,,,,,62
0,,,,,0,,,,,63
0,,,,,0,,,,,64
0,,,,,0,,,,,65
0,,,,,0,,,,,66
0,,,,,0,,,,,67
0,,,,,0,,,,,68
0,,,,,0,,,,,69
0,,,,,0,,,,,70
0,,,,,0,,,,,71
0,,,,,0,,,,,72
0,,,,,0,,,,,73
0,,,,,0,,,,,74
0,,,,,0,,,,,75
0,,,,,0,,,,,76
0,,,,,0,,,,,77
0,,,,,0,,,,,78
0,,,,,0,,,,,79
0,,,,,0,,,,,80
0,,,,,0,,,,,81
0,,,,,0,,,,,82
0,,,,,0,,,,,83
0,,,,,0,,,,,84
0,,,,,0,,,,,85
0,,,,,0,,,,,86
0,,,,,0,,,,,87
0,,,,,0,,,,,88
0,,,,,0,,,,,89
0,,,,,0,,,,,90
0,,,,,0,,,,,91
0,,,,,0,,,,,92
0,,,,,0,,,,,93
0,,,,,0,,,,,94
0,,,,,0,,,,,95
0,,,,,0,,,,,96
0,,,,,0,,,,,97
0,,,,,0,,,,,98
0,,,,,0,,,,,99
0,,,,,0,,,,,100
0,,,,,0,,,,,101
0,,,,,0,,,,,102
0,,,,,0,,,,,103
0,,,,,0,,,,,104
0,,,,,0,,,,,105
0,,,,,0,,,,,106
0,,,,,0,,,,,107
0,,,,,0,,,,,108
0,,,,,0,,,,,109
0,,,,,0,,,,,110
0,,,,,0,,,,,111
0,,,,,0,,,,,112
0,,,,,0,,,,,113
0,,,,,0,,,,,114
0,,,,,0,,,,,115
0,,,,,0,,,,,116
0,,,,,0,,,,,117
0,,,,,0,,,,,118
0,,,,,0,,,,,119
0,,,,,0,,,,,120
0,,,,,0,,,,,121
0,,,,,0,,,,,122
0,,,,,0,,,,,123
0,,,,,0,,,,,124
0,,,,,0,,,,,125
0,,,,,0,,,,,126
0,,,,,0,,,,,127
0,,,,,0,,,,,128
0,,,,,0,,,,,129
0,,,,,0,,,,,130
0,,,,,0,,,,,131
0,,,,,0,,,,,132
0,,,,,0,,,,,133
0,,,,,0,,,,,134
0,,,,,0,,,,,135
0,,,,,0,,,,,136
0,,,,,0,,,,,137
0,,,,,0,,,,,138
0,,,,,0,,,,,139
0,,,,,0,,,,,140
0,,,,,0,,,,,141
0,,,,,0,,,,,142
0,,,,,0,,,,,143
0,,,,,0,,,,,144
0,,,,,0,,,,,145
0,,,,,0,,,,,146
0,,,,,0,,,,,147
0,,,,,0,,,,,148
0,,,,,0,,,,,149
0,,,,,0,,,,,150
0,,,,,0,,,,,151
0,,,,,0,,,,,152
0,,,,,0,,,,,153
0,,,,,0,,,,,154
0,,,,,0,,,,,155
0,,,,,0,,,,,156
0,,,,,0,,,,,157
0,,,,,0,,,,,158
0,,,,,0,,,,,159
0,,,,,2,1.10739,0.035756,,,160
0,,,,,2,1.10739,0.035756,,,161
0,,,,,2,1.10739,0.035756,,,162
0,,,,,2,1.10739,0.035756,,,163
0,,,,,2,1.10739,0.035756,,,164
0,,,,,2,1.10739,0.035756,,,165
0,,,,,2,1.10739,0.035756,,,166
0,,,,,2,1.10739,0.035756,,,167
0,,,,,2,1.10739,0.035756,,,168
0,,,,,2,1.10739,0.035756,,,169
0,,,,,2,1.10739,0.035756,,,170
0,,,,,2,1.10739,0.035756,,,171
0,,,,,2,1.10739,0.035756,,,172
0,,,,,2,1.10739,0.035756,,,173
0,,,,,2,1.10739,0.035756,,,174
0,,,,,2,1.10739,0.035756,,,175
0,,,,,2,1.10739,0.035756,,,176
0,,,,,2,1.10739,0.035756,,,177
0,,,,,2,1.10739,0.035756,,,178
0,,,,,2,1.10739,0.035756,,,179
1,1.20881,0,1.20881,1.20881,3,1.10501,0.0272528,,,180
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,181
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,182
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,183
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,184
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,185
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,186
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,187
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,188
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,189
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,190
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,191
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,192
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,193
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,194
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,195
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,196
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,197
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,198
1,0.509497,0,0.509497,0.509497,3,1.10501,0.0272528,,,199
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,200
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,201
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,202
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,203
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,204
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,205
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,206
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,207
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,208
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,209
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,210
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,211
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,212
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,213
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,214
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,215
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,216
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,217
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,218
1,0.509497,0,0.509497,0.509497,3,0.960618,0.00191022,,,219
2,0.931134,0.177777,1.352770099,0.509497901,4,0.955174,0.00144992,,,220
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.955174,0.00144992,,,221
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.955174,0.00144992,,,222
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.955174,0.00144992,,,223
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.955174,0.00144992,,,224
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,225
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,226
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,227
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,228
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,229
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,230
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,231
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,232
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,233
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,234
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,235
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,236
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,237
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,238
2,0.628594,0.0141841,0.747691019,0.509496981,4,0.919063,0.0082126,,,239
2,0.628594,0.0141841,0.747691019,0.509496981,5,0.936324,0.00824711,,,240
2,0.628594,0.0141841,0.747691019,0.509496981,5,0.936324,0.00824711,,,241
2,0.628594,0.0141841,0.747691019,0.509496981,5,0.936324,0.00824711,,,242
2,0.628594,0.0141841,0.747691019,0.509496981,5,0.936324,0.00824711,,,243
