global motion_planning_500_500 beginning 2014-08-22 12:16:16.708504
99 full at 2014-08-22 12:16:23.152514
98 full at 2014-08-22 12:16:30.384524
97 full at 2014-08-22 12:16:37.878534
96 full at 2014-08-22 12:16:44.795545
95 full at 2014-08-22 12:16:51.929555
94 full at 2014-08-22 12:16:58.509565
93 full at 2014-08-22 12:17:05.380575
92 full at 2014-08-22 12:17:11.849585
91 full at 2014-08-22 12:17:18.539594
90 full at 2014-08-22 12:17:24.960603
89 full at 2014-08-22 12:17:31.354613
88 full at 2014-08-22 12:17:37.623623
87 full at 2014-08-22 12:17:44.294632
86 full at 2014-08-22 12:17:50.548641
85 full at 2014-08-22 12:17:56.712650
84 full at 2014-08-22 12:18:02.877660
83 full at 2014-08-22 12:18:09.239669
82 full at 2014-08-22 12:18:15.542678
81 full at 2014-08-22 12:18:21.822686
80 full at 2014-08-22 12:18:27.891695
79 full at 2014-08-22 12:18:34.266705
78 full at 2014-08-22 12:18:40.513714
77 full at 2014-08-22 12:18:46.625722
76 full at 2014-08-22 12:18:52.656731
75 full at 2014-08-22 12:18:58.698739
74 full at 2014-08-22 12:19:04.898797
73 full at 2014-08-22 12:19:11.216158
72 full at 2014-08-22 12:19:17.551520
71 full at 2014-08-22 12:19:24.067893
70 full at 2014-08-22 12:19:30.455258
69 full at 2014-08-22 12:19:36.983632
68 full at 2014-08-22 12:19:43.708016
67 full at 2014-08-22 12:19:50.527406
66 full at 2014-08-22 12:19:56.775764
65 full at 2014-08-22 12:20:03.047123
64 full at 2014-08-22 12:20:09.214475
63 full at 2014-08-22 12:20:15.469833
62 full at 2014-08-22 12:20:21.690189
61 full at 2014-08-22 12:20:27.908545
60 full at 2014-08-22 12:20:33.929889
59 full at 2014-08-22 12:20:40.196247
58 full at 2014-08-22 12:20:46.538610
57 full at 2014-08-22 12:20:52.691962
56 full at 2014-08-22 12:20:58.802312
55 full at 2014-08-22 12:21:04.973665
54 full at 2014-08-22 12:21:11.473036
53 full at 2014-08-22 12:21:17.973408
52 full at 2014-08-22 12:21:24.159762
51 full at 2014-08-22 12:21:30.459122
50 full at 2014-08-22 12:21:36.633475
49 full at 2014-08-22 12:21:42.928835
48 full at 2014-08-22 12:21:49.354203
47 full at 2014-08-22 12:21:55.520556
46 full at 2014-08-22 12:22:01.521899
45 full at 2014-08-22 12:22:07.551244
44 full at 2014-08-22 12:22:13.406579
43 full at 2014-08-22 12:22:19.220911
42 full at 2014-08-22 12:22:25.012243
41 full at 2014-08-22 12:22:30.822575
40 full at 2014-08-22 12:22:36.707911
39 full at 2014-08-22 12:22:42.378951
38 full at 2014-08-22 12:22:48.110959
37 full at 2014-08-22 12:22:53.852967
36 full at 2014-08-22 12:22:59.514975
35 full at 2014-08-22 12:23:05.343984
34 full at 2014-08-22 12:23:10.997992
33 full at 2014-08-22 12:23:16.690002
32 full at 2014-08-22 12:23:22.362010
31 full at 2014-08-22 12:23:27.982018
30 full at 2014-08-22 12:23:33.643026
29 full at 2014-08-22 12:23:39.754035
28 full at 2014-08-22 12:23:45.776043
27 full at 2014-08-22 12:23:52.003053
26 full at 2014-08-22 12:23:58.068062
25 full at 2014-08-22 12:24:04.031070
24 full at 2014-08-22 12:24:09.921078
23 full at 2014-08-22 12:24:17.002088
22 full at 2014-08-22 12:24:22.914097
21 full at 2014-08-22 12:24:29.350106
20 full at 2014-08-22 12:24:35.888117
19 full at 2014-08-22 12:24:42.771129
18 full at 2014-08-22 12:24:48.905138
17 full at 2014-08-22 12:24:54.459146
16 full at 2014-08-22 12:24:59.999154
15 full at 2014-08-22 12:25:05.687162
14 full at 2014-08-22 12:25:11.282170
13 full at 2014-08-22 12:25:16.822178
12 full at 2014-08-22 12:25:22.394186
11 full at 2014-08-22 12:25:27.874194
10 full at 2014-08-22 12:25:33.515202
9 full at 2014-08-22 12:25:39.116210
8 full at 2014-08-22 12:25:44.737218
7 full at 2014-08-22 12:25:50.578226
6 full at 2014-08-22 12:25:56.242234
5 full at 2014-08-22 12:26:02.187243
4 full at 2014-08-22 12:26:07.814251
3 full at 2014-08-22 12:26:13.424259
2 full at 2014-08-22 12:26:19.157267
1 full at 2014-08-22 12:26:24.929276
0 full at 2014-08-22 12:26:30.565284
