target r,target y,target x
12,325,471
time,widget x,widget y
1.18725585938,387,331
1.64278197289,391,331
1.67148780823,396,331
1.70055794716,401,330
1.70055794716,406,330
1.7293817997,413,330
1.75750994682,423,330
1.7854077816,432,330
1.81623697281,436,331
1.84486484528,442,333
1.87361693382,448,334
1.90186691284,454,334
1.93123292923,457,334
1.96037197113,462,334
1.98998689651,462,334
2.01803183556,463,334
2.01803183556,465,334
2.04655480385,466,334
2.07528376579,471,332
2.10400080681,473,331
2.19006085396,473,329
2.30384397507,473,328
