target r,target y,target x
25,244,598
time,widget x,widget y
2.04794692993,353,320
2.3062069416,354,320
2.33541512489,357,320
2.3641679287,363,318
2.39358115196,365,317
2.42142415047,372,312
2.4493830204,383,308
2.47796607018,391,305
2.50685214996,407,299
2.53563404083,425,297
2.56382894516,431,296
2.56382894516,437,296
2.59233403206,440,296
2.62160396576,445,295
2.65025615692,463,281
2.67933893204,480,271
2.70766496658,504,254
2.73712301254,521,246
2.76562595367,532,238
2.79484605789,539,231
2.82375693321,548,223
2.85255813599,556,218
2.88129210472,562,216
2.90974807739,562,216
2.93218398094,564,216
2.96171808243,564,216
2.99030995369,564,216
3.01899194717,565,216
3.04701495171,567,217
3.04701495171,567,217
3.07590794563,568,219
3.10435295105,568,221
3.13319396973,570,226
3.16234707832,571,231
3.16234707832,572,234
3.19197392464,572,238
3.22090196609,574,244
3.24926400185,575,248
3.27778911591,577,250
3.30682897568,578,254
3.33604693413,579,255
3.36457109451,579,257
3.50584793091,579,257
3.53437900543,579,257
3.5632109642,580,256
3.5632109642,580,256
3.62189006805,581,255
3.65050196648,582,254
3.70680499077,583,254
3.82393813133,585,254
3.85242700577,587,253
3.88196706772,588,252
4.11283397675,588,252
