pattern,height,speed,width
figure_eight,1.36193162941,476.075708949,-1.00894979005
time,slider velocity y,slider velocity x,widget x,widget y,slider param,slider y,slider x
5.02589893341,309.391578852,356.225549988,479.998944665,396.303109067,0.0,396.303109067,479.998944665
5.33777999878,-384.862688796,275.378337222,482.998944665,396.303109067,0.311881065369,412.004805429,608.662692362
5.35852599144,-404.682491806,245.61444988,486.998944665,396.303109067,0.332627058029,404.915004843,615.530892693
5.3825750351,-423.640812769,211.933455666,489.998944665,397.303109067,0.356676101685,396.035645826,622.741920173
5.39264798164,-430.55399604,198.358852511,494.998944665,399.303109067,0.366749048233,392.157825847,625.555283354
5.43389511108,-452.126264962,142.954581578,506.998944665,402.303109067,0.407996177673,375.16374042,635.355566363
5.45719599724,-460.628297265,113.324429789,522.998944665,405.303109067,0.431297063828,365.032462353,639.851792536
5.48230791092,-467.43024548,81.8428007646,531.998944665,407.303109067,0.456408977509,353.792733394,643.896656694
5.51239299774,-472.549746857,43.8723953035,546.998944665,410.303109067,0.486494064331,339.985208997,647.662416816
5.52300691605,-473.758735428,28.8366035115,556.998944665,412.303109067,0.497107982635,335.065307897,648.814663326
5.56637811661,-474.131905538,-22.6380173232,574.998944665,416.303109067,0.540479183197,314.611815198,651.528365191
5.59612607956,-470.784132892,-59.9370798628,583.998944665,417.303109067,0.570227146149,300.471283684,652.111125672
5.60743904114,-468.40119324,-76.0291717888,586.998944665,418.303109067,0.581540107727,295.085514191,652.135841385
5.61807513237,-466.25754643,-88.1833808901,589.998944665,419.303109067,0.592176198959,290.031654657,651.86157128
5.64913392067,-457.043936808,-127.293088285,592.998944665,419.303109067,0.623234987259,275.322739377,650.445814026
5.68015813828,-443.020265206,-168.779381635,600.998944665,419.303109067,0.654259204865,260.796078389,647.835395281
5.71129703522,-423.749081818,-211.662833948,609.998944665,419.303109067,0.685398101807,246.489980958,643.992573527
5.73208808899,-407.855799754,-240.453590059,612.998944665,418.303109067,0.706189155579,237.156213557,640.722416046
5.74270606041,-398.070100839,-255.990078473,614.998944665,416.303109067,0.716807126999,232.460821333,638.850012512
5.76964092255,-369.943578359,-294.446826577,619.998944665,406.303109067,0.743741989136,220.88343384,633.356571363
