target r,target y,target x
12,356,398
time,widget x,widget y
1.37643504143,294,349
1.7302839756,296,349
1.75858402252,305,349
1.7868540287,323,350
1.81639695168,329,350
1.81639695168,335,350
1.84601712227,341,350
1.87375593185,350,351
1.90176105499,355,351
1.93090105057,358,352
1.95975399017,365,353
1.98764204979,371,355
2.01684498787,372,355
2.04497694969,373,355
2.21694993973,374,355
2.24576306343,376,355
2.27369809151,381,355
2.3015730381,384,355
2.33044695854,386,355
2.47337198257,386,355
2.50284695625,387,356
2.57352209091,387,356
2.60224604607,388,356
2.85911011696,390,356
2.88817596436,393,356
2.91761612892,394,356
3.20188307762,396,356
3.23064613342,397,357
3.25971198082,400,358
