target r,target y,target x
32,242,279
time,widget x,widget y
1.64036011696,471,115
1.92391896248,469,115
1.95285797119,468,115
1.98216295242,456,117
2.01067304611,440,129
2.03951716423,432,136
2.06808304787,418,148
2.09665703773,407,158
2.12583208084,394,167
2.15459513664,388,172
2.18402314186,375,181
2.21244502068,365,189
2.24137616158,355,197
2.26922798157,348,202
2.29809212685,332,211
2.32686495781,319,217
2.35558509827,315,220
2.35558509827,313,221
2.4133450985,311,221
2.47197294235,310,222
2.51221704483,310,223
2.56969308853,310,224
2.60920906067,311,224
2.81075406075,308,225
2.83972215652,304,227
2.83972215652,301,228
2.8689160347,298,229
2.8977291584,293,231
2.92594313622,289,233
2.95501804352,287,234
2.98418617249,285,234
3.01307702065,285,235
3.04155707359,285,235
