pattern,height,speed,width
square,-1.97894106835,125.945720607,0.586040805652
time,slider velocity y,slider velocity x,widget x,widget y,slider param,slider y,slider x
9.68072199821,0.0,125.945720607,341.395919435,497.894106835,0.0,497.894106835,341.395919435
9.91845011711,0.0,125.945720607,346.395919435,497.894106835,0.237728118896,497.894106835,371.336758678
9.94782710075,0.0,125.945720607,351.395919435,497.894106835,0.267105102539,497.894106835,375.036664052
9.94782710075,0.0,125.945720607,356.395919435,497.894106835,0.267105102539,497.894106835,375.036664052
9.97771406174,0.0,125.945720607,361.395919435,497.894106835,0.296992063522,497.894106835,378.80079889
10.0070340633,0.0,125.945720607,365.395919435,497.894106835,0.326312065125,497.894106835,382.49352762
10.0369310379,0.0,125.945720607,368.395919435,497.894106835,0.356209039688,497.894106835,386.258923625
10.0654010773,0.0,125.945720607,372.395919435,497.894106835,0.384679079056,497.894106835,389.844603249
10.095318079,0.0,125.945720607,375.395919435,497.894106835,0.41459608078,497.894106835,393.612521589
10.1238451004,0.0,125.945720607,380.395919435,498.894106835,0.443123102188,497.894106835,397.205377857
10.1540529728,0.0,125.945720607,386.395919435,499.894106835,0.473330974579,497.894106835,401.009930114
10.1839661598,0.0,125.945720607,392.395919435,499.894106835,0.503244161606,497.894106835,404.77736801
10.2135460377,0.0,125.945720607,395.395919435,499.894106835,0.532824039459,497.894106835,408.502827041
10.2431910038,0.0,125.945720607,402.395919435,499.894106835,0.562469005585,497.894106835,412.236483662
10.273234129,0.0,125.945720607,407.395919435,499.894106835,0.592512130737,497.894106835,416.020286709
10.303456068,0.0,125.945720607,414.395919435,499.894106835,0.622734069824,497.894106835,419.826610605
10.3324120045,0.0,125.945720607,417.395919435,499.894106835,0.651690006256,497.894106835,423.473486885
10.391108036,0.0,125.945720607,420.395919435,499.894106835,0.710386037827,497.894106835,430.866000878
10.4204499722,0.0,125.945720607,423.395919435,500.894106835,0.739727973938,497.894106835,434.561492166
10.4499289989,0.0,125.945720607,426.395919435,500.894106835,0.769207000732,497.894106835,438.274249438
10.4790971279,0.0,125.945720607,430.395919435,500.894106835,0.7983751297,497.894106835,441.94785046
10.5083250999,0.0,125.945720607,432.395919435,500.894106835,0.82760310173,497.894106835,445.628988459
10.5375139713,-32.9569339446,92.9887866625,436.395919435,500.894106835,0.856791973114,497.894106835,449.305201899
10.5677289963,-71.0114648472,54.93425576,436.395919435,500.894106835,0.887006998062,497.894106835,453.110654989
10.5969951153,-107.87088932,18.0748312875,438.395919435,500.894106835,0.916273117065,497.894106835,456.796597436
10.6257669926,-125.945720607,0.0,439.395919435,500.894106835,0.945044994354,496.077895145,458.604080565
10.6257669926,-125.945720607,0.0,440.395919435,500.894106835,0.945044994354,496.077895145,458.604080565
10.6554541588,-125.945720607,0.0,442.395919435,500.894106835,0.974732160568,492.338923604,458.604080565
10.6862220764,-125.945720607,0.0,445.395919435,500.894106835,1.0055000782,488.463836046,458.604080565
10.7166230679,-125.945720607,0.0,447.395919435,500.894106835,1.03590106964,484.634961272,458.604080565
10.7456669807,-125.945720607,0.0,447.395919435,500.894106835,1.06494498253,480.977004734,458.604080565
10.8445899487,-125.945720607,0.0,451.395919435,500.894106835,1.16386795044,468.518080256,458.604080565
10.8733990192,-125.945720607,0.0,454.395919435,500.894106835,1.19267702103,464.889701101,458.604080565
10.9032480717,-125.945720607,0.0,459.395919435,499.894106835,1.22252607346,461.130340683,458.604080565
10.9333930016,-125.945720607,0.0,461.395919435,499.894106835,1.25267100334,457.333715766,458.604080565
11.0227880478,-125.945720607,0.0,461.395919435,499.894106835,1.34206604958,446.074792249,458.604080565
11.0531549454,-125.945720607,0.0,461.395919435,496.894106835,1.37243294716,442.250211451,458.604080565
11.0821361542,-125.945720607,0.0,461.395919435,479.894106835,1.40141415596,438.600152224,458.604080565
11.1113071442,-125.945720607,0.0,461.395919435,455.894106835,1.43058514595,434.926190869,458.604080565
11.1399540901,-125.945720607,0.0,460.395919435,445.894106835,1.4592320919,431.318230618,458.604080565
11.1502420902,-125.945720607,0.0,459.395919435,436.894106835,1.46952009201,430.022501031,458.604080565
11.1802690029,-125.945720607,0.0,457.395919435,421.894106835,1.4995470047,426.240739874,458.604080565
11.2096869946,-125.945720607,0.0,455.395919435,416.894106835,1.52896499634,422.535669719,458.604080565
11.2096869946,-125.945720607,0.0,454.395919435,410.894106835,1.52896499634,422.535669719,458.604080565
11.2395629883,-125.945720607,0.0,453.395919435,406.894106835,1.55884099007,418.77291616,458.604080565
11.2686741352,-125.945720607,0.0,450.395919435,398.894106835,1.58795213699,415.106491782,458.604080565
11.298897028,-125.945720607,0.0,450.395919435,396.894106835,1.61817502975,411.300047775,458.604080565
11.3281021118,-125.945720607,0.0,449.395919435,394.894106835,1.6473801136,407.621792444,458.604080565
11.3577830791,-125.945720607,0.0,449.395919435,392.894106835,1.67706108093,403.883601625,458.604080565
11.3875319958,-125.945720607,0.0,449.395919435,382.894106835,1.70680999756,400.136852883,458.604080565
11.4166519642,-125.945720607,0.0,448.395919435,369.894106835,1.73592996597,396.469317477,458.604080565
11.4458539486,-125.945720607,0.0,448.395919435,359.894106835,1.76513195038,392.791452508,458.604080565
11.4750361443,-125.945720607,0.0,448.395919435,355.894106835,1.79431414604,389.116079847,458.604080565
11.5041050911,-125.945720607,0.0,448.395919435,351.894106835,1.82338309288,385.45497039,458.604080565
11.5333321095,-125.945720607,0.0,448.395919435,350.894106835,1.85261011124,381.773952502,458.604080565
11.5628819466,-125.945720607,0.0,448.395919435,347.894106835,1.88215994835,378.052276973,458.604080565
11.5927300453,-125.945720607,0.0,448.395919435,346.894106835,1.9120080471,374.293036666,458.604080565
11.5927300453,-125.945720607,0.0,448.395919435,344.894106835,1.9120080471,374.293036666,458.604080565
11.6221821308,-125.945720607,0.0,448.395919435,343.894106835,1.9414601326,370.583672535,458.604080565
