target r,target y,target x
9,368,574
time,widget x,widget y
2.88602781296,171,282
3.1708419323,171,282
3.19999980927,180,295
3.22859883308,196,306
3.25743079185,206,309
3.28655600548,225,315
3.31576085091,256,323
3.34414196014,305,334
3.37269878387,336,344
3.40179181099,373,359
3.43082785606,392,368
3.46051979065,401,376
3.48897981644,405,378
3.51833677292,408,380
3.54699492455,409,380
3.57582187653,410,380
3.6336619854,410,380
3.66171383858,412,380
3.68962693214,413,379
3.7178478241,421,377
3.74597382545,428,373
3.7750389576,432,372
3.80316781998,437,369
3.83261990547,442,367
3.8612408638,450,364
3.8898639679,454,362
3.91924381256,463,361
3.94912290573,471,360
3.9778778553,476,360
4.00585579872,478,360
4.03511190414,484,360
4.06333088875,489,360
4.09250879288,491,360
4.09250879288,494,360
4.12152099609,497,360
4.15012097359,506,362
4.17847895622,512,362
4.2073059082,515,362
4.2362139225,521,363
4.26520490646,528,363
4.29460597038,534,365
4.32321596146,536,366
4.3515689373,541,367
4.3814368248,543,367
4.40988492966,545,367
4.40988492966,547,367
4.43896198273,549,367
4.46770691872,552,367
4.49784183502,554,367
4.66755986214,555,367
4.69695878029,563,367
4.72600388527,574,367
4.75501084328,578,367
4.78449583054,580,367
4.81342792511,580,367
5.08008790016,581,367
5.10934400558,577,367
5.13798880577,575,367
5.16680383682,574,367
