pattern,height,speed,width
figure_eight,1.88231901785,368.081390374,1.3763737676
time,slider velocity y,slider velocity x,widget x,widget y,slider param,slider y,slider x
8.23639416695,268.46324006,-250.431132866,290.868257312,433.100054188,0.0,433.100054188,290.868257312
8.58517408371,-107.370586294,-349.713418677,289.868257312,433.100054188,0.348779916763,487.304354262,181.276993587
8.59574699402,-121.406969128,-345.532982212,285.868257312,433.100054188,0.359352827072,486.90721997,177.408952684
8.62244606018,-149.692060534,-334.068616199,281.868257312,433.100054188,0.386051893234,484.730248723,167.825677425
8.62244606018,-149.692060534,-334.068616199,274.868257312,435.100054188,0.386051893234,484.730248723,167.825677425
8.65304207802,-179.598673421,-319.418045286,268.868257312,437.100054188,0.416647911072,481.281159865,157.127526088
8.66370415688,-191.65726088,-312.282105206,263.868257312,438.100054188,0.427309989929,479.917518581,153.447541951
8.67407011986,-202.048622749,-305.936083037,255.868257312,443.100054188,0.437675952911,478.458516972,149.928934591
8.70713019371,-229.494953253,-286.105943876,241.868257312,451.100054188,0.470736026764,472.827742416,139.141255441
8.72778201103,-243.297405869,-274.545682126,236.868257312,454.100054188,0.491387844086,468.650623619,132.798779463
8.75895404816,-265.128240564,-253.75020618,227.868257312,458.100054188,0.52255988121,461.896541529,123.540900686
8.79007411003,-283.157845253,-233.817543787,218.868257312,462.100054188,0.553679943085,454.39678459,114.882716331
8.83622598648,-305.325252603,-204.37961925,205.868257312,468.100054188,0.599831819534,442.036933007,103.237461696
8.86674213409,-316.181682478,-187.072666989,187.868257312,473.100054188,0.630347967148,433.103900783,96.4280321988
8.89723014832,-326.781512396,-167.828014716,173.868257312,476.100054188,0.660835981369,423.846038571,90.1070728117
8.90802001953,-329.88922302,-161.730975287,162.868257312,469.100054188,0.671625852585,420.476164663,88.0053674103
9.20325613022,-367.608640309,1.2647166294,157.868257312,466.100054188,0.966861963272,317.542753549,56.6671432462
9.21363019943,-367.634069231,6.85269568607,154.868257312,466.100054188,0.977236032486,313.735798317,56.370414397
9.22424507141,-367.637975484,12.0334178501,148.868257312,463.100054188,0.987850904465,309.838264795,56.1204943807
9.24588608742,-366.834839505,23.673291517,140.868257312,456.100054188,1.00949192047,301.872691248,56.0844139816
9.2693901062,-365.958322944,36.3552123227,129.868257312,446.100054188,1.03299593925,293.221388082,56.0452275414
9.31022405624,-363.010623111,58.0361627405,94.8682573117,406.100054188,1.0738298893,278.223173109,56.9696381997
9.34115409851,-359.919569265,74.6776925047,79.8682573117,382.100054188,1.10475993156,266.913299858,58.2043113596
9.37213897705,-356.150754229,91.6307036849,74.8682573117,372.100054188,1.1357448101,255.624009107,59.8244849496
9.37213897705,-356.150754229,91.6307036849,72.8682573117,363.100054188,1.1357448101,255.624009107,59.8244849496
