pattern,height,speed,width
figure_eight,-1.24635947019,454.413611279,1.47379778793
time,slider velocity y,slider velocity x,widget x,widget y,slider param,slider y,slider x
6.15509605408,-234.032836695,-387.437179237,283.143572805,211.869076683,0.0,211.869076683,283.143572805
6.47809100151,149.085996745,-427.522379072,272.143572805,205.869076683,0.322994947433,178.798068497,145.035088961
6.50033402443,174.756468312,-417.787778375,268.143572805,203.869076683,0.345237970352,181.055609795,135.182895404
6.51045513153,187.629992797,-411.918963181,261.143572805,201.869076683,0.355359077454,182.308596064,130.762082076
6.52173399925,200.196348635,-405.86894898,248.143572805,198.869076683,0.366637945175,183.882890346,125.884582669
6.55025196075,234.039332865,-387.153892054,237.143572805,196.869076683,0.395155906677,188.388063224,113.747530712
6.58114910126,269.984121435,-362.795348514,213.143572805,195.869076683,0.42605304718,194.362811467,101.0578689
6.61190104485,304.780393401,-333.843151087,182.143572805,195.869076683,0.456804990768,201.434511134,89.0224657315
6.6221280098,316.116986404,-323.114158348,165.143572805,195.869076683,0.467031955719,204.001419553,85.1484343798
6.64811515808,343.349173199,-293.784084735,149.143572805,195.869076683,0.493019104004,211.180279175,75.7862156351
6.65852618217,355.713271005,-278.490733765,136.143572805,195.869076683,0.503430128098,214.160715319,72.1121824547
6.67933511734,374.621114563,-251.994866288,125.143572805,197.869076683,0.524239063263,220.780850829,65.3636854357
6.71043395996,401.944034415,-204.85076629,114.143572805,200.869076683,0.555337905884,231.396985242,56.0608000066
6.72053003311,410.391491028,-187.609304109,110.143572805,202.869076683,0.565433979034,235.005829657,53.2351182248
6.74211907387,424.671970662,-151.505641083,106.143572805,207.869076683,0.587023019791,243.210440577,47.8566979414
6.75329899788,431.032227455,-132.691208042,98.1435728048,216.869076683,0.598202943802,247.614841403,45.3399226595
6.77661108971,442.096245785,-88.7519483279,87.1435728048,230.869076683,0.621515035629,257.083494084,40.5976380261
6.78857707977,445.459577958,-68.6100978373,73.1435728048,244.869076683,0.633481025696,262.176755551,38.6936450831
6.80961704254,449.939081261,-27.7509720651,58.1435728048,259.869076683,0.654520988464,271.231029239,35.664853436
7.12150096893,205.254031282,403.322798672,48.1435728048,270.869076683,0.966404914856,394.97491363,83.6996371921
7.15301203728,167.890159827,420.377662722,57.1435728048,287.869076683,0.9979159832,402.726262873,95.7248278182
7.18484997749,130.043459975,433.677553491,64.1435728048,299.869076683,1.02975392342,409.367566684,108.564276775
7.21560811996,93.4347424389,443.097113846,74.1435728048,317.869076683,1.06051206589,414.650110843,121.49268226
7.22621512413,81.2690164511,445.488848372,76.1435728048,323.869076683,1.07111907005,416.180463603,126.063251477
7.25110316277,51.4262550594,449.918458795,80.1435728048,330.869076683,1.09600710869,419.312507342,136.919208845
7.26163101196,39.3120980974,451.234889859,86.1435728048,342.869076683,1.10653495789,420.430835397,141.57065797
7.28707504272,8.89112077422,452.774478177,97.1435728048,364.869076683,1.13197898865,422.523131651,152.93176003
7.33338809013,-45.7891594988,450.837277046,112.143572805,386.869076683,1.17829203606,424.519558474,173.864715469
7.36408019066,-81.9851415397,445.611650397,124.143572805,399.869076683,1.20898413658,424.340389476,187.806876382
7.37442398071,-95.1712188627,442.770215671,126.143572805,401.869076683,1.21932792664,424.010047471,192.491559554
7.38516616821,-107.463205451,439.840568147,129.143572805,403.869076683,1.23007011414,423.502444245,197.346491889
7.41749000549,-145.88747353,428.551002978,132.143572805,404.869076683,1.26239395142,421.325805495,211.859234775
7.44818115234,-182.432174439,414.195088618,137.143572805,405.869076683,1.29308509827,418.109702361,225.41645769
7.45843410492,-193.952512273,409.171118699,142.143572805,406.869076683,1.30333805084,416.840692443,229.899386589
7.4850320816,-225.608704669,392.295709592,146.143572805,406.869076683,1.32993602753,412.777802885,241.27360511
7.52613306046,-261.038695612,371.229031778,156.143572805,407.869076683,1.37103700638,405.015757477,258.24456901
7.55657315254,-273.034046539,363.161785729,161.143572805,407.869076683,1.40147709846,397.886334078,270.095003303
7.60170817375,-273.618045178,362.801454612,169.143572805,406.869076683,1.44661211967,385.594977669,286.506087763
7.60170817375,-273.618045178,362.801454612,173.143572805,406.869076683,1.44661211967,385.594977669,286.506087763
7.64272403717,-273.618045178,362.801454612,183.143572805,406.869076683,1.48762798309,374.372297299,301.386702674
7.67377018929,-273.618045178,362.801454612,197.143572805,406.869076683,1.51867413521,365.877509847,312.650291821
7.71717715263,-273.618045178,362.801454612,221.143572805,404.869076683,1.56208109856,354.000581389,328.398401264
7.72737503052,-273.618045178,362.801454612,236.143572805,400.869076683,1.57227897644,351.210257977,332.098206194
7.73811197281,-273.618045178,362.801454612,253.143572805,396.869076683,1.58301591873,348.272436816,335.993584476
7.78388810158,-273.618045178,362.801454612,285.143572805,385.869076683,1.6287920475,335.747261947,352.601230579
7.81445097923,-273.618045178,362.801454612,331.143572805,370.869076683,1.65935492516,327.384707108,363.68948705
7.84509396553,-273.618045178,362.801454612,393.143572805,349.869076683,1.68999791145,319.000233099,374.806807052
7.85544705391,-273.618045178,362.801454612,421.143572805,336.869076683,1.70035099983,316.167441295,378.562922576
7.87735509872,-273.618045178,362.801454612,434.143572805,328.869076683,1.72225904465,310.173004899,386.511193102
7.89948701859,-273.618045178,362.801454612,444.143572805,322.869076683,1.74439096451,304.11731225,394.540685821
7.9406080246,-273.618045178,362.801454612,459.143572805,313.869076683,1.78551197052,292.86586297,409.459446618
7.98886013031,-273.618045178,362.801454612,466.143572805,309.869076683,1.83376407623,279.663216129,426.965380758
8.02008104324,-273.618045178,362.801454612,475.143572805,301.869076683,1.86498498917,271.120610963,438.292373385
8.06779909134,-273.618045178,362.801454612,490.143572805,290.869076683,1.91270303726,258.064091924,455.604550645
8.12169504166,-273.618045178,362.801454612,535.143572805,253.869076683,1.96659898758,243.317187355,475.158079818
