target r,target y,target x
45,148,410
time,widget x,widget y
1.16892194748,468,258
1.48207592964,468,257
1.51068305969,465,249
1.53936886787,461,241
1.56872391701,457,235
1.59814786911,455,230
1.6272919178,453,224
1.65614485741,451,220
1.68447589874,450,217
1.71334695816,449,215
1.74196887016,448,209
1.77129101753,445,204
1.79967594147,444,202
1.79967594147,443,198
1.83873295784,437,188
1.86129188538,435,181
1.87168884277,432,177
1.90084791183,427,169
1.92990684509,426,166
1.95939207077,423,160
1.98845291138,421,155
2.01768803596,418,149
2.04657697678,417,148
2.0748090744,415,148
2.16001605988,415,148
