target r,target y,target x
43,365,444
time,widget x,widget y
58.2604250908,315,347
58.6081199646,316,347
58.636909008,321,347
58.66573596,326,348
58.7265770435,348,349
58.7576141357,354,349
58.7864720821,359,349
58.8154060841,361,349
58.8449821472,369,349
58.8747451305,378,349
58.903288126,386,349
58.9324569702,387,349
58.9615831375,388,349
59.0480589867,388,349
59.0771529675,393,349
59.1070649624,400,349
59.13590312,404,349
59.16456604,407,349
59.1941690445,410,349
59.2234430313,415,349
59.2525930405,420,349
59.2811450958,421,349
59.3102161884,426,351
59.339523077,429,351
59.3679530621,430,351
59.3969950676,430,352
59.5116910934,431,352
59.5405681133,436,353
59.5692811012,440,354
59.5981500149,440,355
