pattern,height,speed,width
triangle,1.61742943004,179.45518924,-1.52684705319
time,slider velocity y,slider velocity x,widget x,widget y,slider param,slider y,slider x
14.0158548355,130.495485784,123.187227971,400.0,138.257056996,0.0,138.257056996,400.0
14.335340023,130.495485784,123.187227971,400.0,139.257056996,0.319485187531,179.948431744,439.35649463
14.3648369312,130.495485784,123.187227971,402.0,142.257056996,0.348982095718,183.797645107,442.990136983
14.3947730064,130.495485784,123.187227971,407.0,147.257056996,0.378918170929,187.704167784,446.677879104
14.4243960381,130.495485784,123.187227971,412.0,152.257056996,0.408541202545,191.569839685,450.327058253
14.4544730186,130.495485784,123.187227971,414.0,154.257056996,0.438618183136,195.494749878,454.032158118
14.4846429825,130.495485784,123.187227971,423.0,160.257056996,0.468788146973,199.431793965,457.748712331
14.5142090321,130.495485784,123.187227971,432.0,166.257056996,0.498354196548,203.290029967,461.39087202
14.5433020592,130.495485784,123.187227971,442.0,175.257056996,0.527447223663,207.086538674,464.974761384
14.5728778839,130.495485784,123.187227971,445.0,178.257056996,0.557023048401,210.94605029,468.618125248
14.5728778839,130.495485784,123.187227971,447.0,181.257056996,0.557023048401,210.94605029,468.618125248
14.602519989,130.495485784,123.187227971,449.0,185.257056996,0.586665153503,214.814211195,472.269654007
14.6324310303,130.495485784,123.187227971,450.0,187.257056996,0.616576194763,218.717467055,475.954312266
14.6611089706,130.495485784,123.187227971,451.0,190.257056996,0.645254135132,222.459808815,479.487068243
14.6903710365,130.495485784,123.187227971,453.0,192.257056996,0.674516201019,226.278376318,483.091781025
14.6903710365,130.495485784,123.187227971,457.0,195.257056996,0.674516201019,226.278376318,483.091781025
14.7194998264,130.495485784,123.187227971,461.0,197.257056996,0.703644990921,230.079551906,486.680075907
14.7492609024,130.495485784,123.187227971,466.0,203.257056996,0.733406066895,233.963237973,490.346260358
14.7796308994,130.495485784,123.187227971,467.0,207.257056996,0.763776063919,237.926385488,494.087456104
14.8086760044,130.495485784,123.187227971,469.0,210.257056996,0.7928211689,241.716640572,497.665442073
14.83791399,130.495485784,123.187227971,472.0,214.257056996,0.82205915451,245.532065707,501.267188472
14.8680028915,130.495485784,123.187227971,476.0,224.257056996,0.85214805603,249.458531528,504.973756843
14.8974540234,130.495485784,123.187227971,482.0,234.257056996,0.881599187851,253.301771282,508.601760132
14.9274320602,130.495485784,123.187227971,488.0,241.257056996,0.911577224731,257.213769767,512.294671396
14.9568798542,130.495485784,123.187227971,499.0,252.257056996,0.941025018692,261.056573945,515.922263504
14.9864108562,130.495485784,123.187227971,510.0,262.257056996,0.970556020737,264.910236403,519.560105785
15.0168089867,130.495485784,123.187227971,519.0,272.257056996,1.00095415115,268.877055199,523.304767206
15.0467150211,130.495485784,123.187227971,527.0,282.257056996,1.03086018562,272.779657695,526.988808692
15.0759170055,130.495485784,123.187227971,534.0,288.257056996,1.06006217003,276.590384835,530.586120202
15.1058399677,130.495485784,123.187227971,537.0,291.257056996,1.08998513222,280.495196322,534.272246967
